ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T18:46:34Z	1	REJECTED	-0.001075	-0.014154	8.242	2.376	0.8051	2.969	6	-5.055	0.92668	0.03992	B	8.196	paired chronological folds did not show a median/majority improvement over baseline	Add SMA slope confirmation to entry condition: only buy when price > SMA and SMA is rising.
2026-09-05T18:46:55Z	2	PARAMETER_ONLY	nan	-0.014154	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Tighten ATR-based stop loss from 5.0 to 3.0 to reduce tail risk and improve risk-adjusted returns
2026-09-06T11:28:42Z	3	REJECTED	0.001757	-0.014154	8.697	2.503	0.9738	2.571	6	-3.979	0.959714	0.031936	B	8.657	paired chronological folds did not show a median/majority improvement over baseline	Add high volatility regime filter to entry condition: only buy when price > SMA and short-term realized vol > long-term realized vol
2026-09-06T11:29:45Z	4	RISK_CONTROL_CHANGE	nan	-0.014154	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add low volatility regime filter to entry condition: only buy when price > SMA and short-term realized vol < long-term realized vol
2026-09-06T11:30:28Z	5	REJECTED	-0.014154	-0.014154	14.707	4.152	0.7531	5.608	9	-8.828	0.911888	0.065868	B	14.628	paired chronological folds did not show a median/majority improvement over baseline	Add volume confirmation to entry: only buy when price > SMA and current volume exceeds its moving average.
2026-09-06T11:32:57Z	6	CRASH	nan	-0.014154	nan	nan	nan	nan	0	nan	nan	nan		nan	NVIDIA research-agent call failed: delimiter parse failed (required output markers missing or out of order); JSON fallback failed (Expecting value: line 1 column 1 (char 0))	(agent failed)
2026-09-06T11:52:20Z	7	REJECTED	-0.014154	-0.014154	14.707	4.152	0.7531	5.608	9	-8.828	0.911888	0.055888	B	14.628	paired chronological folds did not show a median/majority improvement over baseline	Add confirmation of downward momentum to exit condition: close only when price is below SMA and also below previous bar's close.
2026-09-06T11:52:54Z	8	REJECTED	0.000695	-0.014154	9.721	2.789	1.0244	2.719	7	-4.021	0.967306	0.01996	B	9.668	paired chronological folds did not show a median/majority improvement over baseline	Add ADX trend filter: only enter long when price > SMA and ADX > 25, indicating a trending market.
2026-09-06T11:53:45Z	9	REJECTED	-0.014605	-0.014154	14.654	4.137	0.7503	5.61	9	-8.832	0.911104	0.055888	B	14.574	K -0.014605 did not exceed -0.014154 by adaptive required delta 0.0064	Add upward momentum confirmation to entry condition: only buy when price > SMA and price > previous bar's close.
2026-09-06T11:55:14Z	10	REJECTED	-0.016408	-0.014154	15.204	4.285	0.778	5.591	8	-8.387	0.918633	0.065868	B	15.134	paired chronological folds did not show a median/majority improvement over baseline	Add a faster SMA (50) confirmation to entry: only buy when price > both the 175-bar SMA and the 50-bar SMA.
