ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T20:38:18Z	1	KEPT	0.039254	0.030051	25.07	6.857	0.991	6.931	14	-8.884	0.963286	0.053892	B	24.824	K 0.030051 -> 0.039254; paired folds 0.5 improved; prefix lookahead audit PASS (required delta 0.0054)	Add price > EMA20 condition to entry to ensure buying on pullbacks from above the trend line.
2026-09-05T20:38:38Z	2	REJECTED	0.019966	0.039254	15.707	4.42	0.8857	5.022	13	-7.363	0.948835	0.071856	B	15.489	paired chronological folds did not show a median/majority improvement over baseline	Add ADX trend strength filter (ADX > 20) to entry to ensure trades occur only in strong trending markets.
2026-09-06T19:51:18Z	3	REJECTED	8.6e-05	0.039254	21.061	5.83	0.8092	7.331	9	-10.076	0.928376	0.091816	C	20.904	guard: development robustness gate failed	Add prior close below EMA20 condition to entry to ensure buying on pullbacks that cross back above the EMA20 from below.
2026-09-06T19:51:50Z	4	REJECTED	-0.085	0.039254	0.0	0.0	0.0	0.0	0	0.0	0.0	1.0	D	0.0	guard: development robustness gate failed	Add a realized volatility filter to only enter trades when current volatility is below the target volatility, favoring calmer markets for pullback entries.
2026-09-06T19:54:28Z	5	REJECTED	0.022834	0.039254	16.016	4.503	0.9803	4.597	27	-5.719	0.974179	0.0998	A	15.522	K 0.022834 did not exceed 0.039254 by adaptive required delta 0.0061	Exit long positions when price falls below the 20-period EMA instead of the 50-period EMA to tighten risk management.
2026-09-06T19:55:22Z	6	REJECTED	0.039359	0.039254	24.333	6.67	0.9935	6.723	12	-8.847	0.963111	0.043912	B	24.054	paired chronological folds did not show a median/majority improvement over baseline	Add volume filter: enter only when current volume is below its 20-period moving average (excluding current bar) to ensure pullback occurs on weak selling pressure.
2026-09-06T20:18:23Z	7	CRASH	nan	0.039254	nan	nan	nan	nan	0	nan	nan	nan		nan	NVIDIA research-agent call failed: delimiter parse failed (required output markers missing or out of order); JSON fallback failed (Expecting value: line 1 column 1 (char 0))	(agent failed)
2026-09-06T20:22:46Z	8	RISK_CONTROL_CHANGE	nan	0.039254	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Change exit condition from price below EMA50 to price below EMA20 minus 1.0 times ATR to adaptively exit pullback failures while preserving trend-following logic.
2026-09-06T20:23:39Z	9	RISK_CONTROL_CHANGE	nan	0.039254	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add bullish candle condition (close > open) to entry to ensure buying on upward momentum during pullback.
2026-09-06T20:26:39Z	10	RISK_CONTROL_CHANGE	nan	0.039254	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Change entry condition to buy when price is below EMA20 (within pullback band) instead of above EMA20, maintaining trend and pullback criteria.
2026-09-06T20:30:19Z	11	RISK_CONTROL_CHANGE	nan	0.039254	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Rename class to AtlasStrategy to satisfy requirement
2026-09-06T20:32:02Z	12	DUPLICATE	nan	0.039254	nan	nan	nan	nan	0	nan	nan	nan		nan	semantic AST duplicate of a previously generated candidate	Rename class to AtlasStrategy to satisfy requirement
2026-09-06T20:35:28Z	13	CRASH	nan	0.039254	nan	nan	nan	nan	0	nan	nan	nan		nan	NVIDIA research-agent call failed: delimiter parse failed (invalid syntax (strategy.py, line 170)); JSON fallback failed (Expecting value: line 1 column 1 (char 0))	(agent failed)
2026-09-06T20:40:41Z	14	RISK_CONTROL_CHANGE	nan	0.039254	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add volume confirmation filter: enter only when current volume exceeds its 20-period moving average to ensure buying interest during pullback.
2026-09-06T20:44:26Z	15	RISK_CONTROL_CHANGE	nan	0.039254	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Widen initial stop-loss multiplier from 1.5 to 2.0 to reduce premature exits during pullback entries.
2026-09-06T20:45:25Z	16	DUPLICATE	nan	0.039254	nan	nan	nan	nan	0	nan	nan	nan		nan	semantic AST duplicate of a previously generated candidate	Rename class to AtlasStrategy to satisfy the requirement of preserving that class name.
