ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T11:20:46Z	1	CRASH	nan	-0.004904	nan	nan	nan	nan	0	nan	nan	nan		nan	NVIDIA research-agent call failed: delimiter parse failed (required output markers missing or out of order); JSON fallback failed (Expecting value: line 1 column 1 (char 0))	(agent failed)
2026-09-05T11:28:19Z	2	REJECTED	-0.00639	-0.004904	101.108	6.564	0.6675	10.325	39	-17.219	0.988317	0.013972	A	98.282	K -0.00639 did not exceed -0.004904 by adaptive required delta 0.0057	Add 7-day RSI < 30 condition to entry filter to avoid buying in extreme overbought conditions within an uptrend.
2026-09-06T01:44:06Z	3	REJECTED	0.042935	-0.004904	159.607	9.069	0.8837	10.444	64	-14.353	0.998779	0.001996	A	153.27	paired chronological folds did not show a median/majority improvement over baseline	Add a volatility regime filter: only enter trades when current realized volatility is below its 20-day simple moving average, to avoid high-volatility choppy periods.
2026-09-06T01:44:54Z	4	TOO_BROAD	nan	-0.004904	nan	nan	nan	nan	0	nan	nan	nan		nan	localized-change guard: too many MoonStrategy units changed (4): ['MoonStrategy.assign:adx_lookback', 'MoonStrategy.assign:adx_threshold', 'MoonStrategy.init', 'MoonStrategy.next']	Add an ADX trend strength filter: only enter long positions when the 14-period ADX exceeds 20, ensuring trades are taken only in strong trending conditions.
2026-09-06T17:26:50Z	5	RISK_CONTROL_CHANGE	nan	-0.004904	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add ATR-based protective stop loss to entry orders to limit downside risk.
2026-09-06T17:27:38Z	6	KEPT	0.009932	-0.004904	140.443	8.31	0.645	13.867	81	-20.52	0.985039	0.015968	A	133.284	K -0.004904 -> 0.009932; paired folds 0.6364 improved; prefix lookahead audit PASS (required delta 0.0062)	Add volume confirmation filter: only enter long when today's volume exceeds its 20-day simple moving average.
2026-09-06T17:29:08Z	7	REJECTED	0.010174	0.009932	79.006	5.441	0.5399	10.913	52	-16.403	0.967141	0.025948	A	75.313	paired chronological folds did not show a median/majority improvement over baseline	Add a 50-day SMA trend filter: only enter long when price is above both the 200-day and 50-day SMAs to strengthen the uptrend condition.
2026-09-06T17:33:30Z	8	REJECTED	0.009793	0.009932	126.959	7.743	0.615	13.639	77	-20.52	0.980696	0.005988	A	120.535	paired chronological folds did not show a median/majority improvement over baseline	Add volume momentum filter: require today's volume to exceed yesterday's volume in addition to being above its 20-day average.
2026-09-06T17:46:33Z	9	REJECTED	-0.095911	0.009932	-2.623	-0.242	0.0204	9.298	25	-28.839	0.526975	0.502994	C	-3.535	guard: development robustness gate failed	Add bullish candle condition (close > open) to entry filter to buy only on upward price momentum within the day.
2026-09-06T17:47:56Z	10	PARAMETER_ONLY	nan	0.009932	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Change volume average lookback from 20 to 50 days to use a longer-term volume average for entry filter, reducing sensitivity to short-term volume spikes.
2026-09-06T17:52:19Z	11	CRASH	nan	0.009932	nan	nan	nan	nan	0	nan	nan	nan		nan	NVIDIA research-agent call failed: delimiter parse failed (required output markers missing or out of order); JSON fallback failed (Expecting value: line 1 column 1 (char 0))	(agent failed)
2026-09-06T18:00:15Z	12	REJECTED	0.005572	0.009932	108.739	6.926	0.608	12.248	81	-21.139	0.979813	0.007984	A	102.514	paired chronological folds did not show a median/majority improvement over baseline	Add a trend-following exit condition: close long position when price falls below the 200-day SMA, in addition to exiting at the 7-day high.
