ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-06T01:33:26Z	1	RISK_CONTROL_CHANGE	nan	-0.021984	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a low-volatility regime filter: only enter long when realized volatility is below its 20-period simple moving average.
2026-09-06T01:34:00Z	2	REJECTED	0.002182	-0.021984	19.244	1.614	0.6016	2.725	73	-5.367	0.975784	0.00998	A	17.601	paired chronological folds did not show a median/majority improvement over baseline	Add a long-term trend filter: only enter long when price is above its 200-day simple moving average.
2026-09-06T08:56:01Z	3	REJECTED	-0.045003	-0.021984	3.511	0.315	0.1682	1.985	47	-7.003	0.709822	0.299401	B	2.602	paired chronological folds did not show a median/majority improvement over baseline	Add a trend strength filter: only enter long when ADX is below 20, indicating a weak trend environment conducive to mean reversion.
2026-09-06T08:59:45Z	4	REJECTED	-0.046024	-0.021984	8.886	0.778	0.2412	3.462	76	-8.325	0.78584	0.183633	B	7.476	paired chronological folds did not show a median/majority improvement over baseline	Add a volatility expansion filter: only enter long when realized volatility exceeds its 20-period simple moving average.
2026-09-06T09:01:56Z	5	REJECTED	0.002872	-0.021984	17.209	1.455	0.5094	2.922	124	-5.153	0.952167	0.041916	A	14.757	paired chronological folds did not show a median/majority improvement over baseline	Add ATR-based profit target exit: close long when price reaches entry price plus ATR * profit_mult (1.0) or z-score >= 0.
2026-09-06T09:03:28Z	6	CRASH	nan	-0.021984	nan	nan	nan	nan	0	nan	nan	nan		nan	NVIDIA research-agent call failed: delimiter parse failed (required output markers missing or out of order); JSON fallback failed (Expecting value: line 1 column 1 (char 0))	(agent failed)
2026-09-06T09:20:10Z	7	REJECTED	-0.004107	-0.021984	14.925	1.274	0.5166	2.513	60	-7.136	0.956052	0.047904	A	13.735	paired chronological folds did not show a median/majority improvement over baseline	Add a volatility trend filter: only enter long when realized volatility is decreasing (today's RV < yesterday's RV).
2026-09-06T09:20:43Z	8	REJECTED	-0.013077	-0.021984	4.016	0.359	0.2713	1.355	37	-2.924	0.813382	0.173653	B	3.273	paired chronological folds did not show a median/majority improvement over baseline	Add a medium-term trend filter: only enter long when price is above its 50-day simple moving average.
2026-09-06T09:21:28Z	9	REJECTED	-0.00766	-0.021984	17.376	1.468	0.4156	3.672	104	-7.531	0.913418	0.071856	A	15.306	paired chronological folds did not show a median/majority improvement over baseline	Add entry filter requiring that the z-score is decreasing (today's z < yesterday's z) to increase probability of mean reversion bounce.
2026-09-06T09:22:14Z	10	REJECTED	-0.102781	-0.021984	-2.889	-0.266	-0.2604	1.006	24	-3.822	0.186057	0.838323	C	-3.324	guard: development robustness gate failed	Add a short-term EMA filter: only enter long when price is above its 10-day exponential moving average.
2026-09-06T09:39:19Z	11	REJECTED	-0.041792	-0.021984	3.742	0.335	0.1373	2.703	34	-7.363	0.674298	0.335329	B	3.244	paired chronological folds did not show a median/majority improvement over baseline	Add a long-term regime filter: only enter long when price is below its 200-day simple moving average.
2026-09-06T09:39:59Z	12	REJECTED	-0.032997	-0.021984	14.406	1.232	0.3436	3.773	94	-8.68	0.870308	0.123752	B	12.541	paired chronological folds did not show a median/majority improvement over baseline	Add a volume confirmation filter: only enter long when today's volume exceeds its 20-period simple moving average.
