ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T18:44:42Z	1	REJECTED	0.120789	0.141552	1016.152	24.547	1.0535	23.469	18	-25.288	0.999753	0.001996	B	1007.539	paired chronological folds did not show a median/majority improvement over baseline	Add ADX trend strength filter to only enter longs when ADX > 20, improving regime specificity.
2026-09-05T18:45:41Z	2	REJECTED	0.03265	0.141552	798.57	22.114	0.9554	23.931	17	-31.932	0.999166	0.001996	B	790.995	guard: development robustness gate failed	Add a low-volatility regime filter: only enter longs when current realized volatility is below its 60-day median, avoiding choppy high-volatility periods.
2026-09-06T11:21:35Z	3	REJECTED	0.120416	0.141552	1562.368	29.145	1.1506	24.964	16	-32.683	0.999918	0.001996	C	1550.977	guard: development robustness gate failed	Add trend confirmation: only enter longs when price > SMA and SMA is rising (current SMA > previous SMA).
2026-09-06T11:21:59Z	4	REJECTED	0.146424	0.141552	1445.578	28.292	1.1564	24.07	18	-26.875	0.999932	0.001996	B	1433.668	paired chronological folds did not show a median/majority improvement over baseline	Enter long only when price exceeds the 175-bar SMA by a small threshold (0.5%) to reduce whipsaws and require stronger bullish momentum.
2026-09-06T11:22:27Z	5	KEPT	0.149541	0.141552	1124.951	25.606	1.1215	22.631	14	-22.549	0.99989	0.001996	C	1117.777	K 0.141552 -> 0.149541; paired folds 0.5455 improved; prefix lookahead audit PASS (required delta 0.0061)	Enter long only when price has been above the 175-bar SMA for three consecutive bars, adding persistence to reduce whipsaws.
2026-09-06T11:26:06Z	6	REJECTED	0.07771	0.149541	971.014	24.08	1.0512	23.078	13	-25.731	0.99974	0.001996	C	965.095	paired chronological folds did not show a median/majority improvement over baseline	Add volume confirmation: only enter longs when current volume exceeds its 20-bar moving average, ensuring participation.
2026-09-06T11:47:46Z	7	REJECTED	0.076284	0.149541	975.849	24.131	1.0672	22.688	13	-22.549	0.99978	0.001996	C	969.932	paired chronological folds did not show a median/majority improvement over baseline	Add a longer-term 200-bar SMA trend filter to require alignment with the broader bullish regime before entering longs.
2026-09-06T11:49:38Z	8	REJECTED	0.131103	0.149541	1209.797	26.374	1.1055	23.743	12	-25.034	0.999867	0.001996	C	1203.669	paired chronological folds did not show a median/majority improvement over baseline	Add exit persistence: require two consecutive closes below SMA before exiting to reduce whipsaws.
2026-09-06T11:50:44Z	9	REJECTED	0.112112	0.149541	1121.195	25.571	1.1126	22.828	13	-22.556	0.999877	0.001996	C	1114.598	paired chronological folds did not show a median/majority improvement over baseline	Add bullish candle filter: only enter longs when current close exceeds open, reinforcing bullish momentum.
2026-09-06T11:51:49Z	10	PARAMETER_ONLY	nan	0.149541	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Tighten the initial stop loss from 5×ATR to 3×ATR to reduce losing trade size and improve drawdown control.
2026-09-07T01:14:18Z	11	CRASH	nan	0.149541	nan	nan	nan	nan	0	nan	nan	nan		nan	NVIDIA research-agent call failed: delimiter parse failed (required output markers missing or out of order); JSON fallback failed (Expecting value: line 1 column 1 (char 0))	(agent failed)
2026-09-07T01:50:20Z	12	RISK_CONTROL_CHANGE	nan	0.149541	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add combined low-volatility regime and rising SMA50 trend filter to entry logic.
