ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T22:28:12Z	1	REJECTED	0.440109	0.382172	231.896	42.711	1.5998	24.023	11	-26.211	0.998488	0.003992	C	229.692	guard: development robustness gate failed	Add a volatility regime filter that only enters long positions when current realized volatility is below its 20‑period simple moving average.
2026-09-05T22:28:37Z	2	REJECTED	0.262878	0.382172	135.049	28.835	1.3937	19.534	9	-20.302	0.995488	0.007984	C	133.965	guard: development robustness gate failed	Add a trend strength filter using the ADX indicator (shifted to avoid lookahead) requiring ADX > 25 for long entries.
2026-09-06T05:54:50Z	3	REJECTED	0.119976	0.382172	196.336	37.996	1.3873	25.562	9	-28.39	0.99435	0.001996	C	194.62	guard: development robustness gate failed	Add a long-term trend filter requiring price above 200-period EMA for long entries.
2026-09-06T05:55:31Z	4	CRASH	nan	0.382172	nan	nan	nan	nan	0	nan	nan	nan		nan	harness exited 1; see logs/run_4.txt	Add a bullish candle filter to long entries: only enter when the current bar's close is above its open.
2026-09-06T05:56:01Z	5	KEPT	0.450844	0.382172	216.831	40.759	1.4744	25.359	12	-29.741	0.996632	0.005988	B	214.433	K 0.382172 -> 0.450844; paired folds 0.5 improved; prefix lookahead audit PASS (required delta 0.0061)	Modify exit condition to close long position when price falls below the EMA minus half the ATR, providing a tighter volatility‑scaled stop.
2026-09-06T05:56:33Z	6	REJECTED	0.544522	0.450844	249.49	44.913	1.5355	26.424	11	-28.863	0.997609	0.00998	C	247.335	guard: development robustness gate failed	Add an upward EMA slope filter requiring today's EMA to be above yesterday's EMA for long entries.
2026-09-06T05:57:02Z	7	REJECTED	0.466971	0.450844	221.429	41.362	1.4707	25.787	11	-27.365	0.996548	0.005988	C	219.263	guard: development robustness gate failed	Add a volume confirmation filter: only enter long when current volume exceeds its 20‑period simple moving average (shifted to avoid lookahead).
2026-09-06T05:57:26Z	8	REJECTED	0.466339	0.450844	214.126	40.402	1.4472	25.727	10	-26.139	0.99595	0.005988	C	212.266	guard: development robustness gate failed	Add a volatility expansion filter requiring current ATR to exceed its 10‑period simple moving average for long entries.
2026-09-06T05:58:39Z	9	REJECTED	0.221763	0.450844	179.168	35.576	1.4433	22.894	11	-23.471	0.99598	0.005988	C	177.388	guard: development robustness gate failed	Add a volatility contraction filter that only enters long when current ATR is below its 10‑period simple moving average.
2026-09-06T05:59:23Z	10	REJECTED	0.450844	0.450844	216.831	40.759	1.4744	25.359	12	-29.741	0.996632	0.003992	B	214.433	paired chronological folds did not show a median/majority improvement over baseline	Add an RSI(14) overbought filter to long entries, requiring RSI < 70.
2026-09-06T06:13:42Z	11	PARAMETER_ONLY	nan	0.450844	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Tighten the volatility‑scaled exit stop from EMA minus 0.5*ATR to EMA minus 0.3*ATR
2026-09-06T06:14:38Z	12	REJECTED	0.450844	0.450844	216.831	40.759	1.4744	25.359	12	-29.741	0.996632	0.001996	B	214.433	paired chronological folds did not show a median/majority improvement over baseline	Add an upper volatility-scaled band to entry logic to avoid buying when price is too far above the EMA.
