ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T20:07:57Z	1	REJECTED	0.028674	0.035579	29.636	7.999	1.0114	7.914	13	-9.515	0.965931	0.037924	B	29.411	paired chronological folds did not show a median/majority improvement over baseline	Increase the trend filter period from SMA50 to SMA100 to require a stronger uptrend for breakout entries and exits.
2026-09-05T20:08:48Z	2	REJECTED	0.040673	0.035579	33.985	9.061	1.2331	7.243	13	-9.146	0.985493	0.013972	B	33.823	K 0.040673 did not exceed 0.035579 by adaptive required delta 0.0057	Reduce initial stop loss multiplier from 2.0 to 1.5 to tighten risk and potentially lower drawdown.
2026-09-06T14:59:08Z	3	REJECTED	-0.085	0.035579	0.0	0.0	0.0	0.0	0	0.0	0.0	1.0	D	0.0	guard: development robustness gate failed	Add a volatility filter: only enter when realized volatility is below the target volatility.
2026-09-06T14:59:48Z	4	PARAMETER_ONLY	nan	0.035579	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Reduce breakout lookback period from 20 bars to 10 bars to capture quicker breakouts.
2026-09-06T15:02:23Z	5	REJECTED	0.028064	0.035579	31.602	8.482	1.1674	7.192	12	-9.305	0.980845	0.011976	B	31.463	paired chronological folds did not show a median/majority improvement over baseline	Change exit condition from closing below SMA50 to closing below the 20-bar rolling low (symmetric breakout failure exit)
2026-09-06T15:06:08Z	6	REJECTED	0.015449	0.035579	13.99	3.958	1.1457	3.438	14	-4.991	0.984158	0.023952	B	13.849	guard: development robustness gate failed	Add ADX trend strength filter: only enter when ADX > 25 to ensure entries occur in strong trending markets.
2026-09-06T15:30:38Z	7	REJECTED	0.035579	0.035579	33.49	8.941	1.2168	7.251	13	-9.22	0.984467	0.021956	B	33.154	paired chronological folds did not show a median/majority improvement over baseline	Require that the breakout bar's open is below the prior 20-bar high and its close is above that high, adding intraday breakout confirmation.
2026-09-06T15:33:30Z	8	CRASH	nan	0.035579	nan	nan	nan	nan	0	nan	nan	nan		nan	NVIDIA research-agent call failed: delimiter parse failed (required output markers missing or out of order); JSON fallback failed (Expecting value: line 1 column 1 (char 0))	(agent failed)
2026-09-06T15:38:34Z	9	REJECTED	0.026782	0.035579	33.395	8.918	1.2196	7.214	13	-9.18	0.984595	0.021956	B	33.059	paired chronological folds did not show a median/majority improvement over baseline	Replace the simple moving average trend filter with an exponential moving average to give more weight to recent price action.
2026-09-06T15:39:48Z	10	REJECTED	0.028849	0.035579	27.521	7.473	1.1678	6.34	12	-8.043	0.980775	0.01996	B	27.324	paired chronological folds did not show a median/majority improvement over baseline	Require volume to exceed a multiple of its 20-bar average for breakout entry, strengthening volume confirmation.
