ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T17:18:44Z	1	REJECTED	0.043623	0.157089	38.904	10.232	1.3073	7.672	13	-9.459	0.994289	0.013972	B	38.369	guard: development robustness gate failed	Add an ADX trend filter: only enter long when the 20‑period ADX (based on completed bars) exceeds 20, indicating a trending market.
2026-09-05T17:20:48Z	2	REJECTED	0.083862	0.157089	81.28	19.286	1.8467	9.804	12	-4.903	0.99989	0.001996	B	80.62	paired chronological folds did not show a median/majority improvement over baseline	Add a low-volatility regime filter: only enter long when current realized volatility is below its 30‑period moving average.
2026-09-06T10:29:51Z	3	REJECTED	0.053932	0.157089	70.161	17.069	1.6463	9.861	9	-7.389	0.999534	0.00998	C	69.596	guard: development robustness gate failed	Add a long-term trend filter: only enter long when price is above the 200-period SMA (based on completed bars).
2026-09-06T10:32:33Z	4	RISK_CONTROL_CHANGE	nan	0.157089	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a volume confirmation filter: only enter long when current volume exceeds its 20-period moving average (based on completed bars).
2026-09-06T10:33:06Z	5	REJECTED	0.121404	0.157089	83.893	19.794	1.6193	11.556	14	-10.885	0.999535	0.00998	B	83.135	guard: development robustness gate failed	Add an upward slope filter: only enter long when the 50-period SMA is rising (current SMA > previous SMA).
2026-09-06T10:33:38Z	6	REJECTED	0.01526	0.157089	32.836	8.782	1.1874	7.309	12	-9.475	0.989622	0.02994	B	32.317	guard: development robustness gate failed	Add a volatility expansion filter: only enter long when current ATR exceeds its 20-period moving average, indicating heightened volatility accompanying the breakout.
2026-09-06T10:34:20Z	7	REJECTED	0.14451	0.157089	84.176	19.848	1.8531	10.036	13	-8.224	0.99989	0.003992	B	83.586	paired chronological folds did not show a median/majority improvement over baseline	Remove the SMA-based exit condition, exiting only when price breaks the Donchian lower band.
2026-09-06T10:35:00Z	8	REJECTED	0.011912	0.157089	85.509	20.105	1.3873	13.896	11	-15.995	0.993955	0.005988	C	84.978	guard: development robustness gate failed	Change exit logic from OR to AND: close position only when price breaks below both the Donchian lower band and the 50-period SMA simultaneously.
2026-09-06T10:36:15Z	9	REJECTED	0.157225	0.157089	89.537	20.872	1.8795	10.365	14	-7.885	0.999906	0.003992	B	88.779	paired chronological folds did not show a median/majority improvement over baseline	Add a volume momentum filter: only enter long when current bar's volume exceeds the previous bar's volume, indicating strengthening conviction on the breakout.
2026-09-06T10:37:04Z	10	REJECTED	0.01177	0.157089	103.883	23.515	1.3239	17.044	13	-19.612	0.99172	0.00998	B	103.083	guard: development robustness gate failed	Replace the SMA/Donchian exit logic with a trailing stop that exits when price falls 3×ATR below the highest high since entry.
2026-09-06T10:53:45Z	11	REJECTED	0.152072	0.157089	84.429	19.897	1.7678	10.575	14	-8.247	0.999714	0.003992	B	83.747	paired chronological folds did not show a median/majority improvement over baseline	Add a volatility filter to the Donchian lower band exit: exit long only when price breaks below the lower band AND current ATR exceeds its 20‑period SMA, indicating high volatility breakdown.
