ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T23:41:45Z	1	REJECTED	0.066825	0.058311	70.674	17.173	0.9498	18.487	11	-29.468	0.955495	0.05988	C	70.052	guard: development robustness gate failed	Add a low-volatility filter to entry: only buy when realized volatility is below its 30-period SMA.
2026-09-05T23:42:16Z	2	PARAMETER_ONLY	nan	0.058311	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Tighten the stop loss multiplier from 2.5 to 2.0 to reduce losses per trade and improve robustness.
2026-09-06T14:21:24Z	3	REJECTED	0.058389	0.058311	68.718	16.774	0.9266	18.606	11	-31.325	0.951599	0.051896	C	68.118	guard: development robustness gate failed	Add a volume confirmation filter to entry: only buy when current volume exceeds its 20-period SMA.
2026-09-06T14:22:36Z	4	REJECTED	0.075563	0.058311	47.771	12.273	0.884	14.241	13	-24.42	0.944399	0.0499	B	47.196	paired chronological folds did not show a median/majority improvement over baseline	Add a long-term uptrend filter: only enter when price is above its 100-period SMA.
2026-09-06T14:23:28Z	5	REJECTED	0.05825	0.058311	67.815	16.588	0.9371	18.136	16	-30.823	0.952937	0.06986	B	66.971	paired chronological folds did not show a median/majority improvement over baseline	Add a volatility-based exit: close position when current ATR exceeds 1.5 times its 10-period SMA.
2026-09-06T14:30:23Z	6	REJECTED	0.067613	0.058311	41.879	10.927	0.7761	14.767	12	-24.855	0.918768	0.097804	B	41.365	paired chronological folds did not show a median/majority improvement over baseline	Add an ADX trend strength filter requiring ADX > 20 for entry
2026-09-06T14:32:16Z	7	REJECTED	0.128209	0.058311	54.859	13.844	1.0131	13.723	10	-20.918	0.966254	0.033932	C	54.42	guard: development robustness gate failed	Add a price cross‑above the fast EMA condition to entry: only buy when the price crosses above the fast EMA while the fast EMA is above the slow EMA.
2026-09-06T14:34:04Z	8	REJECTED	0.061249	0.058311	70.745	17.188	0.9465	18.585	13	-30.845	0.954972	0.057884	B	70.066	K 0.061249 did not exceed 0.058311 by adaptive required delta 0.0063	Add a rising fast EMA condition to entry: only buy when the fast EMA is increasing relative to the previous bar.
2026-09-06T14:35:17Z	9	REJECTED	0.038256	0.058311	61.812	15.336	0.8082	20.178	8	-29.612	0.927621	0.071856	C	61.407	guard: development robustness gate failed	Change exit condition to require both fast EMA below slow EMA and price below 20-period low before closing position (AND instead of OR).
2026-09-06T14:36:05Z	10	RISK_CONTROL_CHANGE	nan	0.058311	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a high-volatility filter: only enter long when realized volatility exceeds its 30-period SMA.
