ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T16:40:34Z	1	RISK_CONTROL_CHANGE	nan	0.10519	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add ATR-based stop loss to entry orders
2026-09-05T16:41:17Z	2	KEPT	0.35943	0.10519	31.382	21.729	2.4482	8.164	30	-3.749	0.998749	0.007984	C	30.936	K 0.10519 -> 0.35943; paired folds 0.6667 improved; prefix lookahead audit PASS (required delta 0.0057)	Exit position when price falls below short-term EMA (7) instead of when RSI falls below ADX
2026-09-06T06:39:42Z	3	REJECTED	0.239286	0.35943	21.622	15.144	2.1388	6.694	16	-3.467	0.995654	0.033932	C	21.379	paired chronological folds did not show a median/majority improvement over baseline	Add a volatility regime filter: only enter long positions when current realized volatility is below its 20-period simple moving average, trading in calmer markets.
2026-09-06T06:40:19Z	4	RISK_CONTROL_CHANGE	nan	0.35943	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add ATR-based stop loss to entry orders to limit downside risk.
2026-09-06T06:40:56Z	5	REJECTED	0.35943	0.35943	31.382	21.729	2.4482	8.164	30	-3.749	0.998749	0.015968	C	30.936	paired chronological folds did not show a median/majority improvement over baseline	Add ADX trend strength filter: require ADX2 > 20 for entry
2026-09-06T06:41:35Z	6	REJECTED	0.073559	0.35943	21.946	15.365	2.1225	6.841	23	-3.749	0.996199	0.03992	C	21.611	K 0.073559 did not exceed 0.35943 by adaptive required delta 0.0062	Add a long-term trend filter: only enter long positions when price is above the 200-period simple moving average.
2026-09-06T07:01:44Z	7	REJECTED	0.291885	0.35943	29.591	20.531	2.5285	7.493	18	-3.256	0.999265	0.017964	C	29.324	paired chronological folds did not show a median/majority improvement over baseline	Add volume confirmation filter: enter long only when current volume exceeds its 20-period simple moving average.
2026-09-06T07:02:57Z	8	REJECTED	0.599025	0.35943	129.985	82.208	1.912	34.608	10	-22.164	0.975858	0.01996	C	129.776	guard: development robustness gate failed	Change exit condition from price below EMA7 to price below SMA50
2026-09-06T07:03:55Z	9	REJECTED	0.101029	0.35943	17.269	12.16	1.7926	6.517	21	-4.087	0.985858	0.061876	C	17.002	paired chronological folds did not show a median/majority improvement over baseline	Add a volatility regime filter: only enter long positions when current realized volatility exceeds its 20-period simple moving average, trading in higher volatility markets.
2026-09-06T07:08:37Z	10	PARAMETER_ONLY	nan	0.35943	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Change the short-term trend filter from a 50-period SMA to a 20-period SMA to capture quicker trend shifts
2026-09-06T13:16:31Z	11	REJECTED	0.245392	0.35943	27.897	19.394	2.1929	8.234	35	-4.055	0.996516	0.033932	C	27.389	paired chronological folds did not show a median/majority improvement over baseline	Replace relative RSI>ADX entry condition with absolute RSI>50 bullish momentum filter
2026-09-06T13:16:53Z	12	REJECTED	0.35943	0.35943	31.382	21.729	2.4482	8.164	30	-3.749	0.998749	0.017964	C	30.936	paired chronological folds did not show a median/majority improvement over baseline	Add bullish candle filter (close > open) to entry condition
2026-09-06T13:17:24Z	13	REJECTED	0.347547	0.35943	30.164	20.915	2.4696	7.81	25	-3.724	0.998803	0.015968	C	29.782	paired chronological folds did not show a median/majority improvement over baseline	Add medium-term trend confirmation by requiring the 50-period SMA to be rising on entry.
