ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T16:43:20Z	1	REJECTED	-0.022412	-0.012444	69.375	4.912	0.8138	6.127	40	-9.437	0.995255	0.005988	A	68.414	paired chronological folds did not show a median/majority improvement over baseline	Add volume confirmation to entry condition: require current volume > 20-period volume average
2026-09-05T16:43:54Z	2	REJECTED	-0.119427	-0.012444	22.277	1.847	0.3744	5.263	29	-14.955	0.885953	0.117764	C	21.788	guard: development robustness gate failed	Add an ADX trend filter: only enter long when the 20-bar ADX (shifted to avoid lookahead) exceeds 20, indicating a strong trend.
2026-09-06T06:33:11Z	3	REJECTED	-0.073777	-0.012444	57.238	4.204	0.704	6.121	35	-12.241	0.985358	0.025948	A	56.44	guard: development robustness gate failed	Add volatility expansion filter: only enter long when current ATR exceeds previous ATR (indicating rising volatility).
2026-09-06T06:34:03Z	4	REJECTED	-0.006186	-0.012444	74.919	5.219	0.903	5.826	38	-8.448	0.997988	0.005988	A	74.052	paired chronological folds did not show a median/majority improvement over baseline	Add volatility contraction filter: only enter long when current ATR is below previous ATR
2026-09-06T06:34:32Z	5	REJECTED	-0.031457	-0.012444	86.518	5.836	0.9103	6.466	41	-11.122	0.997501	0.005988	A	85.466	guard: development robustness gate failed	Add a 50-day simple moving average trend filter: only enter long when price exceeds both the Donchian breakout and the 50-day SMA.
2026-09-06T06:35:50Z	6	REJECTED	-0.012454	-0.012444	85.989	5.809	0.939	6.223	42	-9.181	0.998603	0.005988	A	84.932	paired chronological folds did not show a median/majority improvement over baseline	Add a 20-day EMA trend filter: only enter long when price exceeds the 20-day EMA (shifted to avoid lookahead).
2026-09-06T06:48:09Z	7	REJECTED	-0.01777	-0.012444	80.724	5.533	0.9009	6.195	42	-9.181	0.997962	0.005988	A	79.709	paired chronological folds did not show a median/majority improvement over baseline	Add bullish bar condition to entry: require close in upper half of the day's range
2026-09-06T06:48:40Z	8	KEPT	-0.004763	-0.012444	93.486	6.19	1.085	5.689	45	-8.343	0.999692	0.001996	A	92.313	K -0.012444 -> -0.004763; paired folds 0.6364 improved; prefix lookahead audit PASS (required delta 0.0063)	Replace fixed Donchian lower-band exit with an ATR-based trailing stop that tracks the highest high since entry.
2026-09-06T06:50:10Z	9	REJECTED	-0.008128	-0.004763	89.108	5.969	1.0571	5.638	44	-8.343	0.999573	0.003992	A	87.985	paired chronological folds did not show a median/majority improvement over baseline	Add volume increasing condition to entry: require current volume > previous day's volume
2026-09-06T06:53:40Z	10	REJECTED	0.006135	-0.004763	80.82	5.538	1.0207	5.428	80	-7.856	0.999659	0.003992	A	78.705	paired chronological folds did not show a median/majority improvement over baseline	Add a fixed ATR-based profit target exit in addition to the ATR trailing stop.
