ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-06T00:29:17Z	1	REJECTED	-0.004458	-0.002474	20.473	1.709	0.6023	2.885	234	-5.154	0.974508	0.033932	A	15.155	paired chronological folds did not show a median/majority improvement over baseline	Add a 200-day SMA trend filter: only enter long when price is above its 200-day SMA.
2026-09-06T00:29:53Z	2	REJECTED	0.001783	-0.002474	15.432	1.314	0.5848	2.279	152	-4.339	0.970185	0.037924	A	12.132	paired chronological folds did not show a median/majority improvement over baseline	Add ADX trend filter: only enter long when ADX > 20 indicating strong trend.
2026-09-06T04:20:01Z	3	REJECTED	-0.003215	-0.002474	12.431	1.072	0.4483	2.446	184	-6.098	0.928945	0.083832	A	8.606	paired chronological folds did not show a median/majority improvement over baseline	Add a low-volatility regime filter: only enter when realized volatility is below its 20-day SMA.
2026-09-06T04:20:23Z	4	RISK_CONTROL_CHANGE	nan	-0.002474	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Replace realized volatility estimation with exponential weighted moving average to give more weight to recent volatility in position sizing.
2026-09-06T04:21:06Z	5	KEPT	0.004631	-0.002474	30.687	2.465	0.9319	2.652	174	-4.064	0.99866	0.003992	A	26.513	K -0.002474 -> 0.004631; paired folds 0.6364 improved; prefix lookahead audit PASS (required delta 0.0061)	Add intraday bullish candle filter: only enter long when the closing price is above the opening price of the same bar.
2026-09-06T04:21:36Z	6	REJECTED	-0.00216	0.004631	7.234	0.638	0.3576	1.825	81	-2.767	0.876671	0.097804	A	5.568	paired chronological folds did not show a median/majority improvement over baseline	Add a volume participation filter: only enter long when today's volume exceeds its 20-day average.
2026-09-06T12:44:10Z	7	REJECTED	-0.003959	0.004631	20.427	1.706	0.9607	1.778	71	-4.895	0.998813	0.001996	A	18.793	paired chronological folds did not show a median/majority improvement over baseline	Add volatility expansion filter: only enter long when current ATR exceeds its 20-period SMA.
2026-09-06T12:48:15Z	8	REJECTED	0.004551	0.004631	31.254	2.506	0.9603	2.614	170	-4.064	0.998995	0.001996	A	27.154	paired chronological folds did not show a median/majority improvement over baseline	Add a short-term trend filter: only enter long when price is above its 10-day SMA.
2026-09-06T12:49:43Z	9	REJECTED	0.013118	0.004631	29.735	2.397	0.8906	2.702	195	-3.614	0.998058	0.001996	A	25.061	paired chronological folds did not show a median/majority improvement over baseline	Replace intraday bullish candle filter with gap-up filter: only enter long when today's open exceeds yesterday's close
2026-09-06T12:50:36Z	10	PARAMETER_ONLY	nan	0.004631	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Tighten the initial stop‑loss multiplier from 2.5 to 2.0 to reduce adverse‑move losses and improve drawdown robustness.
