ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T13:03:33Z	1	REJECTED	-0.034573	-0.020884	4.144	0.37	0.1702	2.331	49	-7.247	0.714457	0.257485	B	3.815	paired chronological folds did not show a median/majority improvement over baseline	Add a 50-day simple moving average trend filter: only enter long when price is above its 50-day SMA (shifted to avoid lookahead).
2026-09-05T13:04:03Z	2	REJECTED	-0.000949	-0.020884	11.745	1.016	0.3512	3.008	166	-5.406	0.878697	0.107784	B	10.501	paired chronological folds did not show a median/majority improvement over baseline	Exit on IBS > 0.70 instead of price > prior day's high
2026-09-06T03:46:43Z	3	REJECTED	-0.059203	-0.020884	1.49	0.135	0.0669	2.467	69	-7.732	0.587618	0.44511	B	0.966	paired chronological folds did not show a median/majority improvement over baseline	Add a low-volatility regime filter: only enter long when realized volatility is below its 20-day simple moving average.
2026-09-06T03:48:03Z	4	RISK_CONTROL_CHANGE	nan	-0.020884	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Replace breakout exit with ATR-based stop loss
2026-09-06T03:48:40Z	5	REJECTED	-0.028286	-0.020884	10.665	0.926	0.3134	3.097	87	-8.823	0.851982	0.107784	B	9.975	paired chronological folds did not show a median/majority improvement over baseline	Add a volume confirmation filter: only enter long when today's volume exceeds its 20-day simple moving average (shifted to avoid lookahead).
2026-09-06T03:49:08Z	6	KEPT	0.005772	-0.020884	23.469	1.937	0.7087	2.762	83	-5.7	0.991826	0.007984	A	22.853	K -0.020884 -> 0.005772; paired folds 0.6364 improved; prefix lookahead audit PASS (required delta 0.0062)	Add a high-volatility regime filter: only enter long when today's realized volatility exceeds its 20-day shifted simple moving average.
2026-09-06T13:27:13Z	7	REJECTED	0.004239	0.005772	21.389	1.779	0.6589	2.735	80	-5.7	0.987207	0.007984	A	20.802	paired chronological folds did not show a median/majority improvement over baseline	Add a down-day filter: only enter long when today's close is below yesterday's close to increase probability of mean reversion after selling pressure.
2026-09-06T13:27:52Z	8	REJECTED	-0.050506	0.005772	42.07	3.247	0.6455	5.16	42	-10.49	0.98273	0.011976	A	41.665	guard: development robustness gate failed	Change exit condition to exit when realized volatility falls below its 20-day SMA (volatility mean-reversion exit)
2026-09-06T13:28:56Z	9	PARAMETER_ONLY	nan	0.005772	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Reduce the pullback depth multiplier from 2.5 to 2.0 to allow entries after a shallower but still significant pullback.
2026-09-06T13:30:02Z	10	CRASH	nan	0.005772	nan	nan	nan	nan	0	nan	nan	nan		nan	NVIDIA research-agent call failed: delimiter parse failed (unexpected text outside output markers); JSON fallback failed (Expecting value: line 1 column 1 (char 0))	(agent failed)
