ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T17:22:43Z	1	CRASH	nan	-0.010752	nan	nan	nan	nan	0	nan	nan	nan		nan	harness exited 1; see logs/run_1.txt	Add ADX trend filter requiring ADX > 25 to enter long positions, reducing false breakouts in sideways markets
2026-09-05T17:23:52Z	2	REJECTED	-0.017794	-0.010752	17.588	4.92	0.7726	6.486	18	-9.932	0.917022	0.0998	B	17.336	guard: development robustness gate failed	Add volume confirmation filter requiring current volume to exceed its 20-period moving average to enter long positions
2026-09-06T04:52:25Z	3	REJECTED	-0.015529	-0.010752	18.126	5.062	0.8306	6.171	10	-8.547	0.930891	0.055888	C	17.983	guard: development robustness gate failed	Add ATR expansion filter requiring current ATR to exceed ATR from 10 bars ago for long entries
2026-09-06T04:54:49Z	4	REJECTED	-0.051861	-0.010752	10.295	2.948	0.5408	5.665	11	-9.601	0.835135	0.155689	D	10.158	guard: development robustness gate failed	Add two-bar breakout confirmation requiring current close and previous close to exceed their respective 20-period Donchian highs
2026-09-06T04:55:25Z	5	REJECTED	2.5e-05	-0.010752	20.047	5.566	0.846	6.662	12	-10.154	0.933839	0.043912	B	19.885	guard: development robustness gate failed	Add ATR-based trailing stop exit, replacing Donchian low/SMA exit to let winners run while cutting losses based on volatility
2026-09-06T04:56:11Z	6	REJECTED	-0.006527	-0.010752	8.2	2.364	0.6075	3.974	11	-5.19	0.865327	0.087824	C	8.05	guard: development robustness gate failed	Add a longer-term trend filter: only enter long when the 50-period SMA is above the 100-period SMA, ensuring the medium-term trend aligns with the longer-term uptrend.
2026-09-06T10:39:56Z	7	CRASH	nan	-0.010752	nan	nan	nan	nan	0	nan	nan	nan		nan	NVIDIA research-agent call failed: delimiter parse failed (required output markers missing or out of order); JSON fallback failed (Expecting value: line 1 column 1 (char 0))	(agent failed)
2026-09-06T10:44:24Z	8	REJECTED	-0.020221	-0.010752	16.982	4.76	0.7673	6.317	13	-10.057	0.915456	0.083832	B	16.791	guard: development robustness gate failed	Add rising SMA50 filter requiring the 50-period SMA to be higher than its previous value to enter long positions, ensuring the medium-term trend is upward.
2026-09-06T10:47:56Z	9	PARAMETER_ONLY	nan	-0.010752	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Change the Donchian low period for exit from 10 to 20 to make it symmetric with the entry Donchian high period.
2026-09-06T10:48:43Z	10	REJECTED	-0.007099	-0.010752	22.878	6.298	0.9002	7.059	10	-11.436	0.945209	0.053892	C	22.742	guard: development robustness gate failed	Change exit condition to require both Donchian low and SMA50 breach (AND) instead of either (OR) to reduce premature exits
