ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T16:42:23Z	1	REJECTED	0.377274	0.377274	60.536	40.635	1.7044	21.331	52	-14.076	0.979365	0.065868	C	56.984	paired chronological folds did not show a median/majority improvement over baseline	Add ADX trend strength filter: require ADX2 > 20 for entry.
2026-09-05T16:42:46Z	2	REJECTED	-0.01152	0.377274	32.447	22.439	1.2156	17.973	40	-14.076	0.923763	0.143713	D	30.034	K -0.01152 did not exceed 0.377274 by adaptive required delta 0.0057	Add long-term trend filter: require price above 200-bar SMA for entry.
2026-09-06T06:30:12Z	3	RISK_CONTROL_CHANGE	nan	0.377274	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add ATR-based stop-loss to limit losses on entries.
2026-09-06T06:31:06Z	4	REJECTED	0.012339	0.377274	23.752	16.593	0.9558	17.686	33	-12.883	0.870757	0.159681	D	22.13	paired chronological folds did not show a median/majority improvement over baseline	Add a volatility regime filter: enter only when realized volatility exceeds its 20-bar simple moving average.
2026-09-06T06:31:41Z	5	KEPT	1.122375	0.377274	144.994	90.698	2.4245	28.26	32	-13.291	0.998611	0.021956	C	141.8	K 0.377274 -> 1.122375; paired folds 0.6667 improved; prefix lookahead audit PASS (required delta 0.0061)	Change exit condition to close position when price falls below either SMA50 or EMA7
2026-09-06T06:32:49Z	6	REJECTED	0.276602	1.122375	55.207	37.256	1.6181	20.911	53	-13.507	0.973398	0.053892	C	51.715	paired chronological folds did not show a median/majority improvement over baseline	Add RSI2 < ADX2 as an additional exit condition to close positions when short-term momentum weakens relative to trend strength.
2026-09-06T06:42:36Z	7	RISK_CONTROL_CHANGE	nan	1.122375	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add ATR-based stop-loss on entries to limit downside risk.
2026-09-06T06:43:16Z	8	REJECTED	0.82346	1.122375	96.87	62.902	2.1922	23.508	16	-12.063	0.996394	0.02994	C	95.436	K 0.82346 did not exceed 1.122375 by adaptive required delta 0.0142	Add low-volatility regime filter: enter only when realized volatility is below its 20-bar SMA.
2026-09-06T06:43:46Z	9	REJECTED	0.722206	1.122375	121.928	77.587	2.1543	28.531	38	-14.674	0.995933	0.027944	C	118.512	paired chronological folds did not show a median/majority improvement over baseline	Change entry condition to require RSI2 > 50 (absolute bullish momentum) instead of RSI2 > ADX2.
2026-09-06T06:44:52Z	10	REJECTED	2.737783	1.122375	884.864	419.55	2.6472	72.335	8	-35.66	0.998588	0.003992	C	882.367	guard: development robustness gate failed	Change exit logic to require price below both SMA50 and EMA7 before closing (AND instead of OR).
2026-09-06T07:18:20Z	11	RISK_CONTROL_CHANGE	nan	1.122375	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add ATR-based stop-loss to limit downside risk on entries
2026-09-06T07:20:01Z	12	REJECTED	0.899558	1.122375	135.544	85.37	2.5129	25.882	19	-11.331	0.999171	0.013972	C	133.705	paired chronological folds did not show a median/majority improvement over baseline	Add a volume confirmation filter: enter only when current volume exceeds its 20-bar simple moving average.
2026-09-06T21:31:20Z	13	RISK_CONTROL_CHANGE	nan	1.122375	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add ATR-based trailing stop-loss exit, replacing SMA/EMA exit.
2026-09-06T21:47:29Z	14	RISK_CONTROL_CHANGE	nan	1.122375	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Change exit condition to also close when RSI2 falls below 50 (absolute bullish momentum threshold) in addition to breaking below either SMA50 or EMA7.
2026-09-06T22:11:48Z	15	RISK_CONTROL_CHANGE	nan	1.122375	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add SMA50 > EMA7 condition to entry to reinforce uptrend alignment
2026-09-06T22:22:13Z	16	RISK_CONTROL_CHANGE	nan	1.122375	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add ATR-based stop-loss to limit downside on entries
2026-09-06T22:37:31Z	17	CRASH	nan	1.122375	nan	nan	nan	nan	0	nan	nan	nan		nan	NVIDIA research-agent call failed: delimiter parse failed (required output markers missing or out of order); JSON fallback failed (Expecting value: line 1 column 1 (char 0))	(agent failed)
