ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T11:29:15Z	1	RISK_CONTROL_CHANGE	nan	-0.037973	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add ATR-based stop loss to long entries
2026-09-05T11:29:40Z	2	REJECTED	-0.007653	-0.037973	28.436	2.303	0.6052	3.889	93	-7.138	0.980809	0.015968	A	27.494	paired chronological folds did not show a median/majority improvement over baseline	Add rising 200-day SMA filter to long entries to trade only in upward trending markets
2026-09-06T01:45:36Z	3	REJECTED	-0.032313	-0.037973	2.444	0.22	0.118	2.039	18	-4.488	0.654154	0.289421	C	2.284	guard: development robustness gate failed	Add an oversold RSI(6) < 30 filter to long entries to increase mean reversion edge
2026-09-06T01:45:57Z	4	REJECTED	-0.035579	-0.037973	14.096	1.207	0.3582	3.525	65	-8.428	0.889254	0.113772	B	13.421	paired chronological folds did not show a median/majority improvement over baseline	Add a volatility filter: only enter long when current realized volatility is below its 30‑bar simple moving average, trading in low‑volatility regimes to enhance mean reversion.
2026-09-06T17:34:46Z	5	REJECTED	-0.029556	-0.037973	18.289	1.54	0.5007	3.153	69	-7.992	0.953573	0.031936	A	17.677	paired chronological folds did not show a median/majority improvement over baseline	Add ADX trend strength filter (ADX > 20) to long entries to ensure trades occur in strong uptrends
2026-09-06T17:37:14Z	6	REJECTED	-0.025069	-0.037973	15.848	1.348	0.3861	3.64	71	-7.062	0.902593	0.085828	A	15.159	paired chronological folds did not show a median/majority improvement over baseline	Add volume confirmation: only enter long when today's volume exceeds its 20‑day moving average, ensuring the pullback occurs on higher-than-average participation.
2026-09-06T17:37:47Z	7	KEPT	-0.00165	-0.037973	22.874	1.892	0.6764	2.832	211	-4.363	0.990347	0.017964	A	20.724	K -0.037973 -> -0.00165; paired folds 0.6364 improved; prefix lookahead audit PASS (required delta 0.0062)	Exit long positions when price reaches or exceeds the 200-day SMA instead of the 7-day high
2026-09-06T17:39:47Z	8	PARAMETER_ONLY	nan	-0.00165	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Change the lookback period for the pullback low from 7 days to 14 days to seek deeper pullbacks in an uptrend.
2026-09-06T18:05:10Z	9	REJECTED	-0.001652	-0.00165	5.934	0.526	0.554	0.956	35	-2.345	0.970656	0.02994	A	5.585	paired chronological folds did not show a median/majority improvement over baseline	Enter long only on bullish candles (close > open) after a pullback to the 7-day low in an uptrend (price > SMA200).
2026-09-06T18:05:57Z	10	REJECTED	-0.086686	-0.00165	114.492	7.19	0.8118	9.064	11	-13.545	0.996833	0.007984	C	114.332	guard: development robustness gate failed	Change exit condition from closing at or above SMA200 to closing below SMA200 (trend breakdown exit)
2026-09-06T18:07:27Z	11	RISK_CONTROL_CHANGE	nan	-0.00165	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add ATR-based stop loss to long entries to limit downside risk
2026-09-06T18:08:45Z	12	CRASH	nan	-0.00165	nan	nan	nan	nan	0	nan	nan	nan		nan	NVIDIA research-agent call failed: delimiter parse failed (required output markers missing or out of order); JSON fallback failed (Expecting value: line 1 column 1 (char 0))	(agent failed)
