ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-06T20:12:20Z	1	REJECTED	-0.002293	-0.02372	11.61	1.004	0.5089	2.004	61	-3.968	0.95721	0.015968	A	10.817	paired chronological folds did not show a median/majority improvement over baseline	Add a volatility regime filter: only enter long when current realized volatility is below its 60-period simple moving average (i.e., low volatility regime).
2026-09-06T20:13:03Z	2	KEPT	0.000434	-0.02372	15.036	1.283	0.6805	1.901	57	-2.824	0.987979	0.007984	A	14.325	K -0.02372 -> 0.000434; paired folds 0.5455 improved; prefix lookahead audit PASS (required delta 0.0057)	Add an ADX trend strength filter: only enter long when ADX(14) > 20, ensuring trades occur in strong trending markets.
2026-09-06T20:13:34Z	3	RISK_CONTROL_CHANGE	nan	0.000434	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add an ATR-based stop loss at entry to limit downside risk.
2026-09-06T20:14:12Z	4	REJECTED	-0.001596	0.000434	12.011	1.037	0.5941	1.764	46	-2.824	0.974579	0.00998	A	11.443	paired chronological folds did not show a median/majority improvement over baseline	Add a volume confirmation filter: only enter long when today's volume exceeds its 20-period simple moving average.
2026-09-06T20:21:06Z	5	RISK_CONTROL_CHANGE	nan	0.000434	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add an ATR-based stop loss at entry to limit downside risk.
2026-09-06T20:21:54Z	6	REJECTED	0.00032	0.000434	14.507	1.24	0.6867	1.82	51	-2.175	0.98884	0.011976	A	13.864	paired chronological folds did not show a median/majority improvement over baseline	Add a rising 200-day SMA filter: only enter long when the 200-day SMA is higher than its value one bar ago, confirming an strengthening long-term uptrend.
2026-09-06T20:22:34Z	7	REJECTED	0.000434	0.000434	15.036	1.283	0.6805	1.901	57	-2.824	0.987979	0.007984	A	14.325	paired chronological folds did not show a median/majority improvement over baseline	Add a pullback depth filter: only enter long when the 7-day low is above 98% of the 200-day SMA, ensuring shallow pullbacks within the uptrend.
2026-09-06T20:23:20Z	8	REJECTED	-0.004758	0.000434	0.96	0.087	0.247	0.355	1	-0.465	0.82403	0.191617	D	0.941	guard: development robustness gate failed	Add an RSI oversold filter: only enter long when RSI(14) < 30, increasing probability of mean-reversion pullbacks.
2026-09-06T20:36:09Z	9	CRASH	nan	0.000434	nan	nan	nan	nan	0	nan	nan	nan		nan	NVIDIA research-agent call failed: delimiter parse failed (required output markers missing or out of order); JSON fallback failed (Expecting value: line 1 column 1 (char 0))	(agent failed)
2026-09-06T20:42:32Z	10	REJECTED	-0.004897	0.000434	10.223	0.89	0.497	1.816	45	-3.265	0.950567	0.01996	A	9.655	paired chronological folds did not show a median/majority improvement over baseline	Add an intermediate-term uptrend filter: only enter long when price is above its 50-day simple moving average.
2026-09-06T20:43:39Z	11	REJECTED	-0.010289	0.000434	10.928	0.948	0.5773	1.66	65	-3.239	0.972018	0.017964	A	10.142	paired chronological folds did not show a median/majority improvement over baseline	Add an ATR-based trailing stop loss that exits the position when price falls below the highest high since entry minus a multiple of ATR, providing a dynamic exit while preserving the original entry lo
2026-09-06T20:44:17Z	12	REJECTED	0.000359	0.000434	14.743	1.259	0.6699	1.896	55	-2.824	0.986844	0.003992	A	14.047	paired chronological folds did not show a median/majority improvement over baseline	Add a volatility-adjusted trend filter: only enter long when the 7-day low is at least one ATR(14) above the 200-day SMA, ensuring the pullback is not too deep relative to recent volatility.
2026-09-06T23:16:25Z	13	REJECTED	-0.062328	0.000434	16.345	1.387	0.404	3.569	53	-12.338	0.907661	0.037924	A	15.665	guard: development robustness gate failed	Change exit lookback from 7-day high to 14-day high of Close prices
