ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T16:35:36Z	1	REJECTED	0.272222	0.272222	161.539	32.979	1.519	20.07	104	-12.774	0.998292	0.011976	A	140.729	paired chronological folds did not show a median/majority improvement over baseline	Add ADX > 20 regime filter to entry condition to trade only in trending markets.
2026-09-05T16:36:21Z	2	CRASH	nan	0.272222	nan	nan	nan	nan	0	nan	nan	nan		nan	NVIDIA research-agent call failed: delimiter parse failed (required output markers missing or out of order); JSON fallback failed (Expecting value: line 1 column 1 (char 0))	(agent failed)
2026-09-06T05:32:01Z	3	RISK_CONTROL_CHANGE	nan	0.272222	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add ATR-based stop loss to entry orders
2026-09-06T05:35:48Z	4	REJECTED	0.119964	0.272222	98.131	22.472	1.2014	18.235	71	-16.434	0.989553	0.03992	A	87.252	paired chronological folds did not show a median/majority improvement over baseline	Add volume filter requiring current volume to exceed its 30-bar average to ensure participation.
2026-09-06T05:36:06Z	5	REJECTED	0.157342	0.272222	77.153	18.475	1.1626	15.611	55	-14.578	0.988253	0.023952	A	68.685	paired chronological folds did not show a median/majority improvement over baseline	Add a low-volatility filter: only enter trades when current realized volatility is below its 30-bar moving average.
2026-09-06T05:36:48Z	6	REJECTED	0.093515	0.272222	107.556	24.171	1.2551	18.609	85	-16.805	0.991494	0.041916	A	93.897	paired chronological folds did not show a median/majority improvement over baseline	Add longer-term SMA100 filter to entry condition to trade only when price is above the 100-period simple moving average, aligning trades with the longer-term uptrend.
2026-09-06T13:09:53Z	7	RISK_CONTROL_CHANGE	nan	0.272222	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add ATR-based stop loss to entry orders using existing _buy_with_stop helper.
2026-09-06T13:11:47Z	8	KEPT	0.281631	0.272222	162.179	33.076	1.5402	19.807	94	-12.774	0.998516	0.00998	A	143.235	K 0.272222 -> 0.281631; paired folds 0.5 improved; prefix lookahead audit PASS (required delta 0.0063)	Add fast EMA above slow SMA alignment condition to entry to ensure bullish moving average ordering.
2026-09-06T13:14:17Z	9	REJECTED	0.226512	0.281631	120.054	26.342	1.411	17.658	70	-10.859	0.996934	0.011976	A	107.695	paired chronological folds did not show a median/majority improvement over baseline	Add rising ADX condition (current ADX > previous ADX) to entry to trade only when trend strength is increasing.
2026-09-06T13:15:21Z	10	REJECTED	0.215631	0.281631	137.067	29.162	1.4035	19.579	93	-13.125	0.99653	0.035928	A	120.052	paired chronological folds did not show a median/majority improvement over baseline	Add rising RSI condition (current RSI > previous RSI) to entry to trade only when short-term momentum is increasing.
