ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T20:39:13Z	1	REJECTED	-0.100301	0.252895	47.358	12.18	0.6579	20.717	13	-27.691	0.887197	0.129741	C	45.734	guard: development robustness gate failed	Add a low-volatility regime filter: only enter trades when realized volatility is below its 20-period moving average.
2026-09-05T20:39:51Z	2	TOO_BROAD	nan	0.252895	nan	nan	nan	nan	0	nan	nan	nan		nan	localized-change guard: too many semantic units changed (5): ['MoonStrategy.assign:adx_lookback', 'MoonStrategy.assign:adx_threshold', 'MoonStrategy.init', 'MoonStrategy.next', 'func:_adx']	Add an ADX trend strength filter: only enter when 14‑period ADX > 20 to ensure trades occur during strong trending conditions.
2026-09-06T07:45:10Z	3	REJECTED	0.104871	0.252895	85.181	20.042	0.9663	21.212	18	-26.86	0.964239	0.033932	B	82.605	paired chronological folds did not show a median/majority improvement over baseline	Add ADX trend strength filter: only enter when 14-period ADX > 20 to ensure trades occur during strong trending conditions.
2026-09-06T07:45:45Z	4	REJECTED	0.325662	0.252895	164.934	33.489	1.2812	24.954	11	-26.572	0.991591	0.011976	C	162.618	guard: development robustness gate failed	Add a volume participation filter: only enter when current volume exceeds its 20-period moving average.
2026-09-06T07:46:40Z	5	REJECTED	-0.086659	0.252895	91.308	21.206	0.9677	22.465	17	-25.547	0.962973	0.033932	B	88.826	paired chronological folds did not show a median/majority improvement over baseline	Change pullback condition to require price below EMA20 within 0.40*ATR (bullish pullback to faster EMA)
2026-09-06T07:47:15Z	6	PARAMETER_ONLY	nan	0.252895	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Increase initial stop loss multiplier from 1.5 to 2.0 ATR to reduce premature exits.
2026-09-06T07:58:06Z	7	REJECTED	0.15795	0.252895	112.375	25.018	1.2264	19.755	47	-24.118	0.993546	0.047904	A	104.63	paired chronological folds did not show a median/majority improvement over baseline	Exit longs when price crosses below the 20‑period EMA to tighten risk control.
2026-09-06T07:58:47Z	8	REJECTED	0.098729	0.252895	86.125	20.223	0.9825	20.961	15	-27.218	0.96662	0.043912	B	83.993	paired chronological folds did not show a median/majority improvement over baseline	Add a longer-term uptrend filter: only enter when EMA50 > EMA100 to ensure the medium-term trend is above the long-term trend.
2026-09-06T07:59:21Z	9	REJECTED	0.132648	0.252895	92.791	21.484	1.0465	20.604	12	-24.386	0.974778	0.035928	B	91.133	paired chronological folds did not show a median/majority improvement over baseline	Add a high-volatility regime filter: only enter trades when realized volatility exceeds its 20-period moving average.
2026-09-06T08:00:02Z	10	KEPT	0.280366	0.252895	160.92	32.886	1.2447	25.415	14	-27.52	0.989832	0.025948	B	158.181	K 0.252895 -> 0.280366; paired folds 0.75 improved; prefix lookahead audit PASS (required delta 0.0064)	Require price to be above EMA20 within 0.40*ATR for pullback entry (one-sided bullish pullback).
2026-09-06T19:56:09Z	11	REJECTED	0.281435	0.280366	162.248	33.086	1.2803	24.683	11	-27.846	0.991522	0.021956	C	160.077	guard: development robustness gate failed	Add a higher low condition: only enter when the current bar's low is higher than the previous bar's low to confirm bullish pressure on the pullback.
2026-09-06T19:56:49Z	12	CRASH	nan	0.280366	nan	nan	nan	nan	0	nan	nan	nan		nan	NVIDIA research-agent call failed: delimiter parse failed (required output markers missing or out of order); JSON fallback failed (Expecting value: line 1 column 1 (char 0))	(agent failed)
2026-09-06T20:27:31Z	13	RISK_CONTROL_CHANGE	nan	0.280366	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Rename class to AtlasStrategy to meet requirement
2026-09-06T20:42:09Z	14	RISK_CONTROL_CHANGE	nan	0.280366	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a rising EMA20 filter: only enter when the 20-period EMA is upward sloping to ensure entering during strengthening short-term trend.
2026-09-06T20:49:43Z	15	RISK_CONTROL_CHANGE	nan	0.280366	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a rising EMA20 filter: only enter when the 20-period EMA is upward sloping to ensure entering during strengthening short-term trend.
2026-09-06T20:55:20Z	16	RISK_CONTROL_CHANGE	nan	0.280366	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add an RSI overbought filter: only enter when RSI(14) is below 70 to avoid buying in overbought conditions during a bullish pullback.
2026-09-06T21:09:21Z	17	RISK_CONTROL_CHANGE	nan	0.280366	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a long-term uptrend filter: only enter when price is above the 200‑period EMA to ensure trading in a bullish longer‑term trend.
2026-09-06T21:22:36Z	18	RISK_CONTROL_CHANGE	nan	0.280366	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Enter long positions using a limit order at the EMA20 level instead of a market order to improve entry price while maintaining the same risk parameters.
