ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-06T01:34:35Z	1	REJECTED	0.007046	-0.027053	34.384	2.726	0.4971	5.744	28	-9.403	0.951484	0.043912	B	31.861	paired chronological folds did not show a median/majority improvement over baseline	Add a low-volatility regime filter: only enter when current realized volatility is below its 50-day simple moving average.
2026-09-06T01:35:13Z	2	REJECTED	-0.010863	-0.027053	56.86	4.181	0.4891	9.257	60	-17.548	0.945772	0.063872	A	48.415	paired chronological folds did not show a median/majority improvement over baseline	Add a 200-day simple moving average trend filter: only enter long positions when price is above its 200-day SMA.
2026-09-06T09:08:30Z	3	PARAMETER_ONLY	nan	-0.027053	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Increase the stop loss multiplier from 2.0 to 3.0 to reduce premature stopouts and allow mean reversion to play out.
2026-09-06T09:11:21Z	4	KEPT	0.005031	-0.027053	95.103	6.27	0.6532	10.097	82	-13.001	0.983992	0.011976	A	86.008	K -0.027053 -> 0.005031; paired folds 0.6364 improved; prefix lookahead audit PASS (required delta 0.0060)	Add a higher-low filter: only enter when price is above its 10-day rolling low to avoid catching falling knives.
2026-09-06T09:12:13Z	5	CRASH	nan	0.005031	nan	nan	nan	nan	0	nan	nan	nan		nan	NVIDIA research-agent call failed: delimiter parse failed (required output markers missing or out of order); JSON fallback failed (Expecting value: line 1 column 1 (char 0))	(agent failed)
2026-09-06T09:17:51Z	6	REJECTED	0.003473	0.005031	67.406	4.8	0.5429	9.468	65	-13.001	0.962754	0.025948	A	61.615	paired chronological folds did not show a median/majority improvement over baseline	Add a medium-term trend filter: only enter long when price is below its 50-day SMA to avoid buying into strong uptrends.
2026-09-06T09:23:36Z	7	REJECTED	0.005119	0.005031	42.997	3.308	0.4449	8.05	46	-11.83	0.92679	0.03992	A	39.078	paired chronological folds did not show a median/majority improvement over baseline	Add a z-score momentum filter: only enter when the z-score is rising (i.e., current z-score > previous z-score) to improve entry timing.
2026-09-06T09:27:29Z	8	REJECTED	-0.028877	0.005031	11.277	0.977	0.2715	3.858	21	-9.782	0.814378	0.169661	C	9.601	paired chronological folds did not show a median/majority improvement over baseline	Add a 50-day EMA uptrend filter: only enter long when price is above its 50-day EMA to align with the prevailing trend.
2026-09-06T09:28:27Z	9	REJECTED	0.003054	0.005031	55.383	4.092	0.4804	9.242	84	-13.001	0.943377	0.047904	A	48.034	paired chronological folds did not show a median/majority improvement over baseline	Exit mean reversion trades earlier when the z-score rises to -0.5 to lock in profits and reduce giving back gains.
2026-09-06T09:29:46Z	10	REJECTED	-0.017783	0.005031	43.097	3.314	0.4014	9.179	66	-13.531	0.906646	0.091816	A	37.641	paired chronological folds did not show a median/majority improvement over baseline	Add a volume confirmation filter: only enter long when current volume exceeds its 20-period simple moving average.
2026-09-06T09:41:25Z	11	REJECTED	0.018529	0.005031	89.485	5.988	0.6313	10.014	81	-13.001	0.980869	0.015968	A	80.717	paired chronological folds did not show a median/majority improvement over baseline	Add a prior-close filter: only enter when today's close is above yesterday's close to avoid buying into strong downtrends.
2026-09-06T09:41:55Z	12	CRASH	nan	0.005031	nan	nan	nan	nan	0	nan	nan	nan		nan	NVIDIA research-agent call failed: delimiter parse failed (required output markers missing or out of order); JSON fallback failed (Expecting value: line 1 column 1 (char 0))	(agent failed)
2026-09-06T16:45:00Z	13	REJECTED	-0.085	0.005031	0.0	0.0	0.0	0.0	0	0.0	0.0	1.0	D	0.0	guard: development robustness gate failed	Add a rising higher-low filter: only enter when the 10-day rolling low is making a higher low (current low > previous low) to improve entry quality.
