ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T22:27:23Z	1	PARAMETER_ONLY	nan	0.070394	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Increase entry threshold from 1.5*ATR to 2.0*ATR above EMA to require stronger trend signal
2026-09-05T22:27:43Z	2	REJECTED	0.072761	0.070394	42.177	10.996	1.428	7.499	13	-9.232	0.995426	0.007984	B	41.953	paired chronological folds did not show a median/majority improvement over baseline	Add upward EMA slope filter to require rising trend for entry
2026-09-06T13:43:43Z	3	REJECTED	0.04315	0.070394	32.17	8.62	1.2961	6.541	13	-9.11	0.991774	0.01996	B	31.942	paired chronological folds did not show a median/majority improvement over baseline	Add ADX trend strength filter requiring ADX > 20 for entry to ensure trades occur in trending markets
2026-09-06T13:45:01Z	4	KEPT	0.124268	0.070394	43.381	11.274	1.7816	6.097	17	-6.462	0.999488	0.005988	B	43.036	K 0.070394 -> 0.124268; paired folds 0.75 improved; prefix lookahead audit PASS (required delta 0.0060)	Add ATR-based trailing stop exit to replace fixed EMA exit, allowing profits to run while limiting losses
2026-09-06T13:47:37Z	5	REJECTED	0.080045	0.124268	25.315	6.919	1.6792	4.03	24	-5.37	0.999325	0.003992	A	24.844	paired chronological folds did not show a median/majority improvement over baseline	Change trailing stop reference from highest close to highest high since entry to better capture trend strength and reduce premature exits in strong uptrends
2026-09-06T13:48:19Z	6	REJECTED	0.124095	0.124268	42.605	11.095	1.7542	6.101	17	-6.462	0.99939	0.001996	B	42.26	paired chronological folds did not show a median/majority improvement over baseline	Add a threshold of 0.5*ATR to the trailing high update condition to prevent premature trailing stop updates on minor fluctuations
2026-09-06T19:35:38Z	7	REJECTED	0.043928	0.124268	22.379	6.17	1.6277	3.719	35	-4.625	0.999164	0.007984	A	21.828	paired chronological folds did not show a median/majority improvement over baseline	Add ATR-based profit target exit to complement trailing stop, closing positions when price reaches entry price plus a multiple of ATR
2026-09-06T19:36:26Z	8	DUPLICATE	nan	0.124268	nan	nan	nan	nan	0	nan	nan	nan		nan	semantic AST duplicate of a previously generated candidate	Add a threshold of 0.5*ATR to the trailing high update condition when using the close price to prevent premature updates on minor fluctuations
2026-09-06T19:37:26Z	9	REJECTED	0.116769	0.124268	42.857	11.153	1.7473	6.157	16	-6.298	0.999298	0.005988	B	42.445	paired chronological folds did not show a median/majority improvement over baseline	Add a volume confirmation filter requiring current volume to exceed its 30-period moving average for entry.
2026-09-06T19:37:57Z	10	REJECTED	0.067796	0.124268	26.012	7.095	1.4913	4.667	15	-6.3	0.997378	0.005988	B	25.8	paired chronological folds did not show a median/majority improvement over baseline	Add volatility expansion filter: only enter when current ATR exceeds its 20-period simple moving average.
