ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-06T18:58:55Z	1	REJECTED	-0.022251	-0.020501	44.209	3.387	0.6752	5.131	109	-8.552	0.9886	0.007984	A	42.554	paired chronological folds did not show a median/majority improvement over baseline	Add an uptrend filter requiring the 200-day SMA to be rising over the past five bars before entering long positions.
2026-09-06T18:59:41Z	2	REJECTED	-0.020501	-0.020501	45.757	3.488	0.6924	5.145	111	-8.367	0.990237	0.005988	A	44.056	paired chronological folds did not show a median/majority improvement over baseline	Only enter long when the 7-day low is above the 200-day SMA, ensuring the pullback occurs within an established uptrend.
2026-09-06T19:00:04Z	3	REJECTED	0.00154	-0.020501	35.355	2.793	0.6944	4.089	75	-5.776	0.992617	0.007984	A	34.236	paired chronological folds did not show a median/majority improvement over baseline	Add a volatility regime filter: only enter long when current realized volatility is below its 20-day simple moving average, trading only in low-volatility periods.
2026-09-06T19:01:00Z	4	REJECTED	-0.027102	-0.020501	31.62	2.532	0.5357	4.892	71	-8.552	0.964954	0.015968	A	30.592	paired chronological folds did not show a median/majority improvement over baseline	Add a volume confirmation filter: only enter long when today's volume exceeds its 20-day average.
2026-09-06T19:05:38Z	5	RISK_CONTROL_CHANGE	nan	-0.020501	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add an ATR-based stop loss on entry to limit downside risk.
2026-09-06T19:07:04Z	6	REJECTED	0.001446	-0.020501	39.282	3.061	0.6767	4.615	122	-6.515	0.989207	0.003992	A	37.509	paired chronological folds did not show a median/majority improvement over baseline	Add a time-based exit: close position after a fixed number of bars if not exited earlier.
2026-09-06T19:07:49Z	7	REJECTED	-0.134658	-0.020501	66.628	4.756	0.7519	6.46	13	-18.031	0.993645	0.011976	C	66.455	guard: development robustness gate failed	Exit long positions when price falls below the 200-day SMA instead of exiting at the 7-day high, trading trend reversals rather than short-term mean reversion.
2026-09-06T19:08:57Z	8	REJECTED	0.00148	-0.020501	26.48	2.161	0.5911	3.736	63	-6.05	0.971993	0.017964	A	25.726	paired chronological folds did not show a median/majority improvement over baseline	Add a high-volatility regime filter: only enter long when realized volatility exceeds its 20-day SMA.
2026-09-06T19:47:21Z	9	PARAMETER_ONLY	nan	-0.020501	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Increase the lookback period for the pullback and exit channels from 7 to 14 days to reduce whipsaws and improve robustness.
2026-09-06T19:48:02Z	10	REJECTED	-0.068592	-0.020501	0.632	0.057	0.0359	2.404	25	-8.416	0.547252	0.453094	C	0.376	paired chronological folds did not show a median/majority improvement over baseline	Add a bullish candle requirement at entry: only enter long if the closing price is above the opening price of the same bar.
2026-09-06T19:50:37Z	11	REJECTED	-0.093588	-0.020501	29.684	2.393	0.5389	4.586	127	-13.411	0.966207	0.01996	A	27.979	guard: development robustness gate failed	Add a trailing stop exit based on ATR and highest high since entry as an additional exit condition
2026-09-06T22:40:30Z	12	RISK_CONTROL_CHANGE	nan	-0.020501	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a filter requiring the 7-day high to be above the 200-day SMA before entering long positions, ensuring the recent short-term high is within an established uptrend.
2026-09-06T22:50:18Z	13	RISK_CONTROL_CHANGE	nan	-0.020501	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a medium-term uptrend filter requiring the 50-day SMA to be above the 200-day SMA before entering long positions.
