ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T21:58:38Z	1	REJECTED	-0.012921	0.049216	31.793	8.529	0.5463	17.895	13	-18.245	0.843451	0.135729	C	30.489	paired chronological folds did not show a median/majority improvement over baseline	Add ADX trend filter requiring ADX > 20 for entry
2026-09-05T21:59:23Z	2	REJECTED	0.023906	0.049216	52.655	13.361	0.8393	16.559	8	-15.386	0.940999	0.08982	C	51.761	guard: development robustness gate failed	Add a volatility expansion filter requiring current realized volatility to exceed its 20-bar average for entry
2026-09-06T18:34:09Z	3	REJECTED	0.029948	0.049216	54.561	13.779	0.8549	16.705	7	-16.054	0.948882	0.071856	C	53.601	guard: development robustness gate failed	Add medium-term trend filter requiring 50-day SMA above 200-day SMA for entry
2026-09-06T18:34:42Z	4	REJECTED	0.049216	0.049216	70.115	17.06	0.8565	20.923	14	-18.245	0.944889	0.081836	B	68.261	paired chronological folds did not show a median/majority improvement over baseline	Add bullish candle requirement (close > open) to entry condition
2026-09-06T18:35:43Z	5	REJECTED	0.202861	0.049216	231.373	42.644	1.3695	29.001	9	-28.994	0.993641	0.021956	C	229.05	guard: development robustness gate failed	Change exit logic from fixed SMA-based exit to ATR-based trailing stop that tracks highest high since entry
2026-09-06T18:44:01Z	6	RISK_CONTROL_CHANGE	nan	0.049216	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add long-term trend filter requiring price above 200-day SMA for entry
2026-09-06T19:02:40Z	7	REJECTED	0.049216	0.049216	70.115	17.06	0.8565	20.923	14	-18.245	0.944889	0.085828	B	68.261	paired chronological folds did not show a median/majority improvement over baseline	Add volume increase requirement: current volume must be greater than previous bar's volume to confirm breakout
2026-09-06T19:03:17Z	8	REJECTED	0.125415	0.049216	208.448	39.645	1.1623	33.589	8	-32.715	0.982714	0.023952	C	206.478	guard: development robustness gate failed	Change exit condition from 20-day SMA to 50-day SMA for symmetric trend-following exit
2026-09-06T19:04:32Z	9	REJECTED	0.077263	0.049216	54.912	13.855	0.7459	20.071	13	-16.054	0.918002	0.0998	B	53.363	paired chronological folds did not show a median/majority improvement over baseline	Add long-term trend filter requiring price above 200-day EMA for entry
2026-09-06T19:05:51Z	10	REJECTED	0.049216	0.049216	70.115	17.06	0.8565	20.923	14	-18.245	0.944889	0.057884	B	68.261	paired chronological folds did not show a median/majority improvement over baseline	Add a bullish momentum filter requiring the current RSI(14) to be above 50 for entry
