ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-06T01:36:27Z	1	REJECTED	-0.00273	-0.016535	12.727	1.107	0.471	2.399	34	-4.783	0.941279	0.083832	A	12.381	paired chronological folds did not show a median/majority improvement over baseline	Add a 50-day SMA trend filter: only enter long when price above its 50-day SMA to avoid mean-reversion entries in strong downtrends.
2026-09-06T01:37:17Z	2	REJECTED	-0.010951	-0.016535	21.632	1.815	0.528	3.528	40	-7.086	0.958466	0.037924	A	21.213	paired chronological folds did not show a median/majority improvement over baseline	Add a low-volatility filter: only enter long when z-score < -1.5 and current realized volatility is below its 60-day average to avoid mean-reversion entries in turbulent markets.
2026-09-06T09:30:51Z	3	RISK_CONTROL_CHANGE	nan	-0.016535	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add an ADX-based trend filter: only enter long when z-score < -1.5 and ADX < 20 to avoid mean-reversion entries in strong trending regimes.
2026-09-06T09:31:38Z	4	PARAMETER_ONLY	nan	-0.016535	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Adjust exit threshold from z >= 0 to z >= 0.5 to allow longer holding of mean-reversion trades.
2026-09-06T09:33:08Z	5	CRASH	nan	-0.016535	nan	nan	nan	nan	0	nan	nan	nan		nan	harness exited 1; see logs/run_5.txt	Add an RSI oversold filter: only enter long when z < -1.5 and RSI(14) < 30 to avoid mean-reversion entries in weak downtrends lacking momentum.
2026-09-06T09:33:43Z	6	RISK_CONTROL_CHANGE	nan	-0.016535	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a volatility-based exit filter: close long position when z-score crosses zero OR when realized volatility exceeds 1.5 times its 20-day average to avoid holding through volatility spikes.
2026-09-06T16:45:58Z	7	REJECTED	-0.004377	-0.016535	43.114	3.348	0.7736	4.385	48	-8.155	0.993952	0.005988	A	42.657	paired chronological folds did not show a median/majority improvement over baseline	Add intraday range filter: only enter long when z < -1.5 and today's close is in the lower third of the day's high-low range to avoid mean-reversion entries in weak downtrends.
2026-09-06T16:49:00Z	8	REJECTED	-0.016535	-0.016535	49.339	3.753	0.7057	5.435	98	-8.08	0.989191	0.011976	A	48.301	paired chronological folds did not show a median/majority improvement over baseline	Add a maximum holding period exit: close long position if held for more than 20 bars to prevent prolonged exposure when mean reversion stalls.
2026-09-06T16:49:51Z	9	REJECTED	-0.003966	-0.016535	47.616	3.642	0.7105	5.232	96	-7.297	0.989605	0.011976	A	46.611	paired chronological folds did not show a median/majority improvement over baseline	Only enter long when z-score < -1.5 and the previous day's return was negative to avoid mean-reversion entries during upward momentum.
2026-09-06T16:51:26Z	10	KEPT	0.012494	-0.016535	53.992	4.046	0.9531	4.26	85	-6.611	0.998994	0.003992	A	53.07	K -0.016535 -> 0.012494; paired folds 0.8182 improved; prefix lookahead audit PASS (required delta 0.0064)	Enter long only when the z-score crosses below -1.5 (i.e., previous z >= -1.5 and current z < -1.5) to avoid entering during prolonged oversold conditions and reduce whipsaw.
2026-09-06T17:09:17Z	11	REJECTED	0.007798	0.012494	25.289	2.093	0.671	3.164	51	-5.683	0.983878	0.013972	A	24.894	paired chronological folds did not show a median/majority improvement over baseline	Add a high-volatility filter: only enter long when z-score crosses below -1.5 and current realized volatility exceeds its 60-day average to target mean-reversion in volatile regimes.
2026-09-06T17:10:09Z	12	REJECTED	0.008943	0.012494	49.077	3.736	0.8939	4.206	83	-6.611	0.99811	0.003992	A	48.21	paired chronological folds did not show a median/majority improvement over baseline	Add a 5-day negative rate-of-change filter: only enter long when z-score crosses below -1.5 and the 5-day ROC is negative to avoid mean-reversion entries during upward momentum.
2026-09-06T17:12:12Z	13	REJECTED	0.012494	0.012494	53.992	4.046	0.9531	4.26	85	-6.611	0.998994	0.001996	A	53.07	paired chronological folds did not show a median/majority improvement over baseline	Change exit condition to require a cross above zero (previous z < 0 and current z >= 0) to avoid exiting during prolonged overbought conditions and reduce whipsaw.
2026-09-06T17:13:55Z	14	REJECTED	0.021687	0.012494	52.954	3.981	0.9999	3.987	67	-6.611	0.999386	0.001996	A	52.226	paired chronological folds did not show a median/majority improvement over baseline	Add a volume confirmation filter: only enter long when z-score crosses below -1.5 and today's volume exceeds its 20-day average to ensure participation.
