ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-06T00:13:33Z	1	REJECTED	0.024805	0.08467	18.905	5.267	1.0505	5.003	65	-5.074	0.976362	0.043912	A	17.414	paired chronological folds did not show a median/majority improvement over baseline	Add ADX > 20 trend filter to entry condition to only trade in trending markets.
2026-09-06T00:13:57Z	2	REJECTED	0.004943	0.08467	10.414	2.981	0.7186	4.207	45	-3.816	0.909642	0.121756	B	9.481	paired chronological folds did not show a median/majority improvement over baseline	Add a volatility regime filter: only enter long when current realized volatility exceeds its 20-period simple moving average (i.e., trade in higher volatility regimes).
2026-09-06T05:11:17Z	3	REJECTED	0.066542	0.08467	27.959	7.583	1.3449	5.545	71	-4.352	0.995328	0.007984	A	26.097	paired chronological folds did not show a median/majority improvement over baseline	Add a 50-period simple moving average trend filter: only enter long when price exceeds its 50-period SMA (shifted).
2026-09-06T05:11:47Z	4	PARAMETER_ONLY	nan	0.08467	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Raise RSI entry threshold from 55 to 60 to require stronger momentum before entering.
2026-09-06T05:12:13Z	5	REJECTED	0.082619	0.08467	31.336	8.417	1.5011	5.48	68	-3.436	0.998315	0.005988	A	29.525	K 0.082619 did not exceed 0.08467 by adaptive required delta 0.0061	Add requirement that smoothed RSI (RSI_MA) exceeds 50 to ensure bullish momentum before entry
2026-09-06T05:13:36Z	6	REJECTED	0.08467	0.08467	30.38	8.182	1.4283	5.613	76	-4.47	0.997178	0.011976	A	28.394	paired chronological folds did not show a median/majority improvement over baseline	Add rising RSI condition (RSI > previous RSI) to entry to require strengthening momentum
2026-09-06T12:23:48Z	7	REJECTED	0.085076	0.08467	29.878	8.059	1.503	5.245	63	-3.437	0.998304	0.00998	A	28.191	K 0.085076 did not exceed 0.08467 by adaptive required delta 0.0062	Add volume confirmation filter: enter long only when current volume exceeds its 20-period simple moving average.
2026-09-06T12:25:09Z	8	REJECTED	0.043638	0.08467	18.675	5.207	1.0524	4.936	47	-4.269	0.976665	0.051896	A	17.523	paired chronological folds did not show a median/majority improvement over baseline	Add a positive daily price change filter (close > prior close) to entry condition to require upward momentum.
2026-09-06T12:25:58Z	9	TOO_BROAD	nan	0.08467	nan	nan	nan	nan	0	nan	nan	nan		nan	localized-change guard: too many MoonStrategy units changed (4): ['MoonStrategy._buy_with_stop', 'MoonStrategy.assign:profit_mult', 'MoonStrategy.init', 'MoonStrategy.next']	Add ATR-based profit target exit: close long when price reaches entry price + 1*ATR.
2026-09-06T12:27:59Z	10	REJECTED	0.010238	0.08467	64.325	15.864	1.2156	12.781	22	-13.913	0.98483	0.035928	A	63.629	guard: development robustness gate failed	Add ATR-based trailing stop exit to replace RSI-based exit conditions
