ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T16:50:20Z	1	REJECTED	0.044635	0.054712	39.003	10.256	0.6685	16.692	15	-26.112	0.886635	0.123752	C	38.323	paired chronological folds did not show a median/majority improvement over baseline	Add an ADX > 20 trend filter to entry condition to avoid breakouts in non‑trending markets
2026-09-05T16:50:54Z	2	REJECTED	0.03743	0.054712	56.027	14.098	0.8582	17.068	7	-25.365	0.937698	0.091816	C	55.66	guard: development robustness gate failed	Add a volatility expansion filter: only enter Donchian breakouts when current realized volatility exceeds its 20‑period moving average.
2026-09-06T15:44:21Z	3	REJECTED	0.013392	0.054712	31.407	8.434	0.5775	16.337	16	-29.891	0.852114	0.135729	C	30.681	paired chronological folds did not show a median/majority improvement over baseline	Add a volatility contraction filter: only enter Donchian breakouts when current realized volatility is below its 20‑period moving average.
2026-09-06T15:45:40Z	4	REJECTED	0.032492	0.054712	48.059	12.338	0.7281	18.278	17	-31.792	0.905493	0.08982	B	47.208	guard: development robustness gate failed	Add a volume expansion filter: only enter Donchian breakouts when current volume exceeds its 20‑period moving average.
2026-09-06T15:46:25Z	5	RISK_CONTROL_CHANGE	nan	0.054712	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a 50‑period simple moving average trend filter: only enter long Donchian breakouts when price is above its 50‑period SMA.
2026-09-06T15:47:20Z	6	REJECTED	0.054712	0.054712	53.147	13.469	0.7801	18.364	17	-30.635	0.920049	0.097804	B	52.269	paired chronological folds did not show a median/majority improvement over baseline	Add a bullish breakout filter: only enter Donchian breakouts when the breakout bar closes above its open.
2026-09-06T15:49:13Z	7	REJECTED	0.031927	0.054712	51.825	13.178	1.0393	12.678	18	-13.423	0.971102	0.041916	B	50.921	K 0.031927 did not exceed 0.054712 by adaptive required delta 0.0062	Replace fixed Donchian lower-band exit with an ATR-based trailing stop that tracks the highest high since entry
2026-09-06T15:50:59Z	8	PARAMETER_ONLY	nan	0.054712	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Increase entry lookback from 20 to 25 to require stronger breakout and reduce false signals.
2026-09-06T15:51:50Z	9	REJECTED	-0.010923	0.054712	28.337	7.677	0.6702	12.13	12	-18.216	0.888219	0.103792	C	27.788	paired chronological folds did not show a median/majority improvement over baseline	Add a 100‑period simple moving average trend filter: only enter long Donchian breakouts when price is above its 100‑period SMA.
2026-09-06T15:52:40Z	10	REJECTED	0.052063	0.054712	53.147	13.469	0.7801	18.364	17	-30.635	0.920049	0.101796	C	52.269	paired chronological folds did not show a median/majority improvement over baseline	Add a prior-close momentum filter: only enter Donchian breakouts when the current close exceeds the previous bar's close.
2026-09-06T23:12:55Z	11	RISK_CONTROL_CHANGE	nan	0.054712	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a Donchian width expansion filter: only enter long breakouts when the current Donchian channel width exceeds its 20‑period moving average.
2026-09-06T23:13:26Z	12	RISK_CONTROL_CHANGE	nan	0.054712	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a time-based exit: close position after holding for max_hold bars (e.g., 20) in addition to the existing Donchian lower-band exit.
