ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T20:09:50Z	1	REJECTED	0.461055	0.423816	284.649	49.091	1.7573	24.369	17	-16.334	0.999875	0.001996	B	279.915	paired chronological folds did not show a median/majority improvement over baseline	Exit position when price falls below the 20-period simple moving average instead of the 50-period SMA for quicker reversals.
2026-09-05T20:10:21Z	2	REJECTED	0.352876	0.423816	321.605	53.201	1.7654	26.033	15	-20.723	0.999854	0.007984	B	317.058	paired chronological folds did not show a median/majority improvement over baseline	Shorten the trend filter from 50-period SMA to 30-period SMA for more responsive breakout entries and exits.
2026-09-06T05:37:26Z	3	REJECTED	0.118396	0.423816	95.033	21.901	1.0751	20.322	13	-28.71	0.977882	0.027944	B	93.384	paired chronological folds did not show a median/majority improvement over baseline	Add ADX trend filter requiring ADX > 20 to enter breakout trades
2026-09-06T05:38:54Z	4	REJECTED	0.088765	0.423816	49.481	12.657	0.9597	13.286	51	-8.996	0.99131	0.041916	A	43.398	paired chronological folds did not show a median/majority improvement over baseline	Exit position when price falls below the 20-period rolling high instead of the 50-period SMA for tighter breakout failure exits.
2026-09-06T05:39:48Z	5	CRASH	nan	0.423816	nan	nan	nan	nan	0	nan	nan	nan		nan	NVIDIA research-agent call failed: delimiter parse failed (required output markers missing or out of order); JSON fallback failed (Expecting value: line 1 column 1 (char 0))	(agent failed)
2026-09-06T05:42:23Z	6	REJECTED	0.423816	0.423816	384.746	59.672	1.5877	32.839	13	-30.257	0.998537	0.001996	B	380.109	paired chronological folds did not show a median/majority improvement over baseline	Add a volatility floor filter: only enter breakout trades when realized volatility exceeds half the target volatility.
2026-09-06T15:06:50Z	7	REJECTED	0.413379	0.423816	321.948	53.238	1.4921	32.003	12	-30.207	0.997452	0.011976	B	318.124	paired chronological folds did not show a median/majority improvement over baseline	Add a 100-period SMA trend filter requiring price to be above the 100-period SMA for breakout entries.
2026-09-06T15:07:27Z	8	PARAMETER_ONLY	nan	0.423816	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Reduce the rolling lookback for the breakout high from 20 bars to 10 bars to capture shorter-term breakouts.
2026-09-06T15:08:35Z	9	REJECTED	-0.085	0.423816	0.0	0.0	0.0	0.0	0	0.0	0.0	1.0	D	0.0	guard: development robustness gate failed	Add a volatility ceiling filter: only enter breakout trades when realized volatility is at or below the target volatility.
2026-09-06T15:12:12Z	10	PARAMETER_ONLY	nan	0.423816	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Tighten initial stop loss from 2.0×ATR to 1.5×ATR to reduce losses on failed breakouts.
2026-09-06T15:40:25Z	11	REJECTED	0.047156	0.423816	80.441	19.123	1.1304	16.666	26	-10.6	0.991229	0.027944	A	76.998	paired chronological folds did not show a median/majority improvement over baseline	Add a trailing stop exit based on the highest high since entry and a multiple of ATR, replacing the fixed SMA50 exit.
2026-09-06T15:41:53Z	12	REJECTED	0.413492	0.423816	302.112	51.066	1.4372	32.296	13	-36.285	0.996513	0.007984	B	298.236	guard: development robustness gate failed	Add rising 50-period SMA condition to entry: require the 50-period SMA to be increasing over the previous bar.
2026-09-06T15:43:14Z	13	REJECTED	0.423816	0.423816	384.746	59.672	1.5877	32.839	13	-30.257	0.998537	0.007984	B	380.109	paired chronological folds did not show a median/majority improvement over baseline	Enter only on bullish breakout bars where the close exceeds the open.
