ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T16:32:19Z	1	RISK_CONTROL_CHANGE	nan	0.435364	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add an ATR-based stop loss to entry orders to limit downside risk
2026-09-05T16:32:49Z	2	REJECTED	0.435364	0.435364	194.736	37.775	1.6751	20.287	101	-12.663	0.999986	0.007984	A	164.546	paired chronological folds did not show a median/majority improvement over baseline	Add ADX trend strength filter (ADX > 20) to entry condition to trade only in trending markets
2026-09-06T05:18:15Z	3	REJECTED	0.160969	0.435364	111.579	24.879	1.2999	18.289	69	-18.626	0.999701	0.023952	A	96.165	paired chronological folds did not show a median/majority improvement over baseline	Add volume confirmation: only enter when current volume is above its 20-period moving average
2026-09-06T05:19:02Z	4	REJECTED	0.365942	0.435364	173.046	34.688	1.5841	19.984	89	-13.837	0.999965	0.00998	A	149.022	paired chronological folds did not show a median/majority improvement over baseline	Add EMA7 > SMA50 condition to entry to trade only when short-term average exceeds medium-term average (uptrend filter)
2026-09-06T05:21:06Z	5	REJECTED	0.050008	0.435364	32.495	8.7	0.8013	11.172	54	-14.245	0.943592	0.06986	A	26.158	paired chronological folds did not show a median/majority improvement over baseline	Add a high-volatility regime filter: only enter when realized volatility exceeds its 20-period moving average.
2026-09-06T05:21:54Z	6	REJECTED	0.453119	0.435364	189.003	36.975	1.6555	20.161	104	-11.263	0.999983	0.003992	A	159.005	paired chronological folds did not show a median/majority improvement over baseline	Add price below EMA7 as an additional exit condition to close positions when price falls below short-term average
2026-09-06T12:55:23Z	7	REJECTED	0.178032	0.435364	305.704	51.465	1.587	28.726	26	-47.77	0.998831	0.00998	A	295.795	guard: development robustness gate failed	Replace the indicator-based exit (RSI < ADX) with a volatility-based trailing stop that exits when price falls a multiple of ATR below the highest high since entry.
2026-09-06T12:56:16Z	8	KEPT	0.605817	0.435364	358.853	57.095	1.7433	28.093	66	-25.016	0.999885	0.007984	A	329.128	K 0.435364 -> 0.605817; paired folds 0.5 improved; prefix lookahead audit PASS (required delta 0.0063)	Replace RSI < ADX exit condition with price below EMA7 exit condition (short-term trend exit)
2026-09-06T12:57:04Z	9	REJECTED	0.710965	0.605817	379.356	59.144	1.8645	26.764	28	-15.421	0.999978	0.007984	A	365.072	paired chronological folds did not show a median/majority improvement over baseline	Add a breakout filter: only enter when price exceeds the highest high of the past 20 bars.
2026-09-06T12:58:05Z	10	REJECTED	0.956271	0.605817	694.789	84.881	1.7251	40.286	29	-41.794	0.9994	0.001996	A	670.148	guard: development robustness gate failed	Change exit condition from price below EMA7 to price below SMA50 to exit on longer-term trend breakdown
