ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-06T19:20:16Z	1	REJECTED	-0.035169	-0.039289	13.744	1.179	0.1808	8.471	70	-21.799	0.725145	0.261477	B	12.061	paired chronological folds did not show a median/majority improvement over baseline	Add a volatility contraction filter: only enter when short-term realized volatility is below its longer-term counterpart, favoring low-volatility regimes for mean-reversion entries.
2026-09-06T19:20:51Z	2	REJECTED	-0.030656	-0.039289	14.625	1.25	0.2001	7.693	68	-19.241	0.745478	0.221557	B	13.138	paired chronological folds did not show a median/majority improvement over baseline	Add an ADX trend strength filter: only enter when ADX exceeds 20, ensuring entries occur in sufficiently trending markets to improve mean-reversion edge.
2026-09-06T19:21:26Z	3	REJECTED	-0.007421	-0.039289	3.462	0.31	0.3362	0.934	2	-2.264	0.915361	0.143713	D	3.432	guard: development robustness gate failed	Add an RSI oversold filter (RSI<30) to entry condition to improve mean-reversion edge.
2026-09-06T19:28:01Z	4	REJECTED	-0.027747	-0.039289	30.974	2.486	0.3156	9.104	70	-27.32	0.849099	0.153693	B	29.162	paired chronological folds did not show a median/majority improvement over baseline	Add a volume confirmation filter: only enter when today's volume exceeds its 20-day average, seeking higher participation on mean-reversion dips.
2026-09-06T19:36:30Z	5	REJECTED	0.004577	-0.039289	72.326	5.077	0.5296	10.376	121	-21.701	0.957649	0.031936	A	68.421	paired chronological folds did not show a median/majority improvement over baseline	Replace the static price‑above‑200‑day SMA trend filter with an upward‑sloping 200‑day SMA filter (requiring the SMA to rise over the past five bars).
2026-09-06T19:37:35Z	6	REJECTED	-0.020021	-0.039289	49.015	3.696	0.4223	9.723	101	-23.742	0.9159	0.065868	A	46.125	paired chronological folds did not show a median/majority improvement over baseline	Add a medium-term trend filter: only enter when the 50-day SMA is above the 200-day SMA, ensuring trades occur in strong uptrends.
2026-09-06T19:38:46Z	7	RISK_CONTROL_CHANGE	nan	-0.039289	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add ATR-based stop-loss to entries to limit downside risk.
2026-09-06T19:39:10Z	8	REJECTED	-0.004575	-0.039289	17.737	1.497	0.311	5.215	48	-10.589	0.851075	0.093812	A	16.724	paired chronological folds did not show a median/majority improvement over baseline	Add a short-term trend filter requiring the 7-day low to exceed the 20-day SMA, ensuring pullbacks occur within a short-term uptrend.
2026-09-06T23:05:24Z	9	RISK_CONTROL_CHANGE	nan	-0.039289	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add an overbought RSI (>=70) exit condition to close positions early.
2026-09-06T23:05:59Z	10	CRASH	nan	-0.039289	nan	nan	nan	nan	0	nan	nan	nan		nan	NVIDIA research-agent call failed: delimiter parse failed (required output markers missing or out of order); JSON fallback failed (Expecting value: line 1 column 1 (char 0))	(agent failed)
