slow,mode,score,start,end,days,total_return_pct,cagr_pct,max_dd_pct,sharpe,exposure_pct,closed_trades,winning_trades,profit_factor,closed_trade_only_dd_pct
59,same_close,28.483172268387516,2011-08-18,2026-05-03,5372,2611972.950683566,99.66916950960125,-78.47913663002142,1.4731587978943153,58.83119300204728,77,42,2.4653619102070783,-65.64713030578899
60,same_close,31.183228232070384,2011-08-18,2026-05-03,5372,2357138.4222351424,98.28044905425655,-78.47913663002142,1.4536435574531903,59.11036664805509,77,40,2.448906662683621,-69.35575238914232
61,same_close,31.39663355941562,2011-08-18,2026-05-03,5372,1904144.6989177857,95.42428217514332,-78.47913663002142,1.4297099638199486,58.66368881444258,77,40,2.4008251273727024,-69.35575238914232
58,same_close,31.577327350268558,2011-08-18,2026-05-03,5372,2721410.8710563136,100.2271282311506,-78.47913663002143,1.4778662754414853,59.27787083565978,78,44,2.5554397807601283,-64.68913028236678
59,next_open,32.47233768371872,2011-08-18,2026-05-03,5372,4007642.607337755,105.56602940435553,-78.52751434621115,1.5186486904521568,58.849804578447795,78,43,2.4662090831100003,-65.61343811196619
62,same_close,33.53111749454101,2011-08-18,2026-05-03,5372,825456.8175280149,84.62894444858682,-82.18739905441271,1.372820757083734,56.37446491717848,77,39,2.100294884382698,-76.91491040218654
60,next_open,35.145440576341386,2011-08-18,2026-05-03,5372,3593763.5208468544,104.04822368010068,-78.52751434621112,1.4980797957653385,59.12897822445561,78,41,2.4498739101331575,-69.31541974711169
61,next_open,35.358276416310645,2011-08-18,2026-05-03,5372,2904779.6866905536,101.11676082343774,-78.52751434621112,1.4743075892239625,58.6823003908431,78,41,2.4011300598716137,-69.31541974711166
58,next_open,35.59747096669655,2011-08-18,2026-05-03,5372,4175569.358185103,106.1405151157659,-78.52751434621116,1.5233456822076485,59.2964824120603,79,45,2.5558211833450555,-64.68115174314634
50,next_open,36.624145860222555,2011-08-18,2026-05-03,5372,5303694.787788798,109.51969057942352,-75.77603870311536,1.5633355720449225,58.310068862832686,79,44,1.7065668314121045,-69.11679117024516
50,same_close,37.192616309295175,2011-08-18,2026-05-03,5372,3003922.1668245867,101.57618399603345,-75.73990981851733,1.5014768317158753,58.310068862832686,79,44,1.7060526945283965,-69.07561175364042
62,next_open,37.699429886201244,2011-08-18,2026-05-03,5372,1007216.4208353626,87.14378738678231,-82.15376327973901,1.3897789166790389,56.39307649357901,78,40,2.100382379629134,-76.88135887462873
42,same_close,37.95346972057045,2011-08-18,2026-05-03,5372,2815854.367235836,100.69207702664661,-71.41359659305954,1.5037631880788758,56.05806811836963,80,48,1.8693586209198683,-58.50954969626336
42,next_open,38.73319735990653,2011-08-18,2026-05-03,5372,4506637.926935863,107.21266134284484,-71.78792749755898,1.554562369252382,56.05806811836963,80,47,1.8706640112856332,-58.49807099155371
30,next_open,39.42392684472651,2011-08-18,2026-05-03,5372,1143823.8915237694,88.7689617288435,-73.03754064016388,1.4133146079539118,54.141075749115956,79,43,2.4599791423307926,-43.06529944711714
44,same_close,39.70603942248909,2011-08-18,2026-05-03,5372,1703479.3394813882,93.95031998353912,-71.41359659305955,1.4497658970805176,54.45747254792481,80,47,1.8105304247621208,-60.035123482239314
30,same_close,39.96489625714452,2011-08-18,2026-05-03,5372,665873.7323990487,81.95207169652122,-81.27553992452641,1.3522437859447136,54.12246417271543,79,43,2.4615655365522926,-42.9281501009737
44,next_open,40.49065706547693,2011-08-18,2026-05-03,5372,2713059.6776747047,100.18529431669658,-71.78792749755898,1.5004744196308109,54.45747254792481,80,46,1.8109841384528966,-60.058110147625435
56,same_close,44.08193228762198,2011-08-18,2026-05-03,5372,3179764.7558989543,102.35733371097653,-77.52139876015856,1.488263318932247,61.79043364973013,80,43,2.354110287965858,-62.954291218176614
43,same_close,44.15834931622793,2011-08-18,2026-05-03,5372,1770223.641951152,94.45775831489587,-71.41359659305952,1.4595216947517284,53.99218313791177,81,48,1.8224048068332181,-60.035123482239314
63,next_open,44.56407287540831,2011-08-18,2026-05-03,5372,1059201.2269821544,87.78514721931103,-82.37395793756673,1.4074006274904256,55.76028289596129,79,39,2.0102161591799983,-77.1666067592017
31,next_open,44.625510017870965,2011-08-18,2026-05-03,5372,1846342.7238186316,95.01514870780629,-72.96559193634988,1.5027765373580908,51.55406662944352,80,43,2.6146450933406635,-43.06529944711711
43,next_open,44.92623614710081,2011-08-18,2026-05-03,5372,2823022.2371949367,100.7267687134346,-71.78792749755898,1.510610502764671,53.99218313791177,81,47,1.8228578820254944,-60.058110147625456
46,same_close,44.94418196301436,2011-08-18,2026-05-03,5372,2772810.894530244,100.48200395803586,-71.87718830027802,1.5045202999718688,55.388051367950865,81,47,1.8290464395930763,-60.40025786855405
31,same_close,45.19254664277554,2011-08-18,2026-05-03,5372,1047209.3077584419,87.63984321146039,-81.4039966724211,1.436594655355306,51.53545505304299,80,43,2.618016306275821,-42.928150100973674
41,same_close,45.323926799748136,2011-08-18,2026-05-03,5372,1896670.6764123181,95.37203640941743,-80.02735079501541,1.451127790357586,56.63502698678579,81,47,2.5004156730052793,-47.904632174631935
40,same_close,45.48756920710766,2011-08-18,2026-05-03,5372,1610344.759181534,93.21036432590606,-80.0273507950154,1.4360588568574066,56.653638563186306,81,47,2.3944498880539657,-47.04232860357301
48,same_close,45.66058635745853,2011-08-18,2026-05-03,5372,1354482.431813774,90.95086101636223,-76.9808895453609,1.41223733779986,57.286432160804026,81,47,1.6294453090580616,-70.65749123519585
46,next_open,45.71388309023382,2011-08-18,2026-05-03,5372,4413825.399879701,106.91970053850848,-71.97839052813772,1.55480930108877,55.388051367950865,81,46,1.829494936980032,-60.425054473324856
63,same_close,45.90800938355544,2011-08-18,2026-05-03,5372,979604.5303484474,86.79047238084175,-82.38424816846249,1.404530785290585,55.76028289596129,79,38,2.011068418210747,-77.17002639838336
41,next_open,46.02551290055215,2011-08-18,2026-05-03,5372,3232008.131332598,102.58166198867133,-72.96559193634992,1.509386685046834,56.63502698678579,81,46,2.501582297629413,-47.88103734614836
45,same_close,46.1963986895767,2011-08-18,2026-05-03,5372,2724301.599676313,100.24158098468794,-71.41359659305954,1.5027678329215883,55.388051367950865,81,46,1.8098045134850544,-60.03512348223934
40,next_open,46.19786349031457,2011-08-18,2026-05-03,5372,2720313.815570434,100.22163954577566,-72.9655919363499,1.4936403849604993,56.653638563186306,81,46,2.395909484716219,-47.00798235996601
48,next_open,46.35804323697394,2011-08-18,2026-05-03,5372,2317667.088020474,98.05293097867825,-77.03118423675612,1.4710759861256875,57.286432160804026,81,46,1.6291952286223297,-70.71698038587716
73,next_open,46.35979475793523,2011-08-18,2026-05-03,5372,1137563.0428928891,88.69853749443126,-76.22384161125424,1.4127716694448589,56.0394565419691,80,42,1.944968298677529,-69.19953031300143
47,same_close,46.659823282965064,2011-08-18,2026-05-03,5372,1713890.39132127,94.03067894609866,-71.41359659305955,1.446059031527835,55.48110924995348,81,46,1.7633226870900929,-61.36960912750985
