ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T21:14:41Z	1	REJECTED	-0.033771	0.003336	9.707	2.785	0.3007	11.229	7	-16.13	0.708613	0.247505	D	9.348	guard: development robustness gate failed	Add volatility contraction filter: only enter breakout when current ATR is below its 20‑period SMA.
2026-09-05T21:15:10Z	2	REJECTED	-0.038646	0.003336	23.717	6.513	0.5217	13.96	10	-15.515	0.82848	0.103792	D	23.177	guard: development robustness gate failed	Add a long-term trend filter: only enter breakouts when price is above its 100-period SMA.
2026-09-06T09:58:00Z	3	REJECTED	-0.003726	0.003336	56.465	14.192	0.77	19.784	7	-29.797	0.917345	0.0998	C	55.95	guard: development robustness gate failed	Add volatility expansion filter: only enter breakout when current ATR exceeds its 20‑period SMA.
2026-09-06T09:58:20Z	4	REJECTED	-0.069106	0.003336	16.431	4.613	0.4215	12.577	10	-15.003	0.778055	0.171657	D	15.938	guard: development robustness gate failed	Add a trend strength filter: only enter breakouts when the 14‑period ADX is above 20, indicating a trending market.
2026-09-06T09:58:54Z	5	REJECTED	0.004192	0.003336	58.417	14.613	0.7684	20.488	9	-29.797	0.91712	0.111776	D	57.748	guard: development robustness gate failed	Add volume confirmation filter: only enter breakout when current volume exceeds its 20‑period moving average.
2026-09-06T09:59:23Z	6	PARAMETER_ONLY	nan	0.003336	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Tighten stop-loss multiplier from 2.0 to 1.5 to reduce risk exposure
2026-09-06T10:26:30Z	7	REJECTED	0.001956	0.003336	58.417	14.613	0.7684	20.488	9	-29.797	0.91712	0.103792	D	57.748	guard: development robustness gate failed	Add short-term trend filter: only enter breakouts when price is above its 20-period SMA
2026-09-06T10:27:03Z	8	REJECTED	0.000246	0.003336	58.417	14.613	0.7684	20.488	9	-29.797	0.91712	0.095808	C	57.748	guard: development robustness gate failed	Add bullish candle filter: only enter breakout when current bar's close exceeds its open.
2026-09-06T10:27:42Z	9	KEPT	0.061669	0.003336	37.812	9.975	1.2894	7.592	18	-6.853	0.99509	0.023952	B	36.742	K 0.003336 -> 0.061669; paired folds 0.75 improved; prefix lookahead audit PASS (required delta 0.0064)	Replace fixed low-break exit with ATR-based trailing stop using highest high since entry.
2026-09-06T10:28:18Z	10	REJECTED	0.061669	0.061669	37.812	9.975	1.2894	7.592	18	-6.853	0.99509	0.021956	B	36.742	paired chronological folds did not show a median/majority improvement over baseline	Add a time-based exit: close position after a fixed number of bars if not stopped out earlier.
2026-09-06T14:17:40Z	11	RISK_CONTROL_CHANGE	nan	0.061669	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Replace realized volatility with ATR for position sizing to use a more responsive volatility measure.
2026-09-06T14:19:03Z	12	REJECTED	0.009211	0.061669	13.832	3.916	0.6525	6.173	13	-4.241	0.893594	0.107784	C	13.217	paired chronological folds did not show a median/majority improvement over baseline	Add rising 55‑day high filter: only enter breakouts when the 55‑day high is increasing.
