ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T13:26:47Z	1	REJECTED	-0.006433	0.040563	119.698	7.498	0.7786	9.929	55	-15.894	0.994185	0.003992	A	116.847	paired chronological folds did not show a median/majority improvement over baseline	Add a long‑term trend filter (price above 50‑day SMA) to the entry condition to avoid buying pullbacks in downtrends.
2026-09-05T13:27:24Z	2	RISK_CONTROL_CHANGE	nan	0.040563	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add an ATR-based stop loss to entry orders to limit downside risk.
2026-09-06T19:41:05Z	3	REJECTED	0.070179	0.040563	339.083	14.558	1.0471	13.92	122	-15.894	0.999674	0.001996	A	328.479	paired chronological folds did not show a median/majority improvement over baseline	Add a volume filter: only enter deep pullback trades when current volume exceeds its 20-day average to increase probability of bounce.
2026-09-06T19:42:05Z	4	REJECTED	0.098485	0.040563	325.22	14.221	1.3511	10.237	76	-10.135	0.999998	0.001996	A	317.847	paired chronological folds did not show a median/majority improvement over baseline	Add a low-volatility regime filter: only enter deep pullback trades when current realized volatility is below its 60-day average.
2026-09-06T19:43:10Z	5	REJECTED	0.002516	0.040563	146.994	8.661	0.7375	12.301	92	-17.403	0.991798	0.001996	A	142.631	paired chronological folds did not show a median/majority improvement over baseline	Add an ADX trend strength filter (ADX > 20) to entry condition to avoid entering deep pullbacks in weak or sideways markets.
2026-09-06T19:43:54Z	6	REJECTED	-0.017598	0.040563	135.801	8.199	0.6822	12.759	170	-17.582	0.986705	0.005988	A	128.149	paired chronological folds did not show a median/majority improvement over baseline	Change exit condition from breaking prior high to exiting when intraday bullish strength (IBS) exceeds 0.7, taking profit on intraday recovery rather than waiting for breakout.
2026-09-06T23:50:05Z	7	RISK_CONTROL_CHANGE	nan	0.040563	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Require two consecutive days of low IBS (<0.30) for entry to increase probability of bounce after sustained oversold.
2026-09-06T23:50:56Z	8	RISK_CONTROL_CHANGE	nan	0.040563	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Require two consecutive days of low IBS (<0.30) for entry to increase probability of bounce after sustained oversold.
2026-09-06T23:51:33Z	9	RISK_CONTROL_CHANGE	nan	0.040563	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a high-volatility regime filter: only enter deep pullback trades when current realized volatility exceeds its 60-day average.
2026-09-06T23:54:16Z	10	RISK_CONTROL_CHANGE	nan	0.040563	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a profit target exit based on a multiple of the average daily range to lock in gains after a deep pullback entry.
2026-09-07T00:35:50Z	11	RISK_CONTROL_CHANGE	nan	0.040563	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Require two consecutive days of low IBS (<0.30) for entry to increase probability of bounce after sustained oversold.
2026-09-07T00:41:25Z	12	RISK_CONTROL_CHANGE	nan	0.040563	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a prior close filter: only enter deep pullback trades when today's close exceeds yesterday's close to capture intraday rebound momentum.
2026-09-07T00:42:40Z	13	RISK_CONTROL_CHANGE	nan	0.040563	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a condition that today's IBS must be greater than yesterday's IBS to enter a deep pullback trade, indicating intraday recovery relative to yesterday while still in oversold territory.
2026-09-07T00:44:10Z	14	RISK_CONTROL_CHANGE	nan	0.040563	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Tighten the IBS oversold threshold from 0.30 to 0.20 to require more extreme intraday weakness for entry, based on the hypothesis that deeper oversold conditions yield stronger mean-reversion bounces.
