ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T11:30:47Z	1	PARAMETER_ONLY	nan	-0.077791	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Tighten the initial stop-loss multiplier from 3.0 to 2.5 to reduce risk per trade
2026-09-05T11:32:54Z	2	REJECTED	-0.077791	-0.077791	106.184	6.806	0.5125	15.041	100	-27.76	0.959139	0.027944	A	100.393	paired chronological folds did not show a median/majority improvement over baseline	Add a regime filter requiring the 7-day low to be above the 200-day SMA to ensure trades occur only within stronger uptrends.
2026-09-06T01:46:40Z	3	RISK_CONTROL_CHANGE	nan	-0.077791	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add ATR-based stop-loss to entry orders to limit downside risk
2026-09-06T01:47:20Z	4	REJECTED	-0.086213	-0.077791	50.149	3.768	0.3543	12.673	67	-27.959	0.888046	0.115768	B	47.048	paired chronological folds did not show a median/majority improvement over baseline	Add a volatility regime filter: only enter trades when the current realized volatility is below its 20‑day moving average, trading in low‑volatility environments to improve mean‑reversion edge.
2026-09-06T17:40:44Z	5	REJECTED	-0.121188	-0.077791	47.146	3.577	0.3364	12.912	113	-35.996	0.87103	0.129741	B	42.422	guard: development robustness gate failed	Add a trailing stop based on ATR and highest high since entry to exit trades, alongside the existing 7‑day high exit.
2026-09-06T17:41:35Z	6	REJECTED	-0.014381	-0.077791	134.856	8.079	0.6113	14.393	93	-24.463	0.981903	0.007984	A	128.744	paired chronological folds did not show a median/majority improvement over baseline	Add a rising 200-day SMA filter to ensure trades occur only when the long-term trend is strengthening.
2026-09-06T17:42:33Z	7	REJECTED	-0.085	-0.077791	0.0	0.0	0.0	0.0	0	0.0	0.0	1.0	D	0.0	guard: development robustness gate failed	Add a close-to-close momentum filter: only buy when today's close is above yesterday's close to ensure buying on an uptick after a short-term pullback.
2026-09-06T17:43:31Z	8	REJECTED	-0.068079	-0.077791	110.688	7.016	0.5269	14.986	101	-27.76	0.963393	0.033932	A	104.695	paired chronological folds did not show a median/majority improvement over baseline	Add a profit target exit based on ATR at entry, alongside the existing 7‑day high exit.
2026-09-06T18:28:02Z	9	REJECTED	-0.077255	-0.077791	113.51	7.146	0.5336	15.043	100	-27.76	0.965153	0.033932	A	107.516	K -0.077255 did not exceed -0.077791 by adaptive required delta 0.0064	Add a volatility filter requiring the 7‑day price range to exceed half the 14‑day ATR, ensuring sufficient price movement for mean‑reversion trades.
2026-09-06T18:28:57Z	10	REJECTED	-0.188929	-0.077791	-2.154	-0.198	0.0321	10.365	205	-38.55	0.542515	0.471058	B	-7.671	guard: development robustness gate failed	Add a fixed 2% stop-loss to entry orders to limit downside risk
2026-09-06T18:29:43Z	11	REJECTED	-0.085	-0.077791	0.0	0.0	0.0	0.0	0	0.0	0.0	1.0	D	0.0	guard: development robustness gate failed	Add an RSI(14) oversold filter (RSI < 30) to the long entry condition to increase mean-reversion edge
2026-09-06T18:30:11Z	12	REJECTED	-0.041237	-0.077791	75.068	5.228	0.6303	8.676	3	-15.204	0.988457	0.037924	C	74.959	guard: development robustness gate failed	Use the bar's low and high series for the 7‑day lookback levels instead of the close series.
