ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T16:34:12Z	1	REJECTED	0.047368	0.077214	18.935	5.275	1.2265	4.263	56	-3.888	0.991921	0.031936	A	17.355	paired chronological folds did not show a median/majority improvement over baseline	Add a volatility contraction filter: only enter when current realized volatility is below its 20-period simple moving average.
2026-09-05T16:34:57Z	2	REJECTED	0.077214	0.077214	31.547	8.468	1.4949	5.537	104	-3.557	0.997852	0.00998	A	28.649	paired chronological folds did not show a median/majority improvement over baseline	Add ADX trend filter: only enter when ADX2 exceeds a threshold (15) to ensure sufficient trend strength.
2026-09-06T05:23:30Z	3	RISK_CONTROL_CHANGE	nan	0.077214	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add ATR-based stop loss to limit downside risk.
2026-09-06T05:27:52Z	4	REJECTED	0.009269	0.077214	21.374	5.911	1.3828	4.214	62	-2.872	0.997222	0.01996	A	19.706	paired chronological folds did not show a median/majority improvement over baseline	Add a long-term trend filter: only enter when price is above its 200-period simple moving average.
2026-09-06T05:30:34Z	5	REJECTED	0.043964	0.077214	28.887	7.813	1.1149	6.961	77	-5.298	0.98193	0.033932	A	26.829	paired chronological folds did not show a median/majority improvement over baseline	Change exit condition to close position when price falls below either the 50-period SMA or 7-period EMA, exiting on trend reversal rather than RSI < ADX.
2026-09-06T05:31:07Z	6	REJECTED	-0.189705	0.077214	33.588	8.965	0.6495	14.936	8	-28.88	0.879796	0.0998	C	33.374	guard: development robustness gate failed	Change exit condition to use longer-period RSI and ADX (14-period) for more robust trend exhaustion signal
2026-09-06T12:59:05Z	7	REJECTED	0.04911	0.077214	24.942	6.824	1.3408	5.014	66	-4.651	0.994856	0.021956	A	23.143	paired chronological folds did not show a median/majority improvement over baseline	Add a volume participation filter: only enter when current volume exceeds its 20-period simple moving average, ensuring trades occur during periods of heightened market interest.
2026-09-06T13:00:47Z	8	REJECTED	0.0412	0.077214	24.119	6.615	1.2339	5.302	90	-5.365	0.990365	0.01996	A	21.756	paired chronological folds did not show a median/majority improvement over baseline	Add a rising medium-term trend filter: only enter when the 50-period SMA is rising relative to the previous bar.
2026-09-06T13:01:46Z	9	CRASH	nan	0.077214	nan	nan	nan	nan	0	nan	nan	nan		nan	NVIDIA research-agent call failed: delimiter parse failed (required output markers missing or out of order); JSON fallback failed (Expecting value: line 1 column 1 (char 0))	(agent failed)
2026-09-06T13:06:44Z	10	REJECTED	0.061885	0.077214	25.851	7.054	1.4089	4.921	79	-2.975	0.996645	0.00998	A	23.679	paired chronological folds did not show a median/majority improvement over baseline	Add ADX rising filter: only enter when ADX2 is above its previous value, indicating strengthening trend.
