ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T14:24:31Z	1	REJECTED	-0.026702	-0.033743	4.993	1.455	0.4127	3.661	6	-5.524	0.770524	0.239521	D	4.943	guard: development robustness gate failed	Add a high-volatility regime filter: only enter long when realized volatility exceeds its 30-bar EMA.
2026-09-05T14:25:01Z	2	REJECTED	-0.008016	-0.033743	9.024	2.594	0.568	4.702	7	-7.195	0.845475	0.153693	D	8.966	guard: development robustness gate failed	Add ADX trend filter: only enter long when ADX > 20 indicating a strong trend.
2026-09-06T07:35:00Z	3	REJECTED	-0.027879	-0.033743	11.402	3.253	0.6196	5.399	7	-8.902	0.865658	0.135729	D	11.339	guard: development robustness gate failed	Add rising EMA65 condition to entry: only enter long when price is above EMA65 by half a standard deviation and EMA65 is upward sloping.
2026-09-06T07:35:22Z	4	REJECTED	-0.023482	-0.033743	9.743	2.795	0.6207	4.61	5	-8.377	0.86593	0.133733	D	9.701	guard: development robustness gate failed	Add medium-term uptrend filter: only enter long when EMA65 > EMA100.
2026-09-06T07:38:18Z	5	RISK_CONTROL_CHANGE	nan	-0.033743	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add ATR-based stop loss to long entries
2026-09-06T07:38:55Z	6	REJECTED	0.011627	-0.033743	15.097	4.256	0.8639	4.965	10	-7.451	0.93668	0.073852	B	15.01	paired chronological folds did not show a median/majority improvement over baseline	Change exit condition from z < -0.5 to z < 0 (exit when price crosses below EMA65)
2026-09-06T16:10:07Z	7	REJECTED	-0.036935	-0.033743	10.694	3.058	0.5871	5.374	7	-8.902	0.853029	0.171657	D	10.632	guard: development robustness gate failed	Add volume confirmation filter: only enter long when price is above EMA65 by half a standard deviation and current volume exceeds its 20-bar SMA.
2026-09-06T16:10:49Z	8	CRASH	nan	-0.033743	nan	nan	nan	nan	0	nan	nan	nan		nan	NVIDIA research-agent call failed: delimiter parse failed (required output markers missing or out of order); JSON fallback failed (Expecting value: line 1 column 1 (char 0))	(agent failed)
2026-09-06T16:20:11Z	9	REJECTED	-0.126468	-0.033743	5.548	1.614	0.2823	6.391	4	-14.866	0.696596	0.327345	D	5.511	guard: development robustness gate failed	Add ATR-based trailing stop loss to exit long positions, replacing the fixed z-score exit threshold.
2026-09-06T16:22:54Z	10	REJECTED	-0.028095	-0.033743	10.553	3.019	0.5975	5.201	7	-8.48	0.857206	0.135729	D	10.495	guard: development robustness gate failed	Add a 20-bar breakout filter: only enter long when price exceeds the prior 20-bar high in addition to the EMA65 z-score condition.
