ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-06T01:39:46Z	1	REJECTED	-0.021607	-0.034053	96.469	6.4	0.5395	13.099	40	-24.355	0.962079	0.031936	A	93.961	paired chronological folds did not show a median/majority improvement over baseline	Add a low-volatility regime filter: only enter long when current realized volatility is below its 60-day moving average.
2026-09-06T01:41:04Z	2	REJECTED	-0.010763	-0.034053	51.832	3.911	0.4711	9.009	34	-17.092	0.9415	0.063872	A	50.106	paired chronological folds did not show a median/majority improvement over baseline	Add a 50-day simple moving average trend filter: only enter long when price is above its 50-day SMA.
2026-09-06T09:34:48Z	3	REJECTED	0.00454	-0.034053	143.07	8.501	0.5913	15.984	59	-27.055	0.97233	0.017964	A	139.748	paired chronological folds did not show a median/majority improvement over baseline	Add a high-volatility regime filter: only enter long when current realized volatility is above its 60-day moving average.
2026-09-06T09:35:21Z	4	REJECTED	-0.036163	-0.034053	242.025	11.959	0.6867	19.148	78	-27.055	0.987361	0.007984	A	235.599	paired chronological folds did not show a median/majority improvement over baseline	Enter long only when price is below its 50-day simple moving average, adding a trend filter that favors mean-reversion bounces from short-term downtrends.
2026-09-06T09:36:47Z	5	KEPT	0.032312	-0.034053	181.975	9.991	0.6952	15.423	56	-22.549	0.988846	0.017964	A	177.818	K -0.034053 -> 0.032312; paired folds 0.5455 improved; prefix lookahead audit PASS (required delta 0.0061)	Add a volatility contraction filter: only enter long when z-score < -1.5 and realized volatility is decreasing compared to previous bar.
2026-09-06T09:37:52Z	6	REJECTED	0.0152	0.032312	72.491	5.136	0.5812	9.373	66	-16.263	0.977062	0.025948	A	69.485	paired chronological folds did not show a median/majority improvement over baseline	Add a volatility expansion exit rule: close long position when realized volatility starts increasing.
2026-09-06T16:53:13Z	7	REJECTED	-0.059561	0.032312	45.758	3.522	0.3181	13.957	41	-26.727	0.852231	0.159681	B	44.143	paired chronological folds did not show a median/majority improvement over baseline	Add a volume confirmation filter: only enter long when current volume exceeds its 20-day simple moving average.
2026-09-06T16:54:06Z	8	REJECTED	0.050931	0.032312	131.826	8.03	0.8295	9.907	29	-14.668	0.997786	0.013972	B	129.967	paired chronological folds did not show a median/majority improvement over baseline	Add a z-score momentum filter: only enter long when z-score is below -1.5, realized volatility is decreasing, and the z-score itself is decreasing (more negative) compared to the previous bar.
2026-09-06T16:54:37Z	9	REJECTED	0.021952	0.032312	113.234	7.204	0.748	9.969	33	-21.598	0.994137	0.011976	A	111.394	paired chronological folds did not show a median/majority improvement over baseline	Add a range contraction filter: only enter long when the bar's high-low range is below its 20-day moving average.
2026-09-06T16:55:29Z	10	CRASH	nan	0.032312	nan	nan	nan	nan	0	nan	nan	nan		nan	NVIDIA research-agent call failed: delimiter parse failed (required output markers missing or out of order); JSON fallback failed (Expecting value: line 1 column 1 (char 0))	(agent failed)
2026-09-06T17:15:10Z	11	REJECTED	-0.043586	0.032312	44.453	3.436	0.3679	10.769	33	-21.444	0.886607	0.083832	A	42.985	paired chronological folds did not show a median/majority improvement over baseline	Add a long-term uptrend filter: only enter long when price is above its 200-day simple moving average.
