ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T21:12:02Z	1	REJECTED	-0.001346	-0.023649	5.043	1.469	0.7223	2.047	15	-1.906	0.908187	0.143713	C	4.903	paired chronological folds did not show a median/majority improvement over baseline	Replace fixed ATR stop-loss multiplier with adaptive multiplier based on recent volatility regime
2026-09-05T21:13:53Z	2	REJECTED	-0.022815	-0.023649	10.594	3.03	0.6189	5.025	9	-8.739	0.8665	0.117764	D	10.495	guard: development robustness gate failed	Add volume confirmation to breakout entry: require current volume above its 20-period moving average
2026-09-06T09:51:36Z	3	REJECTED	-0.015835	-0.023649	9.436	2.709	0.5943	4.68	9	-7.962	0.857412	0.145709	D	9.338	guard: development robustness gate failed	Add volatility regime filter: only enter long breakout when current realized volatility is below its 20-period moving average.
2026-09-06T09:52:12Z	4	REJECTED	-0.023384	-0.023649	10.594	3.03	0.6189	5.025	9	-8.739	0.8665	0.123752	D	10.495	guard: development robustness gate failed	Add a 50-period simple moving average trend filter to entry: only enter long breakout when price is above its 50-period SMA.
2026-09-06T09:53:15Z	5	CRASH	nan	-0.023649	nan	nan	nan	nan	0	nan	nan	nan		nan	NVIDIA research-agent call failed: delimiter parse failed (required output markers missing or out of order); JSON fallback failed (Expecting value: line 1 column 1 (char 0))	(agent failed)
2026-09-06T09:56:59Z	6	REJECTED	-0.024388	-0.023649	8.384	2.415	0.5449	4.57	9	-7.962	0.836488	0.171657	D	8.292	guard: development robustness gate failed	Add ADX trend strength filter: only enter long breakout when ADX(14) > 20.
2026-09-06T10:12:12Z	7	REJECTED	-0.00462	-0.023649	5.043	1.469	0.7223	2.047	15	-1.906	0.908187	0.107784	C	4.903	paired chronological folds did not show a median/majority improvement over baseline	Add a chandelier trailing stop exit based on highest high since entry and ATR
2026-09-06T10:13:01Z	8	CRASH	nan	-0.023649	nan	nan	nan	nan	0	nan	nan	nan		nan	NVIDIA research-agent call failed: delimiter parse failed (required output markers missing or out of order); JSON fallback failed (Expecting value: line 1 column 1 (char 0))	(agent failed)
2026-09-06T10:19:08Z	9	CRASH	nan	-0.023649	nan	nan	nan	nan	0	nan	nan	nan		nan	harness exited 1; see logs/run_9.txt	Add RSI(14) > 50 condition to entry logic to require bullish momentum
2026-09-06T10:19:57Z	10	CRASH	nan	-0.023649	nan	nan	nan	nan	0	nan	nan	nan		nan	NVIDIA research-agent call failed: delimiter parse failed (required output markers missing or out of order); JSON fallback failed (Expecting value: line 1 column 1 (char 0))	(agent failed)
