ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-06T01:30:55Z	1	REJECTED	-0.017249	0.05	2.722	1.953	0.555	3.6	9	-2.498	0.752822	0.227545	D	2.615	guard: development robustness gate failed	Add a volatility filter: only enter long when current realized volatility is below its recent simple moving average.
2026-09-06T01:31:25Z	2	REJECTED	0.000482	0.05	2.515	1.806	0.6368	2.873	7	-2.479	0.773086	0.169661	D	2.431	guard: development robustness gate failed	Add a trend filter: only enter long when ADX is below 20 (indicating ranging market).
2026-09-06T16:37:51Z	3	REJECTED	0.050601	0.05	8.138	5.798	1.5222	3.747	10	-3.0	0.980016	0.047904	C	8.02	guard: development robustness gate failed	Add a volume participation filter: only enter long when current volume exceeds its 20-period simple moving average.
2026-09-06T16:38:21Z	4	REJECTED	-0.046726	0.05	1.567	1.126	0.2797	4.337	17	-3.536	0.630354	0.355289	D	1.377	guard: development robustness gate failed	Add a bullish reversal entry filter: only enter long when the latest bar is bullish (close > open)
2026-09-06T16:38:49Z	5	REJECTED	-0.128397	0.05	-0.019	-0.014	0.0013	1.788	6	-1.918	0.500593	0.46507	D	-0.084	guard: development robustness gate failed	Add a trend filter: only enter long when price is above its 50-period simple moving average.
2026-09-06T16:42:15Z	6	PARAMETER_ONLY	nan	0.05	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Increase the ATR-based stop loss multiplier from 2.0 to 3.0 to allow trades more room and reduce premature exits.
2026-09-06T17:05:20Z	7	CRASH	nan	0.05	nan	nan	nan	nan	0	nan	nan	nan		nan	harness exited 1; see logs/run_7.txt	Add a profit target exit: close long when price reaches entry price + 2*ATR, in addition to the mean-reversion exit.
2026-09-06T17:06:03Z	8	REJECTED	-0.048821	0.05	2.088	1.5	0.4168	3.737	10	-3.356	0.693432	0.291417	D	1.97	guard: development robustness gate failed	Add a z-score momentum filter: only enter long when z-score is below -1.5 and rising (z > previous z).
2026-09-06T17:07:06Z	9	TOO_BROAD	nan	0.05	nan	nan	nan	nan	0	nan	nan	nan		nan	localized-change guard: too many MoonStrategy units changed (4): ['MoonStrategy._buy_with_stop', 'MoonStrategy.assign:profit_target', 'MoonStrategy.init', 'MoonStrategy.next']	Add a profit target exit: close long when price reaches entry price + 1*ATR, in addition to the mean-reversion exit.
2026-09-06T17:08:04Z	10	REJECTED	0.007538	0.05	4.33	3.101	0.7619	4.116	17	-2.482	0.830079	0.10978	D	4.135	paired chronological folds did not show a median/majority improvement over baseline	Add a time-based exit: close long positions after a maximum of 10 bars if not exited by mean-reversion signal.
2026-09-06T17:18:09Z	11	RISK_CONTROL_CHANGE	nan	0.05	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a VWAP filter: only enter long when price is below the volume-weighted average price.
2026-09-06T17:19:54Z	12	REJECTED	0.051838	0.05	5.866	4.192	0.953	4.408	18	-2.75	0.882664	0.113772	D	5.651	K 0.051838 did not exceed 0.05 by adaptive required delta 0.0065	Add a trailing stop based on the highest high since entry multiplied by ATR to lock in profits while maintaining mean-reversion exit.
2026-09-06T17:23:13Z	13	REJECTED	0.05245	0.05	6.186	4.419	1.0231	4.314	15	-2.498	0.896998	0.077844	C	6.016	paired chronological folds did not show a median/majority improvement over baseline	Add a z-score momentum filter: only enter long when z-score is below -1.5 and falling (z < previous z).
2026-09-06T17:44:36Z	14	REJECTED	0.049511	0.05	5.872	4.196	0.9736	4.315	15	-2.498	0.885095	0.10978	D	5.702	paired chronological folds did not show a median/majority improvement over baseline	Add profit-conditioned exit: only close long when z-score >= 0 and price exceeds entry price.
