ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-06T18:55:12Z	1	REJECTED	-0.075634	-0.079072	26.703	2.177	0.308	8.041	85	-29.815	0.848981	0.155689	B	25.601	paired chronological folds did not show a median/majority improvement over baseline	Add trend strength filter requiring the 7-day low to be above the 200-day SMA to ensure buying only in robust uptrends
2026-09-06T18:55:38Z	2	PARAMETER_ONLY	nan	-0.079072	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Reduce trend filter lookback from 200-day to 150-day SMA to adapt to shorter-term trend
2026-09-06T18:56:53Z	3	RISK_CONTROL_CHANGE	nan	-0.079072	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add ATR-based stop loss to limit downside risk on entries
2026-09-06T18:57:44Z	4	REJECTED	-0.097979	-0.079072	18.951	1.592	0.2634	6.898	64	-29.815	0.810576	0.223553	B	18.209	paired chronological folds did not show a median/majority improvement over baseline	Add a volatility filter requiring the 7-day price range to be below its 20-day average to trade only in low-volatility environments
2026-09-06T19:01:43Z	5	RISK_CONTROL_CHANGE	nan	-0.079072	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add ATR-based stop loss to limit downside risk on entries
2026-09-06T19:02:37Z	6	REJECTED	-0.245261	-0.079072	-17.339	-1.718	-0.3486	4.658	22	-29.961	0.106803	0.830339	C	-17.535	guard: development robustness gate failed	Add bullish candle filter requiring close > open for entry to increase probability of upward move
2026-09-06T19:03:17Z	7	REJECTED	0.016696	-0.079072	64.955	4.659	0.8007	5.906	56	-8.782	0.998525	0.001996	A	64.013	paired chronological folds did not show a median/majority improvement over baseline	Add a 50-day SMA filter requiring price above both 50-day and 200-day SMAs to ensure stronger uptrend
2026-09-06T19:04:41Z	8	KEPT	-0.039006	-0.079072	133.083	8.004	0.733	11.39	45	-16.278	0.994019	0.007984	A	132.048	K -0.079072 -> -0.039006; paired folds 0.5455 improved; prefix lookahead audit PASS (required delta 0.0063)	Add ATR-based trailing stop exit to replace fixed 7-day high exit
2026-09-06T19:43:43Z	9	REJECTED	-0.036672	-0.039006	74.656	5.205	0.557	10.01	38	-17.084	0.970161	0.045908	A	73.919	paired chronological folds did not show a median/majority improvement over baseline	Add volume confirmation filter requiring current bar volume to exceed its 20-day average for entry
2026-09-06T19:44:54Z	10	REJECTED	-0.042728	-0.039006	127.043	7.746	0.6954	11.716	51	-19.487	0.991226	0.017964	A	125.89	paired chronological folds did not show a median/majority improvement over baseline	Add volatility-adjusted entry band: buy when price is above 200 SMA and within half an ATR above the 7-day low
2026-09-06T19:45:42Z	11	REJECTED	0.006144	-0.039006	44.695	3.419	0.5147	7.009	101	-9.083	0.962029	0.027944	A	43.208	paired chronological folds did not show a median/majority improvement over baseline	Add a time-based exit that closes the position after 7 bars if not stopped out earlier
2026-09-06T19:46:21Z	12	RISK_CONTROL_CHANGE	nan	-0.039006	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add an initial ATR-based stop loss to limit downside risk on entry
2026-09-06T22:38:31Z	13	RISK_CONTROL_CHANGE	nan	-0.039006	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Replace ATR-based trailing stop exit with a 200-day SMA trend-following exit
2026-09-06T22:39:43Z	14	RISK_CONTROL_CHANGE	nan	-0.039006	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a 200-day SMA cross below exit condition in addition to the ATR trailing stop
2026-09-06T22:44:54Z	15	RISK_CONTROL_CHANGE	nan	-0.039006	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add 200-day SMA exit condition to complement ATR trailing stop, exiting when price closes below long-term trend
2026-09-06T22:45:51Z	16	CRASH	nan	-0.039006	nan	nan	nan	nan	0	nan	nan	nan		nan	NVIDIA research-agent call failed: delimiter parse failed (required output markers missing or out of order); JSON fallback failed (Expecting value: line 1 column 1 (char 0))	(agent failed)
2026-09-06T22:55:58Z	17	RISK_CONTROL_CHANGE	nan	-0.039006	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Rename strategy class to AtlasStrategy to satisfy requirement
2026-09-06T23:00:43Z	18	RISK_CONTROL_CHANGE	nan	-0.039006	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add medium-term trend filter requiring the 7-day low to be above the 50-day SMA to ensure buying only in robust medium-term uptrends
2026-09-06T23:10:27Z	19	RISK_CONTROL_CHANGE	nan	-0.039006	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add ADX trend strength filter requiring ADX > 25 for entry to ensure buying only in strong trends
2026-09-06T23:11:18Z	20	RISK_CONTROL_CHANGE	nan	-0.039006	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Change entry condition from buying at 7-day low to buying above 7-day high in uptrend (price > 200-day SMA)
2026-09-06T23:21:06Z	21	DUPLICATE	nan	-0.039006	nan	nan	nan	nan	0	nan	nan	nan		nan	semantic AST duplicate of a previously generated candidate	Rename class to AtlasStrategy to satisfy requirement
2026-09-06T23:21:45Z	22	DUPLICATE	nan	-0.039006	nan	nan	nan	nan	0	nan	nan	nan		nan	semantic AST duplicate of a previously generated candidate	Rename class to AtlasStrategy to satisfy requirement
2026-09-06T23:25:21Z	23	RISK_CONTROL_CHANGE	nan	-0.039006	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Change entry level reference from 7-day low of Close to 7-day high of Low to buy near recent support levels in uptrends
2026-09-06T23:26:25Z	24	RISK_CONTROL_CHANGE	nan	-0.039006	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add adaptive ATR trailing stop multiplier based on ADX trend strength to widen stop in strong trends and tighten in weak trends
2026-09-06T23:31:36Z	25	RISK_CONTROL_CHANGE	nan	-0.039006	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add medium-term trend filter requiring 50-day SMA above 200-day SMA for entry to ensure buying only in strong uptrends
2026-09-06T23:33:34Z	26	RISK_CONTROL_CHANGE	nan	-0.039006	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Change trailing stop multiplier from 3.0 to 2.5 to tighten stop loss and reduce drawdowns while maintaining trend following
