ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T13:00:54Z	1	REJECTED	0.002886	0.016647	130.653	7.901	0.6402	13.243	58	-23.515	0.985399	0.007984	A	123.389	paired chronological folds did not show a median/majority improvement over baseline	Add a 50-day simple moving average trend filter to only enter long positions when price is above its SMA50.
2026-09-05T13:02:27Z	2	REJECTED	-0.047224	0.016647	45.93	3.499	0.3272	13.155	54	-31.232	0.862055	0.133733	B	41.311	guard: development robustness gate failed	Add a low-volatility regime filter: only enter when realized volatility is below its 60-day SMA.
2026-09-06T03:43:05Z	3	KEPT	0.07419	0.016647	327.363	14.129	0.8368	17.651	99	-23.701	0.997832	0.001996	A	307.009	K 0.016647 -> 0.07419; paired folds 0.5455 improved; prefix lookahead audit PASS (required delta 0.0058)	Add volume confirmation: only enter when today's volume exceeds its 20-day average.
2026-09-06T03:44:16Z	4	REJECTED	0.076849	0.07419	233.939	11.596	0.9078	13.014	61	-17.526	0.999386	0.001996	A	225.392	paired chronological folds did not show a median/majority improvement over baseline	Add a high-volatility regime filter: only enter long when today's realized volatility exceeds its 60-day average.
2026-09-06T03:45:07Z	5	RISK_CONTROL_CHANGE	nan	0.07419	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add ATR-based stop loss to entry orders
2026-09-06T03:45:53Z	6	REJECTED	0.016279	0.07419	202.257	10.589	0.6757	17.042	103	-25.159	0.98854	0.00998	A	187.47	paired chronological folds did not show a median/majority improvement over baseline	Change exit logic from breaking above yesterday's high to exiting when the day's IBS exceeds 0.8 (mean-reversion exit).
2026-09-06T13:17:58Z	7	REJECTED	-0.025669	0.07419	4.744	0.423	0.1682	2.727	5	-5.927	0.72154	0.273453	D	4.559	guard: development robustness gate failed	Add bullish candle filter: only enter long when today's close exceeds its open.
2026-09-06T13:18:32Z	8	REJECTED	0.07419	0.07419	327.363	14.129	0.8368	17.651	99	-23.701	0.997832	0.001996	A	307.009	paired chronological folds did not show a median/majority improvement over baseline	Add a time-based exit: close position after a fixed number of bars if not exited earlier.
2026-09-06T13:25:11Z	9	REJECTED	-0.09821	0.07419	189.343	10.15	0.4735	29.787	53	-50.4	0.942185	0.051896	A	181.208	guard: development robustness gate failed	Change exit logic from breaking above yesterday's high to exiting when price reaches or exceeds the prior 10-day high, targeting a mean-reversion bounce to the recent resistance level.
2026-09-06T13:26:10Z	10	PARAMETER_ONLY	nan	0.07419	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Tighten the IBS oversold threshold from 0.30 to 0.25 to require stronger pullback before entry.
