ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T11:18:24Z	1	REJECTED	-0.016959	-0.014374	27.868	2.262	0.6661	3.449	58	-5.883	0.988303	0.015968	A	26.888	paired chronological folds did not show a median/majority improvement over baseline	Add a low-volatility regime filter: only enter when realized volatility is below its 60-bar SMA.
2026-09-05T11:19:15Z	2	REJECTED	3.1e-05	-0.014374	15.349	1.308	0.4637	2.894	58	-4.406	0.942888	0.03992	A	14.619	paired chronological folds did not show a median/majority improvement over baseline	Add a low-volume pullback filter: only enter when current volume is below its 30-bar moving average.
2026-09-06T01:41:38Z	3	REJECTED	0.00349	-0.014374	25.099	2.059	0.5762	3.654	67	-4.902	0.974702	0.015968	A	24.06	paired chronological folds did not show a median/majority improvement over baseline	Add a short-term trend filter: only enter when price is above both the 50-day and 200-day SMAs.
2026-09-06T01:42:28Z	4	KEPT	-0.002403	-0.014374	23.82	1.963	0.597	3.352	53	-4.985	0.977274	0.015968	A	23.116	K -0.014374 -> -0.002403; paired folds 0.6364 improved; prefix lookahead audit PASS (required delta 0.0060)	Add an RSI(14) < 50 condition to entry to avoid buying overbought pullbacks.
2026-09-06T17:00:33Z	5	RISK_CONTROL_CHANGE	nan	-0.002403	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add ATR-based stop-loss to entries to limit downside risk
2026-09-06T17:01:27Z	6	REJECTED	-0.023309	-0.002403	15.375	1.31	0.4213	3.213	50	-8.16	0.919743	0.055888	A	14.761	paired chronological folds did not show a median/majority improvement over baseline	Add a rising long-term trend filter: only enter when the 200-day SMA is increasing relative to its previous value.
2026-09-06T17:02:38Z	7	REJECTED	-0.002403	-0.002403	23.82	1.963	0.597	3.352	53	-4.985	0.977274	0.013972	A	23.116	paired chronological folds did not show a median/majority improvement over baseline	Add a lower RSI bound (RSI > 30) to entry to avoid buying in excessively oversold conditions.
2026-09-06T17:04:15Z	8	REJECTED	-0.008799	-0.002403	7.909	0.695	0.2889	2.507	31	-6.082	0.832298	0.127745	C	7.611	guard: development robustness gate failed	Add a high-volatility regime filter: only enter when realized volatility is above its 60-bar SMA.
2026-09-06T17:24:10Z	9	REJECTED	-0.028117	-0.002403	66.088	4.725	0.853	5.599	21	-11.0	0.997638	0.001996	B	65.69	guard: development robustness gate failed	Change exit condition from price near 7-day high to RSI14 >= 70 (overbought) to take profits on momentum exhaustion.
2026-09-06T17:25:09Z	10	REJECTED	-0.046594	-0.002403	0.364	0.033	0.0259	2.29	16	-5.975	0.534202	0.433134	D	0.193	paired chronological folds did not show a median/majority improvement over baseline	Add a bullish intra-day filter: only enter when the close of the completed bar is above its open.
2026-09-06T17:25:55Z	11	REJECTED	-0.009271	-0.002403	17.962	1.514	0.5063	3.063	57	-6.64	0.955474	0.017964	A	17.229	paired chronological folds did not show a median/majority improvement over baseline	Change exit lookback period from 7-day high to 5-day high
