ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T22:30:43Z	1	REJECTED	0.238912	0.240888	234.983	43.103	1.3154	30.874	11	-28.731	0.991421	0.011976	C	232.596	guard: development robustness gate failed	Add a volatility contraction filter requiring current ATR to be lower than the previous bar's ATR before entering long.
2026-09-05T22:31:04Z	2	REJECTED	0.140197	0.240888	113.25	25.171	0.9727	26.774	13	-25.707	0.960963	0.025948	B	111.408	paired chronological folds did not show a median/majority improvement over baseline	Add a trend strength filter requiring the previous bar's ADX to exceed 20 before entering long.
2026-09-06T06:08:09Z	3	REJECTED	0.240888	0.240888	244.491	44.296	1.336	31.062	11	-27.496	0.992233	0.013972	C	242.075	guard: development robustness gate failed	Add a momentum filter requiring the current close to exceed the previous close before entering long.
2026-09-06T06:09:27Z	4	REJECTED	0.242228	0.240888	245.013	44.361	1.3389	31.018	11	-27.268	0.992326	0.013972	C	242.61	guard: development robustness gate failed	Add a volume confirmation filter requiring current bar volume to exceed the 20‑bar average volume before entering a long breakout.
2026-09-06T06:10:57Z	5	REJECTED	0.274651	0.240888	151.634	31.466	1.4445	20.358	22	-14.989	0.996744	0.013972	A	148.324	paired chronological folds did not show a median/majority improvement over baseline	Replace the simple EMA-based exit with an ATR-based trailing stop that tightens as the price makes new highs.
2026-09-06T06:11:38Z	6	REJECTED	0.240888	0.240888	244.491	44.296	1.336	31.062	11	-27.496	0.992233	0.015968	C	242.075	guard: development robustness gate failed	Add an EMA rising filter requiring the EMA to be higher than its previous value before entering a long.
2026-09-06T06:24:51Z	7	REJECTED	0.240888	0.240888	244.491	44.296	1.336	31.062	11	-27.496	0.992233	0.01996	C	242.075	guard: development robustness gate failed	Add a volatility contraction filter requiring the current ATR ratio (ATR/close) to be below its 20‑bar simple moving average before entering long.
2026-09-06T06:25:54Z	8	PARAMETER_ONLY	nan	0.240888	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Reduce EMA lookback from 50 to 20 to make the trend filter more responsive.
2026-09-06T06:26:35Z	9	CRASH	nan	0.240888	nan	nan	nan	nan	0	nan	nan	nan		nan	NVIDIA research-agent call failed: delimiter parse failed (required output markers missing or out of order); JSON fallback failed (Expecting value: line 1 column 1 (char 0))	(agent failed)
2026-09-06T06:29:25Z	10	REJECTED	0.137958	0.240888	181.3	35.882	1.17	30.081	17	-29.391	0.982808	0.023952	B	178.334	paired chronological folds did not show a median/majority improvement over baseline	Replace EMA+ATR entry condition with a Donchian channel breakout (price > past 20‑bar high) while keeping EMA exit and ATR‑based stop.
2026-09-06T14:02:31Z	11	REJECTED	0.250101	0.240888	233.902	42.966	1.3277	30.406	11	-27.895	0.991939	0.003992	C	231.572	guard: development robustness gate failed	Add a volatility expansion filter requiring current ATR to be greater than the previous bar's ATR before entering long.
2026-09-06T14:03:15Z	12	REJECTED	0.169635	0.240888	193.594	37.616	1.222	29.756	11	-29.499	0.986633	0.015968	C	191.609	guard: development robustness gate failed	Add a volatility expansion filter requiring current ATR to exceed its 20‑bar simple moving average before entering long.
