ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-06T00:27:10Z	1	KEPT	0.629269	0.406737	65.521	43.768	1.9009	20.161	34	-12.7	0.986964	0.051896	C	63.208	K 0.406737 -> 0.629269; paired folds 0.6667 improved; prefix lookahead audit PASS (required delta 0.0054)	Add a 50-period SMA trend filter to only enter longs when price is above its SMA.
2026-09-06T00:27:40Z	2	REJECTED	0.507085	0.629269	62.38	41.797	1.89	19.475	31	-11.389	0.986396	0.051896	C	60.293	K 0.507085 did not exceed 0.629269 by adaptive required delta 0.0071	Add a rising 50-period SMA condition to the entry logic
2026-09-06T04:18:05Z	3	PARAMETER_ONLY	nan	0.629269	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Tighten the initial stop-loss multiplier from 2.5 to 2.0 to reduce risk and improve drawdown robustness.
2026-09-06T04:18:30Z	4	REJECTED	0.163838	0.629269	45.383	30.941	1.6347	17.416	20	-11.388	0.967446	0.061876	C	44.114	paired chronological folds did not show a median/majority improvement over baseline	Add a volume filter: only enter longs when current volume exceeds its 20-period moving average (prior bars).
2026-09-06T04:19:05Z	5	REJECTED	0.471246	0.629269	52.436	35.486	1.9666	16.101	16	-11.957	0.984044	0.053892	C	51.33	paired chronological folds did not show a median/majority improvement over baseline	Add a realized volatility filter: only enter longs when current realized volatility is below its 20-period SMA.
2026-09-06T04:19:32Z	6	REJECTED	0.33015	0.629269	57.582	38.766	2.1322	15.951	15	-9.918	0.997194	0.02994	C	56.551	K 0.33015 did not exceed 0.629269 by adaptive required delta 0.0078	Add a 20-period breakout filter: only enter longs when price exceeds the prior 20-period high.
2026-09-06T12:40:19Z	7	RISK_CONTROL_CHANGE	nan	0.629269	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add an ADX trend strength filter requiring ADX > 20 for long entries
2026-09-06T12:41:29Z	8	REJECTED	0.451048	0.629269	56.774	38.254	1.7365	19.773	34	-12.7	0.978917	0.047904	C	54.582	paired chronological folds did not show a median/majority improvement over baseline	Add a rising RSI condition (current RSI > prior RSI) to entry logic to confirm upward momentum
2026-09-06T12:42:54Z	9	REJECTED	2.217379	0.629269	642.202	323.764	2.4916	67.233	5	-34.66	0.997349	0.007984	C	641.062	guard: development robustness gate failed	Change exit condition from RSI-based to price breaking below 50-period SMA
2026-09-06T12:43:37Z	10	REJECTED	0.445938	0.629269	66.536	44.402	1.8691	20.81	36	-11.962	0.985943	0.041916	C	64.064	paired chronological folds did not show a median/majority improvement over baseline	Replace the 50-period SMA trend filter with a 50-period EMA trend filter
