ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-06T00:44:56Z	1	REJECTED	0.135373	0.135373	160.066	32.757	1.328	23.275	17	-12.895	0.998413	0.033932	B	154.998	paired chronological folds did not show a median/majority improvement over baseline	Add a 50-period simple moving average trend filter to only enter longs when price is above its SMA.
2026-09-06T00:45:24Z	2	REJECTED	0.151259	0.135373	163.669	33.299	1.3326	23.545	15	-12.756	0.998525	0.023952	B	158.964	paired chronological folds did not show a median/majority improvement over baseline	Add a short-term volatility contraction condition: require current ATR to be less than the ATR from the previous 20-bar period.
2026-09-06T12:02:45Z	3	REJECTED	0.134772	0.135373	153.935	31.821	1.3011	23.198	17	-12.895	0.998054	0.035928	B	148.989	paired chronological folds did not show a median/majority improvement over baseline	Add a volume confirmation filter requiring current volume to exceed its 20-bar average for entry.
2026-09-06T12:03:41Z	4	REJECTED	0.135373	0.135373	160.066	32.757	1.328	23.275	17	-12.895	0.998413	0.03992	B	154.998	paired chronological folds did not show a median/majority improvement over baseline	Require bullish breakout candle (close > open) for entry to avoid false breakouts
2026-09-06T12:04:28Z	5	TOO_BROAD	nan	0.135373	nan	nan	nan	nan	0	nan	nan	nan		nan	localized-change guard: too many MoonStrategy units changed (4): ['MoonStrategy._buy_with_stop', 'MoonStrategy.assign:trailing_multiplier', 'MoonStrategy.init', 'MoonStrategy.next']	Replace static breakout-based exit with a trailing stop based on the highest high since entry and ATR.
2026-09-06T12:05:20Z	6	REJECTED	0.042457	0.135373	84.289	19.87	1.0189	19.63	15	-14.803	0.978628	0.0499	B	81.149	paired chronological folds did not show a median/majority improvement over baseline	Add an ADX trend filter requiring ADX > 20 to enter longs, trading breakouts only in trending markets.
2026-09-06T14:48:40Z	7	RISK_CONTROL_CHANGE	nan	0.135373	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a 200-period simple moving average trend filter to only enter longs when price is above its SMA.
2026-09-06T14:49:12Z	8	PARAMETER_ONLY	nan	0.135373	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Change ATR ratio mean lookback from 100 to 50 to adjust volatility contraction sensitivity
2026-09-06T14:51:54Z	9	REJECTED	0.119376	0.135373	137.406	29.217	1.2649	22.092	18	-12.886	0.997753	0.017964	B	132.541	paired chronological folds did not show a median/majority improvement over baseline	Replace fixed breakout exit with ATR-based trailing stop using highest high since entry
2026-09-06T14:52:28Z	10	REJECTED	-0.025711	0.135373	62.586	15.499	0.9379	16.836	10	-11.415	0.968394	0.06986	C	60.379	guard: development robustness gate failed	Add an uptrend filter requiring the 20-bar rolling high to be rising before entering a breakout.
