ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T22:02:00Z	1	RISK_CONTROL_CHANGE	nan	-0.053772	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a volatility filter: only allow entries when realized volatility is below the strategy's volatility target.
2026-09-05T22:05:02Z	2	REJECTED	-0.052817	-0.053772	79.952	5.491	0.4734	13.083	27	-28.686	0.948155	0.097804	B	78.404	paired chronological folds did not show a median/majority improvement over baseline	Add a long-term trend filter: only allow entries when price is above the 200-day SMA.
2026-09-06T18:54:43Z	3	REJECTED	-0.054169	-0.053772	79.36	5.46	0.4693	13.151	29	-28.686	0.946593	0.091816	B	77.727	paired chronological folds did not show a median/majority improvement over baseline	Add a trailing stop exit based on ATR and highest high since entry, alongside the existing SMA20 exit.
2026-09-06T18:56:08Z	4	REJECTED	-0.073601	-0.053772	55.036	4.071	0.3771	12.694	29	-29.167	0.901512	0.145709	C	53.676	paired chronological folds did not show a median/majority improvement over baseline	Add a medium-term trend filter: only allow entries when the 50-day SMA is rising.
2026-09-06T18:57:18Z	5	REJECTED	-0.05489	-0.053772	72.017	5.059	0.4362	13.333	29	-28.686	0.932234	0.115768	C	70.449	paired chronological folds did not show a median/majority improvement over baseline	Require that the closing price is above the opening price of the same bar (bullish candle) for entry.
2026-09-06T18:58:49Z	6	CRASH	nan	-0.053772	nan	nan	nan	nan	0	nan	nan	nan		nan	NVIDIA research-agent call failed: delimiter parse failed (required output markers missing or out of order); JSON fallback failed (Expecting value: line 1 column 1 (char 0))	(agent failed)
2026-09-06T19:15:03Z	7	REJECTED	-0.053482	-0.053772	72.017	5.059	0.4362	13.333	29	-28.686	0.932234	0.095808	B	70.449	paired chronological folds did not show a median/majority improvement over baseline	Add short-term trend filter: require price above 20-day SMA for entry.
2026-09-06T19:16:11Z	8	REJECTED	-0.008174	-0.053772	99.805	6.501	0.57	12.38	25	-21.129	0.977005	0.06986	B	98.478	paired chronological folds did not show a median/majority improvement over baseline	Add a volatility regime filter: only allow entries when realized volatility is above the strategy's volatility target.
2026-09-06T19:16:39Z	9	PARAMETER_ONLY	nan	-0.053772	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Change breakout lookback from 50-day high to 20-day high to capture shorter-term momentum
2026-09-06T19:17:43Z	10	CRASH	nan	-0.053772	nan	nan	nan	nan	0	nan	nan	nan		nan	NVIDIA research-agent call failed: delimiter parse failed (required output markers missing or out of order); JSON fallback failed (Expecting value: line 1 column 1 (char 0))	(agent failed)
