ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T20:42:12Z	1	REJECTED	0.319207	0.347313	214.951	40.511	1.3262	28.765	15	-24.956	0.992007	0.005988	B	211.86	K 0.319207 did not exceed 0.347313 by adaptive required delta 0.0054	Change entry pullback to only buy when price is below EMA20 within a dip (buy the dip) rather than either side of EMA20.
2026-09-05T20:43:34Z	2	REJECTED	0.211738	0.347313	167.429	33.86	1.1993	27.469	12	-26.036	0.984707	0.031936	B	165.374	paired chronological folds did not show a median/majority improvement over baseline	Add ADX > 20 trend strength filter to entry condition
2026-09-06T07:23:31Z	3	REJECTED	0.342312	0.347313	225.089	41.837	1.3468	29.1	14	-25.814	0.99253	0.007984	B	222.187	K 0.342312 did not exceed 0.347313 by adaptive required delta 0.0058	Enter long only on bullish pullbacks where price is above EMA20 but within 0.4*ATR, rather than on either side of EMA20.
2026-09-06T07:23:59Z	4	KEPT	0.390131	0.347313	236.5	43.295	1.5127	26.012	18	-24.695	0.997079	0.005988	B	232.589	K 0.347313 -> 0.390131; paired folds 0.75 improved; prefix lookahead audit PASS (required delta 0.0060)	Add ATR-based trailing stop exit: track highest close since entry and exit when price falls 2*ATR below that high.
2026-09-06T07:25:54Z	5	REJECTED	0.328705	0.390131	196.038	37.955	1.4498	24.202	12	-23.645	0.996196	0.013972	B	193.615	K 0.328705 did not exceed 0.390131 by adaptive required delta 0.0061	Add volume confirmation: enter only when current volume exceeds its 20-bar moving average.
2026-09-06T07:26:37Z	6	REJECTED	-0.085	0.390131	0.0	0.0	0.0	0.0	0	0.0	0.0	1.0	D	0.0	guard: development robustness gate failed	Add a volatility regime filter: only enter long when realized volatility is below a threshold.
2026-09-06T07:53:01Z	7	PARAMETER_ONLY	nan	0.390131	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Tighten pullback band to 0.25*ATR for entry, requiring price to be closer to EMA20
2026-09-06T07:53:33Z	8	KEPT	0.403357	0.390131	273.499	47.796	1.5904	26.813	18	-25.114	0.998287	0.011976	B	269.049	K 0.390131 -> 0.403357; paired folds 0.5 improved; prefix lookahead audit PASS (required delta 0.0063)	Add RSI > 50 bullish momentum filter to entry condition.
2026-09-06T07:56:02Z	9	REJECTED	0.202035	0.403357	149.311	31.105	1.2624	23.662	15	-30.792	0.989577	0.021956	B	146.923	paired chronological folds did not show a median/majority improvement over baseline	Add long-term trend filter: require price above EMA200 for entry.
2026-09-06T07:56:36Z	10	REJECTED	0.114526	0.403357	89.467	20.859	1.3359	15.006	30	-11.495	0.996356	0.023952	A	85.425	paired chronological folds did not show a median/majority improvement over baseline	Add a time-based exit that closes the position after a fixed number of bars, replacing the ATR-based trailing stop.
2026-09-06T14:10:28Z	11	REJECTED	0.392533	0.403357	222.128	41.453	1.6359	22.759	25	-17.372	0.999216	0.00998	A	216.387	paired chronological folds did not show a median/majority improvement over baseline	Change trailing stop to track highest high since entry and exit on close below that high minus 2*ATR
