ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T20:15:00Z	1	REJECTED	-0.085	0.202136	0.0	0.0	0.0	0.0	0	0.0	0.0	1.0	D	0.0	guard: development robustness gate failed	Add a volatility filter to entry: only allow breakout entries when realized volatility is below 0.3 (30% annualized) to avoid high-vol regimes.
2026-09-05T20:15:34Z	2	REJECTED	-0.030633	0.202136	18.258	5.097	0.576	9.38	48	-10.262	0.868018	0.147705	B	14.477	paired chronological folds did not show a median/majority improvement over baseline	Change exit condition: close position when price falls below the 20-bar rolling high instead of below the 50-day SMA.
2026-09-06T05:50:51Z	3	REJECTED	0.239466	0.202136	182.816	36.099	1.2024	29.18	11	-26.609	0.985184	0.021956	C	180.897	guard: development robustness gate failed	Add a trend strength filter: only allow breakout entries when the 14-bar ADX is above 20, ensuring entries occur in trending markets.
2026-09-06T05:51:26Z	4	KEPT	0.250303	0.202136	189.35	37.024	1.2068	29.779	12	-25.831	0.985582	0.015968	B	187.068	K 0.202136 -> 0.250303; paired folds 0.5 improved; prefix lookahead audit PASS (required delta 0.0060)	Add a minimum breakout magnitude filter: require price to exceed the 20-bar rolling high by at least half the ATR to ensure meaningful breakouts.
2026-09-06T05:52:30Z	5	REJECTED	-0.110545	0.250303	41.332	10.8	0.5414	24.515	12	-34.902	0.837779	0.161677	C	40.235	guard: development robustness gate failed	Add a gap filter to entry: only allow breakout entries when the price increase from the previous close is not excessive relative to ATR, to avoid buying after exhaustion gaps.
2026-09-06T05:53:15Z	6	PARAMETER_ONLY	nan	0.250303	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Widen the initial stop loss from 2×ATR to 3×ATR to reduce premature exits due to normal volatility, improving trade robustness.
2026-09-06T08:01:19Z	7	REJECTED	-0.023252	0.250303	57.154	14.341	0.7542	20.574	11	-25.473	0.915462	0.067864	C	55.906	guard: development robustness gate failed	Add a long-term trend filter: only allow breakout entries when price is above the 200-day SMA to avoid buying in downtrends.
2026-09-06T08:03:30Z	8	REJECTED	0.273533	0.250303	199.09	38.375	1.2409	29.744	11	-25.831	0.987644	0.00998	C	197.0	guard: development robustness gate failed	Add a volume expansion filter: only allow breakout entries when current bar volume exceeds the previous bar's volume, to increase reliability of breakouts.
2026-09-06T08:04:02Z	9	REJECTED	0.125244	0.250303	141.786	29.919	1.0808	27.797	8	-26.539	0.974809	0.031936	C	140.351	guard: development robustness gate failed	Add a rising 50-day SMA filter to entry: only allow breakout entries when the 50-day SMA is rising compared to the previous bar.
2026-09-06T08:04:52Z	10	REJECTED	0.250303	0.250303	189.35	37.024	1.2068	29.779	12	-25.831	0.985582	0.017964	B	187.068	paired chronological folds did not show a median/majority improvement over baseline	Add a bullish candle filter: only allow breakout entries when the current bar's close exceeds its open, ensuring buying pressure on the breakout bar.
2026-09-06T08:06:36Z	11	REJECTED	-0.006994	0.250303	43.799	11.37	0.7419	16.296	18	-16.526	0.913445	0.111776	C	42.012	paired chronological folds did not show a median/majority improvement over baseline	Change exit condition to a trailing stop based on the highest high since entry minus a multiple of ATR, replacing the SMA50 exit.
