ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T16:47:44Z	1	REJECTED	0.788454	0.785482	570.977	75.828	2.0104	30.314	13	-24.473	0.999969	0.003992	B	563.83	paired chronological folds did not show a median/majority improvement over baseline	Add a 50-day simple moving average trend filter: only enter long when price > SMA50.
2026-09-05T16:48:33Z	2	REJECTED	0.436597	0.785482	300.293	50.863	1.7352	25.553	13	-26.165	0.999605	0.003992	B	295.883	guard: development robustness gate failed	Add ADX trend filter: only enter long when price > Donchian high and ADX > 20.
2026-09-06T04:14:43Z	3	REJECTED	0.23818	0.785482	423.116	63.319	1.8009	29.636	12	-25.166	0.99978	0.001996	B	417.919	K 0.23818 did not exceed 0.785482 by adaptive required delta 0.0092	Add a low-volatility regime filter: only enter long when current realized volatility is below its 20-period moving average.
2026-09-06T04:15:57Z	4	REJECTED	0.641551	0.785482	502.012	70.264	1.9223	29.978	13	-24.478	0.999936	0.001996	B	495.567	paired chronological folds did not show a median/majority improvement over baseline	Add volume confirmation: only enter long when current volume exceeds its 20-period moving average.
2026-09-06T04:16:45Z	5	REJECTED	0.65861	0.785482	379.297	59.138	1.797	27.944	25	-12.795	0.999948	0.00998	A	367.542	paired chronological folds did not show a median/majority improvement over baseline	Change exit rule from Donchian low break to price below 10-day simple moving average
2026-09-06T04:17:12Z	6	REJECTED	0.785482	0.785482	544.124	73.712	1.9969	29.842	13	-24.473	0.999966	0.001996	B	537.601	paired chronological folds did not show a median/majority improvement over baseline	Add a one-bar upward momentum filter: only enter long when price exceeds the Donchian high and is above the previous bar's close.
2026-09-06T08:41:01Z	7	REJECTED	0.785482	0.785482	544.124	73.712	1.9969	29.842	13	-24.473	0.999966	0.001996	B	537.601	paired chronological folds did not show a median/majority improvement over baseline	Add entry low lookback to require price above midpoint of Donchian channel for bullish bias
2026-09-06T08:41:42Z	8	PARAMETER_ONLY	nan	0.785482	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Increase entry lookback from 20 to 25 to require stronger breakout signals.
2026-09-06T08:45:02Z	9	REJECTED	0.357712	0.785482	188.174	36.858	1.5946	21.036	8	-16.987	0.999272	0.007984	C	186.071	guard: development robustness gate failed	Add a volatility expansion filter: only enter long when current realized volatility exceeds its 20-period simple moving average.
2026-09-06T08:47:33Z	10	REJECTED	0.593597	0.785482	478.528	68.268	1.8297	31.009	10	-26.462	0.999881	0.003992	C	472.595	guard: development robustness gate failed	Add a rising Donchian high filter: only enter long when price exceeds the Donchian high and the Donchian high is above its previous value (indicating an upward channel shift).
2026-09-06T21:46:47Z	11	RISK_CONTROL_CHANGE	nan	0.785482	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Tighten ATR-based stop loss from 3.0 to 2.5 to reduce risk and improve robustness
2026-09-06T22:08:30Z	12	RISK_CONTROL_CHANGE	nan	0.785482	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a chandelier exit trailing stop based on ATR to replace the Donchian low break exit.
2026-09-06T22:21:37Z	13	RISK_CONTROL_CHANGE	nan	0.785482	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add RSI(14) < 60 filter to entry condition to avoid overbought buys.
2026-09-06T22:35:47Z	14	RISK_CONTROL_CHANGE	nan	0.785482	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a 20-period EMA filter: only enter long when price exceeds the Donchian high and is above the 20-period EMA of close.
2026-09-06T22:49:41Z	15	RISK_CONTROL_CHANGE	nan	0.785482	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a intraday bullish bias filter: only enter long when price exceeds the Donchian high and the close is above the midpoint of the current bar's range.
2026-09-06T23:02:17Z	16	RISK_CONTROL_CHANGE	nan	0.785482	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add intraday bullish bias filter: only enter long when price exceeds the Donchian high and the close is above the open of the current bar
