ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-06T23:07:21Z	1	REJECTED	-0.00418	0.005613	53.59	3.982	0.4863	8.848	22	-17.498	0.943781	0.035928	B	51.918	paired chronological folds did not show a median/majority improvement over baseline	Add ADX trend filter requiring ADX > 20 for entry
2026-09-06T23:08:08Z	2	REJECTED	0.004393	0.005613	80.624	5.527	0.5986	9.807	25	-13.976	0.973694	0.013972	B	78.311	paired chronological folds did not show a median/majority improvement over baseline	Add a volatility regime filter: enter only when current realized volatility is above its 60-period moving average.
2026-09-06T23:08:29Z	3	RISK_CONTROL_CHANGE	nan	0.005613	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add volume confirmation: require current volume above its 20-period moving average for entry
2026-09-06T23:11:07Z	4	REJECTED	0.00434	0.005613	125.384	7.675	0.6215	13.359	43	-17.346	0.97805	0.007984	A	120.341	paired chronological folds did not show a median/majority improvement over baseline	Add a 50-period simple moving average trend filter: enter long only when price exceeds the 50-period SMA (previous bar).
2026-09-06T23:16:48Z	5	CRASH	nan	0.005613	nan	nan	nan	nan	0	nan	nan	nan		nan	harness exited 1; see logs/run_5.txt	Replace Donchian low exit with 10-bar EMA exit
2026-09-06T23:17:11Z	6	REJECTED	0.004888	0.005613	128.104	7.792	0.6313	13.314	43	-17.346	0.979658	0.015968	A	123.016	paired chronological folds did not show a median/majority improvement over baseline	Add bullish bar filter requiring close > open for long entry
2026-09-06T23:17:45Z	7	RISK_CONTROL_CHANGE	nan	0.005613	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a low-volatility regime filter: enter long only when current realized volatility is below its 20-period simple moving average.
2026-09-06T23:18:16Z	8	REJECTED	-0.001373	0.005613	90.074	6.018	0.513	13.088	42	-17.346	0.952333	0.02994	A	85.858	paired chronological folds did not show a median/majority improvement over baseline	Add volatility contraction filter: enter long only when today's realized volatility is lower than yesterday's (volatility decreasing).
2026-09-06T23:36:49Z	9	RISK_CONTROL_CHANGE	nan	0.005613	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Replace Donchian low exit with ADX-based exit: exit long when previous bar's ADX < 20
2026-09-06T23:38:12Z	10	KEPT	0.021494	0.005613	156.875	8.964	0.7026	13.548	76	-18.405	0.988705	0.007984	A	146.338	K 0.005613 -> 0.021494; paired folds 0.5455 improved; prefix lookahead audit PASS (required delta 0.0064)	Add profit target exit: exit long when price reaches entry price plus profit_target * ATR
2026-09-06T23:38:42Z	11	REJECTED	-0.033621	0.021494	30.616	2.46	0.311	9.193	34	-25.561	0.844138	0.145709	B	28.102	paired chronological folds did not show a median/majority improvement over baseline	Add breakout strength filter requiring price to exceed Donchian high by at least half ATR
2026-09-06T23:41:13Z	12	TOO_BROAD	nan	0.021494	nan	nan	nan	nan	0	nan	nan	nan		nan	localized-change guard: too many AtlasStrategy units changed (4): ['AtlasStrategy.assign:profit_target', 'AtlasStrategy.assign:trailing_mult', 'AtlasStrategy.init', 'AtlasStrategy.next']	Replace fixed profit target exit with ATR-based trailing stop exit to lock in profits while allowing trends to run
2026-09-07T01:58:14Z	13	RISK_CONTROL_CHANGE	nan	0.021494	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a low volatility regime filter: enter long only when current realized volatility is below its 30-period moving average
2026-09-07T01:59:27Z	14	REJECTED	-0.009324	0.021494	91.677	6.099	0.5423	12.344	71	-17.263	0.961173	0.015968	A	84.229	paired chronological folds did not show a median/majority improvement over baseline	Add rising SMA50 filter to entry: only enter when the 50-period SMA is increasing.
2026-09-07T02:04:29Z	15	REJECTED	0.021494	0.021494	156.875	8.964	0.7026	13.548	76	-18.405	0.988705	0.001996	A	146.338	paired chronological folds did not show a median/majority improvement over baseline	Add Donchian midpoint filter: enter long only when price exceeds both the Donchian high and the midpoint of the Donchian channel.
