ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T22:00:09Z	1	REJECTED	-0.028301	-0.028178	18.749	1.576	0.461	3.528	27	-8.69	0.945932	0.10978	C	18.5	paired chronological folds did not show a median/majority improvement over baseline	Add a 200-day simple moving average trend filter to entry condition, requiring price to be above the long-term trend.
2026-09-05T22:00:45Z	2	REJECTED	-0.027989	-0.028178	17.491	1.478	0.4273	3.584	29	-8.69	0.930727	0.097804	B	17.231	paired chronological folds did not show a median/majority improvement over baseline	Add bullish candle requirement (close > open) to entry condition to ensure buying pressure behind breakouts
2026-09-06T18:45:52Z	3	REJECTED	-0.056079	-0.028178	71.523	5.032	0.8128	6.281	21	-10.475	0.999437	0.011976	B	71.258	guard: development robustness gate failed	Replace fixed SMA exit with ATR-based trailing stop to reduce whipsaws and improve robustness
2026-09-06T18:52:42Z	4	RISK_CONTROL_CHANGE	nan	-0.028178	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a volatility contraction filter: only enter when current realized volatility is below its 20-day SMA, indicating a breakout after low volatility.
2026-09-06T18:53:12Z	5	REJECTED	-0.03312	-0.028178	13.513	1.16	0.3611	3.35	28	-8.302	0.89116	0.157685	C	13.267	paired chronological folds did not show a median/majority improvement over baseline	Add a close-position filter requiring the close to be in the upper half of the day's range to ensure sustained buying pressure.
2026-09-06T18:53:57Z	6	REJECTED	-0.025366	-0.028178	13.752	1.179	0.3725	3.294	24	-7.788	0.90337	0.133733	C	13.551	paired chronological folds did not show a median/majority improvement over baseline	Add an ADX trend strength filter requiring ADX > 20 to ensure breakouts occur in trending markets.
2026-09-06T19:06:54Z	7	REJECTED	-0.066866	-0.028178	46.489	3.535	0.6776	5.338	21	-11.778	0.992232	0.023952	B	46.259	guard: development robustness gate failed	Exit when price falls below 50-day SMA instead of 20-day SMA to allow longer trend following.
2026-09-06T19:07:55Z	8	REJECTED	-0.011825	-0.028178	20.255	1.692	0.4888	3.565	27	-7.499	0.955947	0.077844	B	20.013	paired chronological folds did not show a median/majority improvement over baseline	Add a volume increase condition requiring today's volume to exceed yesterday's volume to confirm buying pressure behind breakouts.
2026-09-06T19:08:40Z	9	REJECTED	-0.004353	-0.028178	19.521	1.636	0.5209	3.215	15	-5.566	0.968927	0.08982	C	19.369	paired chronological folds did not show a median/majority improvement over baseline	Add a consecutive high-volume condition requiring both today's and yesterday's volume to exceed 1.5 times their respective 20-day average volumes.
2026-09-06T19:10:23Z	10	CRASH	nan	-0.028178	nan	nan	nan	nan	0	nan	nan	nan		nan	NVIDIA research-agent call failed: delimiter parse failed (required output markers missing or out of order); JSON fallback failed (Expecting value: line 1 column 1 (char 0))	(agent failed)
