ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T17:21:20Z	1	REJECTED	0.311201	0.600738	481.773	68.547	2.0178	27.732	9	-12.655	0.999984	0.003992	C	476.516	guard: development robustness gate failed	Add a volatility regime filter: only enter long when current realized volatility is below its 100-period simple moving average (low-volatility regime).
2026-09-05T17:22:04Z	2	RISK_CONTROL_CHANGE	nan	0.600738	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add an ADX trend strength filter: only enter long when the 14-period ADX exceeds 20.
2026-09-06T04:43:13Z	3	REJECTED	0.47837	0.600738	532.935	72.812	1.9129	31.07	14	-23.401	0.999932	0.001996	B	524.899	paired chronological folds did not show a median/majority improvement over baseline	Add a volume confirmation filter: only enter long when current volume exceeds its 20-period simple moving average.
2026-09-06T04:43:33Z	4	REJECTED	0.524272	0.600738	458.536	66.523	1.6782	33.637	14	-32.584	0.999768	0.007984	B	450.572	guard: development robustness gate failed	Add a rising SMA50 condition: only enter long when the 50-period SMA is rising (current SMA50 > previous SMA50).
2026-09-06T04:44:01Z	5	REJECTED	0.047833	0.600738	245.445	44.414	1.6253	24.404	7	-20.244	0.999433	0.007984	C	243.037	guard: development robustness gate failed	Add a bullish regime filter: only enter long when the 50-period SMA is above the 200-period SMA (golden cross).
2026-09-06T04:44:21Z	6	REJECTED	0.600738	0.600738	595.312	77.695	1.9871	31.359	14	-23.39	0.999963	0.001996	B	586.445	paired chronological folds did not show a median/majority improvement over baseline	Add a prior close momentum filter: only enter long when the current close exceeds the previous close (positive momentum).
2026-09-06T04:45:26Z	7	REJECTED	0.589238	0.600738	544.705	73.758	1.8626	32.372	9	-20.773	0.999965	0.001996	C	538.795	guard: development robustness gate failed	Add a medium-term trend filter: only enter long when the 50-period SMA is above the 100-period SMA (medium-term uptrend).
2026-09-06T04:46:39Z	8	PARAMETER_ONLY	nan	0.600738	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Reduce Donchian high breakout lookback from 20 to 10 bars
2026-09-06T04:50:09Z	9	REJECTED	0.600738	0.600738	595.312	77.695	1.9871	31.359	14	-23.39	0.999963	0.003992	B	586.445	paired chronological folds did not show a median/majority improvement over baseline	Add a bullish candle filter: only enter long when the current close exceeds the current open (bullish bar) in addition to the existing breakout and SMA50 filters.
2026-09-06T04:50:40Z	10	CRASH	nan	0.600738	nan	nan	nan	nan	0	nan	nan	nan		nan	harness exited 1; see logs/run_10.txt	Exit only when price falls below the 50-period SMA, removing the 10-period low condition
2026-09-06T05:00:03Z	11	REJECTED	0.593173	0.600738	587.858	77.128	1.9771	31.356	14	-24.208	0.999959	0.001996	B	579.137	paired chronological folds did not show a median/majority improvement over baseline	Add a volatility-adjusted trend filter: only enter long when the close exceeds the 50-period SMA by at least half the ATR.
2026-09-06T05:00:35Z	12	REJECTED	0.483431	0.600738	533.3	72.841	1.7921	33.569	13	-28.185	0.999911	0.001996	B	524.727	paired chronological folds did not show a median/majority improvement over baseline	Add a longer-term trend filter: only enter long when price exceeds the 100-period SMA in addition to the existing breakout and 50-period SMA filters.
2026-09-06T05:01:54Z	13	REJECTED	0.518495	0.600738	389.523	60.137	1.6772	30.783	10	-21.738	0.999848	0.011976	C	384.955	guard: development robustness gate failed	Add a filter requiring the 10-period low to be above the 50-period SMA for entry (strong uptrend condition).
