ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T17:24:32Z	1	REJECTED	0.037029	0.059842	81.663	19.361	0.9016	22.419	18	-29.89	0.948762	0.05988	B	80.069	paired chronological folds did not show a median/majority improvement over baseline	Add volume confirmation: enter only when current volume exceeds its 20-period average (shifted) to increase breakout reliability.
2026-09-05T17:25:26Z	2	REJECTED	0.141513	0.059842	122.104	26.69	1.0963	24.277	10	-32.402	0.975196	0.02994	C	121.149	guard: development robustness gate failed	Change exit condition from OR to AND: exit only when price breaks both the Donchian low and the SMA50 simultaneously to reduce whipsaw exits.
2026-09-06T04:56:45Z	3	RISK_CONTROL_CHANGE	nan	0.059842	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a bullish momentum filter: enter only when RSI(14) > 50 to avoid entering weak breakouts.
2026-09-06T04:57:52Z	4	REJECTED	0.052466	0.059842	62.109	15.399	0.8034	20.424	15	-25.33	0.927248	0.085828	B	60.969	paired chronological folds did not show a median/majority improvement over baseline	Add a trend strength filter: enter only when ADX(14) > 20 to ensure breakouts occur in trending markets.
2026-09-06T04:58:34Z	5	REJECTED	0.031345	0.059842	78.77	18.794	0.9015	21.722	13	-30.323	0.948849	0.047904	B	77.571	paired chronological folds did not show a median/majority improvement over baseline	Add rising SMA50 filter: enter only when SMA50 is increasing relative to previous bar to strengthen trend confirmation.
2026-09-06T04:58:59Z	6	KEPT	0.230314	0.059842	140.596	29.729	1.3057	21.745	12	-25.979	0.990457	0.013972	B	139.297	K 0.059842 -> 0.230314; paired folds 0.75 improved; prefix lookahead audit PASS (required delta 0.0062)	Replace exit logic with ATR-based trailing stop that only moves up, using a 3x ATR distance from close.
2026-09-06T08:07:44Z	7	REJECTED	0.194967	0.230314	127.837	27.65	1.2545	21.26	10	-25.568	0.987995	0.023952	C	126.829	guard: development robustness gate failed	Add ATR rising filter: enter only when current ATR exceeds previous ATR to ensure breakouts occur during expanding volatility.
2026-09-06T08:08:40Z	8	RISK_CONTROL_CHANGE	nan	0.230314	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Reduce vol_target to lower leverage and improve risk-adjusted robustness.
2026-09-06T08:09:57Z	9	REJECTED	-0.002036	0.230314	73.001	17.645	1.2246	14.073	10	-10.982	0.987214	0.011976	C	72.222	guard: development robustness gate failed	Add volatility contraction filter: enter only when current ATR is below its 20-period moving average to trade breakouts during low volatility periods.
2026-09-06T08:10:22Z	10	CRASH	nan	0.230314	nan	nan	nan	nan	0	nan	nan	nan		nan	NVIDIA research-agent call failed: delimiter parse failed (required output markers missing or out of order); JSON fallback failed (Expecting value: line 1 column 1 (char 0))	(agent failed)
2026-09-06T08:18:43Z	11	REJECTED	-0.003471	0.230314	55.487	13.98	1.1075	12.516	8	-10.435	0.978854	0.025948	C	54.892	guard: development robustness gate failed	Add long-term trend filter: enter only when price exceeds the 200-period SMA to trade breakouts in bullish regimes.
2026-09-06T08:22:53Z	12	REJECTED	0.19185	0.230314	125.487	27.259	1.1919	22.311	15	-24.972	0.984284	0.021956	B	123.896	paired chronological folds did not show a median/majority improvement over baseline	Add Donchian low as an additional exit condition (OR with trailing stop) to exit earlier during breakdowns.
2026-09-06T08:23:28Z	13	CRASH	nan	0.230314	nan	nan	nan	nan	0	nan	nan	nan		nan	NVIDIA research-agent call failed: delimiter parse failed (required output markers missing or out of order); JSON fallback failed (Expecting value: line 1 column 1 (char 0))	(agent failed)
2026-09-06T10:52:04Z	14	REJECTED	0.199931	0.230314	130.617	28.11	1.2724	21.241	11	-24.555	0.988789	0.01996	C	129.509	guard: development robustness gate failed	Replace SMA50 trend filter with EMA50 for faster trend response
