ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T22:29:16Z	1	REJECTED	-0.021868	0.01804	19.302	5.372	0.798	6.848	7	-10.385	0.923505	0.057884	C	19.226	guard: development robustness gate failed	Change exit condition to use volatility-adjusted EMA band (ema - 1.5*atr) instead of raw EMA cross
2026-09-05T22:29:54Z	2	PARAMETER_ONLY	nan	0.01804	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Increase entry threshold from 1.5*ATR to 2.0*ATR to require stronger breakout signals
2026-09-06T06:00:53Z	3	RISK_CONTROL_CHANGE	nan	0.01804	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a bullish RSI filter (RSI > 50) to entry condition to avoid entering weak momentum
2026-09-06T06:01:57Z	4	REJECTED	-0.008574	0.01804	6.465	1.874	0.5413	3.545	10	-3.697	0.836814	0.143713	D	6.364	guard: development robustness gate failed	Add ADX trend strength filter (ADX > 25) to entry condition to avoid weak momentum entries
2026-09-06T06:03:11Z	5	RISK_CONTROL_CHANGE	nan	0.01804	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a low-volatility regime filter to entry condition, requiring current realized volatility to be below its 60-period SMA.
2026-09-06T06:03:34Z	6	REJECTED	0.052103	0.01804	21.562	5.959	1.248	4.725	16	-4.702	0.987737	0.00998	B	21.36	paired chronological folds did not show a median/majority improvement over baseline	Change exit logic from EMA cross to a trailing stop based on the highest high since entry multiplied by ATR
2026-09-06T06:16:08Z	7	REJECTED	0.023489	0.01804	24.137	6.62	1.0664	6.187	11	-7.288	0.97098	0.023952	C	23.99	guard: development robustness gate failed	Add volatility expansion filter to entry: require current ATR to be greater than previous ATR
2026-09-06T06:17:15Z	8	REJECTED	0.018226	0.01804	24.913	6.817	1.0631	6.392	11	-7.333	0.970467	0.037924	C	24.765	guard: development robustness gate failed	Add volume confirmation filter to entry condition: require current volume to be above its 20-period moving average
2026-09-06T06:18:17Z	9	REJECTED	0.026	0.01804	26.133	7.125	1.1104	6.379	9	-7.398	0.975502	0.023952	C	26.007	guard: development robustness gate failed	Add a fast EMA trend filter requiring the 20-period EMA to be above the 50-period EMA for long entries
2026-09-06T06:24:06Z	10	REJECTED	0.019729	0.01804	23.398	6.431	1.0185	6.312	12	-7.946	0.964753	0.027944	B	23.237	paired chronological folds did not show a median/majority improvement over baseline	Replace ATR-based entry threshold with standard deviation of close prices (using _std_now) while keeping ATR for stop loss.
2026-09-06T13:50:11Z	11	CRASH	nan	0.01804	nan	nan	nan	nan	0	nan	nan	nan		nan	NVIDIA research-agent call failed: delimiter parse failed (required output markers missing or out of order); JSON fallback failed (Expecting value: line 1 column 1 (char 0))	(agent failed)
2026-09-06T13:59:31Z	12	REJECTED	0.003297	0.01804	20.677	5.73	0.9304	6.192	17	-7.743	0.951157	0.043912	B	20.467	paired chronological folds did not show a median/majority improvement over baseline	Change entry condition to use 20-period Donchian high breakout instead of EMA + 1.5*ATR
2026-09-06T14:01:24Z	13	REJECTED	0.01804	0.01804	24.885	6.81	1.0612	6.398	11	-7.378	0.970269	0.023952	C	24.736	guard: development robustness gate failed	Add EMA upward slope filter to entry condition to ensure entering only during rising trend
2026-09-06T19:39:51Z	14	KEPT	0.065482	0.01804	21.032	5.822	1.6819	3.397	28	-2.234	0.999248	0.005988	A	20.7	K 0.01804 -> 0.065482; paired folds 0.5 improved; prefix lookahead audit PASS (required delta 0.0066)	Add a maximum holding period exit to close positions after a fixed number of bars
