ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T20:40:29Z	1	KEPT	0.065624	0.052057	36.701	9.711	1.2505	7.641	12	-7.752	0.987217	0.00998	B	36.469	K 0.052057 -> 0.065624; paired folds 0.5 improved; prefix lookahead audit PASS (required delta 0.0054)	Add ADX trend strength filter to entry condition
2026-09-05T20:41:05Z	2	REJECTED	3.5e-05	0.065624	19.507	5.425	0.8451	6.498	11	-7.952	0.934574	0.081836	C	19.321	guard: development robustness gate failed	Change pullback condition to require price at or below the fast EMA (one-sided dip) instead of symmetric distance.
2026-09-06T07:50:15Z	3	REJECTED	-0.085	0.065624	0.0	0.0	0.0	0.0	0	0.0	0.0	1.0	D	0.0	guard: development robustness gate failed	Add low-volatility regime filter to entry condition: only enter when realized volatility is below vol_target.
2026-09-06T07:51:05Z	4	PARAMETER_ONLY	nan	0.065624	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Increase ADX trend strength threshold from >20 to >25 to require stronger trend confirmation
2026-09-06T07:51:45Z	5	REJECTED	0.064572	0.065624	35.008	9.307	1.228	7.47	12	-7.249	0.986057	0.017964	B	34.78	paired chronological folds did not show a median/majority improvement over baseline	Require price to be at or above the fast EMA and within 0.4*ATR above it for entry pullback condition
2026-09-06T07:52:19Z	6	REJECTED	0.009137	0.065624	15.259	4.3	0.8956	4.828	45	-5.829	0.944015	0.091816	A	14.525	paired chronological folds did not show a median/majority improvement over baseline	Change exit condition to close position when price falls below the fast EMA (20) instead of the slow EMA (50).
2026-09-06T14:04:06Z	7	REJECTED	0.04255	0.065624	33.114	8.85	1.1126	7.899	9	-9.995	0.976599	0.017964	C	32.95	guard: development robustness gate failed	Replace fixed EMA50 exit with ATR-based trailing stop using highest high since entry
2026-09-06T14:06:12Z	8	REJECTED	0.064572	0.065624	35.008	9.307	1.228	7.47	12	-7.249	0.986057	0.005988	B	34.78	paired chronological folds did not show a median/majority improvement over baseline	Require price to be above the fast EMA (20) in addition to the fast EMA being above the slow EMA for trend confirmation.
2026-09-06T14:08:05Z	9	DUPLICATE	nan	0.065624	nan	nan	nan	nan	0	nan	nan	nan		nan	semantic AST duplicate of a previously generated candidate	Change pullback condition to one-sided dip below fast EMA (price at or below e20 within 0.4*ATR) to focus on buying pullbacks in uptrends
2026-09-06T14:09:20Z	10	REJECTED	0.047659	0.065624	30.354	8.176	1.1315	7.169	10	-7.618	0.978577	0.015968	C	30.16	guard: development robustness gate failed	Add directional confirmation using +DI and -DI from ADX calculation to entry condition
2026-09-06T14:14:53Z	11	DUPLICATE	nan	0.065624	nan	nan	nan	nan	0	nan	nan	nan		nan	semantic AST duplicate of a previously generated candidate	Modify pullback condition to require price at or below EMA20 within 0.4*ATR (one-sided dip with ATR band)
2026-09-06T14:15:41Z	12	REJECTED	0.027732	0.065624	17.844	4.988	1.1055	4.492	19	-6.072	0.978141	0.027944	B	17.518	paired chronological folds did not show a median/majority improvement over baseline	Add ADX trend weakening exit condition: close position when ADX falls below 20 in addition to price below EMA50.
2026-09-06T20:12:13Z	13	CRASH	nan	0.065624	nan	nan	nan	nan	0	nan	nan	nan		nan	NVIDIA research-agent call failed: delimiter parse failed (required output markers missing or out of order); JSON fallback failed (Expecting value: line 1 column 1 (char 0))	(agent failed)
2026-09-06T20:43:37Z	14	RISK_CONTROL_CHANGE	nan	0.065624	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Remove the price > EMA50 condition from the trend filter to allow buying in medium-term uptrends even when price is temporarily below the long-term EMA
2026-09-06T20:57:12Z	15	RISK_CONTROL_CHANGE	nan	0.065624	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Change exit condition to exit when fast EMA crosses below slow EMA (trend reversal)
2026-09-06T21:29:09Z	16	RISK_CONTROL_CHANGE	nan	0.065624	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Change exit condition to close when price falls below e20 minus 0.4*ATR (volatility-adjusted pullback failure)
