ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T18:47:35Z	1	REJECTED	0.010175	0.035071	51.9	13.194	1.0954	11.962	7	-16.457	0.976185	0.015968	B	51.622	paired chronological folds did not show a median/majority improvement over baseline	Add ADX trend filter: only enter long when ADX > 25, indicating a strong trend.
2026-09-05T18:48:08Z	2	REJECTED	0.000813	0.035071	42.598	11.094	0.8604	13.242	6	-20.987	0.940525	0.02994	B	42.337	paired chronological folds did not show a median/majority improvement over baseline	Add SMA slope filter: only enter long when price > SMA175 and the SMA175 is rising (today's SMA > yesterday's SMA)
2026-09-06T11:44:23Z	3	RISK_CONTROL_CHANGE	nan	0.035071	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add low-volatility regime filter: only enter long when realized volatility is below its own moving average.
2026-09-06T11:45:09Z	4	RISK_CONTROL_CHANGE	nan	0.035071	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add high-volatility regime filter: only enter long when realized volatility is above its own moving average.
2026-09-06T11:45:44Z	5	PARAMETER_ONLY	nan	0.035071	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Tighten ATR-based stop loss from 5x to 3x ATR to reduce losses and improve risk-adjusted returns.
2026-09-06T11:46:44Z	6	REJECTED	0.062217	0.035071	90.687	21.089	1.0442	20.291	9	-23.362	0.971369	0.025948	B	89.928	paired chronological folds did not show a median/majority improvement over baseline	Replace SMA-based exit with ATR trailing stop to lock in profits while maintaining initial volatility-based stop.
2026-09-06T11:56:08Z	7	REJECTED	0.035071	0.035071	82.762	19.575	0.9592	20.918	9	-29.059	0.958805	0.041916	B	82.081	paired chronological folds did not show a median/majority improvement over baseline	Enter long only when price is above SMA175 and also above the previous bar's SMA175, adding upward momentum filter
2026-09-06T11:57:33Z	8	REJECTED	0.035071	0.035071	82.762	19.575	0.9592	20.918	9	-29.059	0.958805	0.03992	B	82.081	paired chronological folds did not show a median/majority improvement over baseline	Add volume filter: enter long only when current volume exceeds its 30-bar moving average
2026-09-06T11:59:26Z	9	REJECTED	0.03894	0.035071	83.881	19.791	0.9678	20.918	8	-28.662	0.960131	0.047904	B	83.243	K 0.03894 did not exceed 0.035071 by adaptive required delta 0.0064	Add a 1% buffer above SMA175 for entry to reduce false breakouts
2026-09-06T12:00:12Z	10	KEPT	0.044094	0.035071	84.702	19.95	0.9754	20.883	6	-29.05	0.96126	0.037924	B	84.175	K 0.035071 -> 0.044094; paired folds 0.5 improved; prefix lookahead audit PASS (required delta 0.0064)	Enter long only when price exceeds SMA175 by half an ATR, adding a volatility-adjusted breakout filter
