ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T13:06:19Z	1	REJECTED	-0.063325	-0.030298	146.884	8.571	0.5218	19.27	66	-40.067	0.963097	0.025948	A	142.688	guard: development robustness gate failed	Change exit condition from previous bar's high to 10-bar prior high for earlier profit taking.
2026-09-05T13:10:48Z	2	REJECTED	-0.014133	-0.030298	8.959	0.784	0.2277	3.734	8	-8.477	0.783347	0.217565	D	8.517	guard: development robustness gate failed	Add a volatility regime filter to only enter trades when current realized volatility is at or below the strategy's volatility target.
2026-09-06T03:49:50Z	3	RISK_CONTROL_CHANGE	nan	-0.030298	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add an ATR-based stop loss on entry to limit downside risk
2026-09-06T03:50:28Z	4	KEPT	-0.020745	-0.030298	91.986	6.115	0.5351	12.573	134	-29.248	0.962773	0.013972	A	85.903	K -0.030298 -> -0.020745; paired folds 0.5455 improved; prefix lookahead audit PASS (required delta 0.0060)	Add down bar condition to entry: require close < open
2026-09-06T03:51:03Z	5	REJECTED	-0.059194	-0.020745	13.331	1.145	0.1754	8.601	49	-24.75	0.720187	0.265469	B	12.055	paired chronological folds did not show a median/majority improvement over baseline	Add a 50-day simple moving average trend filter to only enter longs when price is above its SMA
2026-09-06T03:58:45Z	6	REJECTED	-0.031687	-0.020745	78.384	5.407	0.489	12.325	122	-27.929	0.948378	0.037924	A	73.184	paired chronological folds did not show a median/majority improvement over baseline	Replace average range with ATR in entry condition for better volatility adaptation
2026-09-06T13:36:49Z	7	PARAMETER_ONLY	nan	-0.020745	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Tighten IBS entry threshold from 0.30 to 0.25 to require stronger bearish close before buying
2026-09-06T13:40:26Z	8	PARAMETER_ONLY	nan	-0.020745	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Change exit condition from previous bar's high to two-bar-prior high for later profit taking
2026-09-06T13:41:44Z	9	REJECTED	-0.045004	-0.020745	41.462	3.206	0.336	11.289	86	-29.312	0.868773	0.077844	A	38.355	paired chronological folds did not show a median/majority improvement over baseline	Add a volume filter to only enter trades when current volume exceeds its 20-bar average.
2026-09-06T13:42:24Z	10	REJECTED	-0.003133	-0.020745	46.986	3.567	0.3772	10.856	165	-18.505	0.895458	0.077844	A	41.223	paired chronological folds did not show a median/majority improvement over baseline	Change exit condition to IBS > 0.7 for profit taking when the close is in the upper part of the day's range.
