ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T16:46:14Z	1	REJECTED	0.070034	0.210462	76.429	18.331	1.7689	9.779	12	-7.523	0.999762	0.005988	B	75.882	K 0.070034 did not exceed 0.210462 by adaptive required delta 0.0054	Add low-volatility regime filter: only enter when realized volatility is below its 20-bar SMA
2026-09-05T16:47:20Z	2	PARAMETER_ONLY	nan	0.210462	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Reduce exit lookback from 10 to 5 bars to tighten exit and potentially reduce drawdown.
2026-09-06T06:58:04Z	3	REJECTED	0.185752	0.210462	81.686	19.366	1.8476	9.837	12	-7.322	0.999892	0.005988	B	81.081	paired chronological folds did not show a median/majority improvement over baseline	Add a breakout strength filter requiring price to exceed the Donchian high by a fraction of ATR before entering.
2026-09-06T06:58:32Z	4	RISK_CONTROL_CHANGE	nan	0.210462	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a 50-bar SMA trend filter: only enter long when price exceeds both the Donchian high and the 50-bar SMA.
2026-09-06T06:59:43Z	5	REJECTED	0.172607	0.210462	80.617	19.157	1.8405	9.777	13	-8.194	0.999884	0.005988	B	80.004	paired chronological folds did not show a median/majority improvement over baseline	Add a volume filter: only enter long when current bar's volume exceeds its 20-bar SMA
2026-09-06T07:00:07Z	6	TOO_BROAD	nan	0.210462	nan	nan	nan	nan	0	nan	nan	nan		nan	localized-change guard: too many MoonStrategy units changed (4): ['MoonStrategy.assign:adx_lookback', 'MoonStrategy.assign:adx_threshold', 'MoonStrategy.init', 'MoonStrategy.next']	Add ADX trend strength filter: only enter long when ADX(14) > 20.
2026-09-06T08:28:12Z	7	REJECTED	0.210905	0.210462	89.278	20.823	1.9295	10.059	13	-8.218	0.999942	0.001996	B	88.685	paired chronological folds did not show a median/majority improvement over baseline	Add a 50-bar simple moving average trend filter: only enter long when price exceeds both the Donchian high and the 50-bar SMA.
2026-09-06T08:32:56Z	8	KEPT	0.262525	0.210462	99.762	22.77	1.8596	11.371	13	-7.541	0.999942	0.005988	B	99.117	K 0.210462 -> 0.262525; paired folds 0.5 improved; prefix lookahead audit PASS (required delta 0.0063)	Add RSI overbought filter: only enter long when RSI(14) < 70 to avoid buying into extended momentum
2026-09-06T08:33:52Z	9	CRASH	nan	0.262525	nan	nan	nan	nan	0	nan	nan	nan		nan	NVIDIA research-agent call failed: delimiter parse failed (required output markers missing or out of order); JSON fallback failed (Expecting value: line 1 column 1 (char 0))	(agent failed)
2026-09-06T08:40:17Z	10	REJECTED	-0.024939	0.262525	8.565	2.466	0.6644	3.771	4	-6.887	0.901695	0.143713	D	8.485	guard: development robustness gate failed	Add a volatility expansion filter: only enter long when realized volatility exceeds its 20-bar SMA.
2026-09-06T21:31:53Z	11	RISK_CONTROL_CHANGE	nan	0.262525	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add EMA(20) trend filter: only enter long when price exceeds its 20-bar EMA
2026-09-06T21:33:59Z	12	RISK_CONTROL_CHANGE	nan	0.262525	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Rename strategy class from MoonStrategy to AtlasStrategy to meet required class name
2026-09-06T21:44:22Z	13	RISK_CONTROL_CHANGE	nan	0.262525	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add ADX trend strength filter: only enter long when ADX(14) > 20
2026-09-06T21:46:16Z	14	RISK_CONTROL_CHANGE	nan	0.262525	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add 20-bar EMA trend filter: only enter long when price exceeds both the Donchian high and the 20-bar EMA, preserving existing RSI filter.
2026-09-06T21:48:31Z	15	CRASH	nan	0.262525	nan	nan	nan	nan	0	nan	nan	nan		nan	NVIDIA research-agent call failed: delimiter parse failed (required output markers missing or out of order); JSON fallback failed (Expecting value: line 1 column 1 (char 0))	(agent failed)
2026-09-06T21:55:45Z	16	RISK_CONTROL_CHANGE	nan	0.262525	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add bullish candle filter: only enter long when current bar's close exceeds its open
2026-09-06T22:02:42Z	17	CRASH	nan	0.262525	nan	nan	nan	nan	0	nan	nan	nan		nan	NVIDIA research-agent call failed: delimiter parse failed (required output markers missing or out of order); JSON fallback failed (Expecting value: line 1 column 1 (char 0))	(agent failed)
2026-09-06T22:07:46Z	18	RISK_CONTROL_CHANGE	nan	0.262525	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a rising Donchian high filter: only enter long when the Donchian high is above its previous value, indicating an upward trending breakout level.
2026-09-06T22:13:16Z	19	DUPLICATE	nan	0.262525	nan	nan	nan	nan	0	nan	nan	nan		nan	semantic AST duplicate of a previously generated candidate	Rename class to AtlasStrategy to satisfy required class name
2026-09-06T22:16:11Z	20	RISK_CONTROL_CHANGE	nan	0.262525	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add RSI > 50 condition to exit: only close long position when price breaks below Donchian low and RSI is above 50 to avoid exiting during weak momentum.
2026-09-06T22:18:44Z	21	RISK_CONTROL_CHANGE	nan	0.262525	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add RSI lower bound filter: only enter long when RSI(14) is above 30 to avoid buying into severely oversold conditions
2026-09-06T22:19:55Z	22	RISK_CONTROL_CHANGE	nan	0.262525	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Replace fixed Donchian-low exit with ATR-based trailing stop that tracks highest high since entry
2026-09-06T22:25:46Z	23	RISK_CONTROL_CHANGE	nan	0.262525	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add RSI overbought exit condition: close long when RSI(14) > 70 to lock in profits during extended momentum
2026-09-06T22:27:14Z	24	RISK_CONTROL_CHANGE	nan	0.262525	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add 20-bar SMA trend filter: only enter long when price exceeds both the Donchian high and the 20-bar SMA
2026-09-06T22:32:12Z	25	DUPLICATE	nan	0.262525	nan	nan	nan	nan	0	nan	nan	nan		nan	semantic AST duplicate of a previously generated candidate	Rename class to AtlasStrategy to satisfy required class name
2026-09-06T22:34:59Z	26	RISK_CONTROL_CHANGE	nan	0.262525	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a rising Donchian high filter requiring the current Donchian high to exceed its value from three bars ago, indicating an strengthening breakout level.
2026-09-06T22:43:00Z	27	DUPLICATE	nan	0.262525	nan	nan	nan	nan	0	nan	nan	nan		nan	semantic AST duplicate of a previously generated candidate	Add ADX trend strength filter: only enter long when ADX(14) > 20 to ensure trades occur during strong trends
2026-09-06T22:44:09Z	28	DUPLICATE	nan	0.262525	nan	nan	nan	nan	0	nan	nan	nan		nan	semantic AST duplicate of a previously generated candidate	Add rising Donchian high filter: only enter long when current Donchian high exceeds previous bar's Donchian high to ensure breakout occurs on an upward trending level.
2026-09-06T22:45:42Z	29	RISK_CONTROL_CHANGE	nan	0.262525	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add 50-bar EMA trend filter: only enter long when price exceeds both the Donchian high and the 50-bar EMA
2026-09-06T22:48:25Z	30	RISK_CONTROL_CHANGE	nan	0.262525	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add close location filter: only enter long when close is in the upper half of the bar's range
2026-09-06T22:51:53Z	31	RISK_CONTROL_CHANGE	nan	0.262525	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add volume trend filter: only enter long when volume has increased for three consecutive bars
2026-09-06T22:52:58Z	32	RISK_CONTROL_CHANGE	nan	0.262525	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add rising Donchian high filter: only enter long when current Donchian high exceeds its value from three bars ago to ensure breakout occurs on an upward trending level.
2026-09-06T22:55:02Z	33	RISK_CONTROL_CHANGE	nan	0.262525	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a higher‑high filter: only enter long when the current bar's high exceeds the previous bar's high, reinforcing breakout strength.
2026-09-06T22:59:09Z	34	RISK_CONTROL_CHANGE	nan	0.262525	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a 200-bar SMA trend filter: only enter long when price exceeds both the Donchian high and the 200-bar SMA.
