ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T16:44:41Z	1	REJECTED	0.015998	0.031984	831.336	22.513	1.0262	22.26	39	-34.112	0.999284	0.005988	A	813.717	guard: development robustness gate failed	Add a 50‑day simple moving average trend filter to entry logic
2026-09-05T16:45:20Z	2	TOO_BROAD	nan	0.031984	nan	nan	nan	nan	0	nan	nan	nan		nan	localized-change guard: too many MoonStrategy units changed (4): ['MoonStrategy.assign:adx_lookback', 'MoonStrategy.assign:adx_threshold', 'MoonStrategy.init', 'MoonStrategy.next']	Add ADX trend strength filter to entry logic (require ADX > 20)
2026-09-06T06:36:21Z	3	REJECTED	-0.002579	0.031984	191.901	10.238	0.7348	14.764	28	-28.767	0.991544	0.023952	B	188.335	paired chronological folds did not show a median/majority improvement over baseline	Add a volatility regime filter: only enter long when current realized volatility exceeds its 50‑day simple moving average.
2026-09-06T06:37:11Z	4	REJECTED	-0.018062	0.031984	417.054	16.125	0.809	21.339	38	-33.208	0.995307	0.00998	A	396.676	guard: development robustness gate failed	Add a volume filter: enter long only when current volume exceeds its 30‑day simple moving average.
2026-09-06T06:37:32Z	5	REJECTED	0.014573	0.031984	646.333	20.069	1.0192	19.894	31	-34.372	0.999674	0.001996	B	633.62	guard: development robustness gate failed	Add a low‑volatility filter: only enter long when current realized volatility is below its 50‑day simple moving average.
2026-09-06T06:38:37Z	6	KEPT	0.088087	0.031984	1085.252	25.23	1.266	19.241	46	-24.054	0.99999	0.001996	A	1058.602	K 0.031984 -> 0.088087; paired folds 0.6364 improved; prefix lookahead audit PASS (required delta 0.0062)	Add ATR-based trailing stop to exit logic, updating stop based on highest high since entry.
2026-09-06T06:55:09Z	7	REJECTED	0.106298	0.088087	1178.928	26.1	1.2893	19.466	47	-23.811	0.999993	0.001996	A	1149.454	paired chronological folds did not show a median/majority improvement over baseline	Add Donchian lower band exit condition to exit logic
2026-09-06T06:55:43Z	8	PARAMETER_ONLY	nan	0.088087	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Reduce ATR trailing stop multiplier to tighten stop-loss and improve risk control
2026-09-06T06:56:13Z	9	REJECTED	0.083066	0.088087	819.471	22.37	1.1833	18.517	44	-24.054	0.999963	0.001996	A	799.634	paired chronological folds did not show a median/majority improvement over baseline	Add RSI overbought filter (RSI < 70) to entry logic to avoid entering extended breakouts.
2026-09-06T06:56:46Z	10	REJECTED	0.137699	0.088087	912.202	23.444	1.2009	19.06	110	-26.18	0.999971	0.001996	A	819.388	paired chronological folds did not show a median/majority improvement over baseline	Add ATR-based profit target exit to complement trailing stop, taking profits at a multiple of ATR above entry price
2026-09-06T07:20:44Z	11	REJECTED	0.088087	0.088087	1085.252	25.23	1.266	19.241	46	-24.054	0.99999	0.001996	A	1058.602	paired chronological folds did not show a median/majority improvement over baseline	Add a volume-weighted average price (VWAP) filter: only enter long when close exceeds its 20‑bar VWAP.
2026-09-06T07:22:42Z	12	REJECTED	0.084363	0.088087	1072.463	25.106	1.2418	19.592	49	-24.054	0.999985	0.001996	A	1044.112	paired chronological folds did not show a median/majority improvement over baseline	Add a maximum holding period exit to limit exposure duration
