ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T14:21:30Z	1	REJECTED	0.046622	0.05418	35.976	9.538	1.3007	7.2	10	-7.587	0.991261	0.00998	B	35.803	paired chronological folds did not show a median/majority improvement over baseline	Add a low-volatility regime filter: only enter long when current realized volatility is below its 65-period moving average.
2026-09-05T14:22:01Z	2	REJECTED	0.01471	0.05418	14.09	3.985	0.8149	4.943	7	-6.109	0.930763	0.057884	C	13.984	guard: development robustness gate failed	Add a high-volatility regime filter: only enter long when current realized volatility is above its 65-period moving average.
2026-09-06T15:54:05Z	3	REJECTED	-0.016388	0.05418	43.082	11.205	1.129	9.831	6	-11.862	0.978911	0.023952	C	42.934	guard: development robustness gate failed	Add a long-term trend filter: only enter long when price is above its 200-period simple moving average.
2026-09-06T15:54:55Z	4	REJECTED	0.05418	0.05418	38.114	10.046	1.2772	7.725	11	-9.237	0.990278	0.011976	B	37.932	paired chronological folds did not show a median/majority improvement over baseline	Add an upward EMA65 slope filter: only enter long when the 65-period EMA is rising.
2026-09-06T15:55:43Z	5	PARAMETER_ONLY	nan	0.05418	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Change the EMA and standard deviation lookback from 65 to 50 to make the trend signal more responsive.
2026-09-06T15:57:59Z	6	REJECTED	0.056115	0.05418	37.776	9.966	1.2964	7.544	9	-9.06	0.99113	0.007984	B	37.621	paired chronological folds did not show a median/majority improvement over baseline	Add a volatility contraction filter: only enter long when realized volatility is decreasing (current RV < previous RV).
2026-09-06T16:27:04Z	7	CRASH	nan	0.05418	nan	nan	nan	nan	0	nan	nan	nan		nan	NVIDIA research-agent call failed: delimiter parse failed (required output markers missing or out of order); JSON fallback failed (Expecting value: line 1 column 1 (char 0))	(agent failed)
2026-09-06T16:32:26Z	8	KEPT	0.067786	0.05418	39.5	10.373	1.3161	7.721	10	-8.422	0.991968	0.013972	B	39.148	K 0.05418 -> 0.067786; paired folds 0.75 improved; prefix lookahead audit PASS (required delta 0.0063)	Add a volume confirmation filter: only enter long when current volume exceeds its moving average.
2026-09-06T16:33:24Z	9	REJECTED	0.046817	0.067786	32.935	8.806	1.2804	6.767	9	-8.268	0.990938	0.013972	B	32.784	paired chronological folds did not show a median/majority improvement over baseline	Add an ADX trend strength filter: only enter long when the 14-period ADX exceeds 20, ensuring entries occur only during sufficiently trending markets.
2026-09-06T16:36:16Z	10	RISK_CONTROL_CHANGE	nan	0.067786	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add an ATR-based stop-loss to long entries to limit downside risk.
