ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-06T19:11:16Z	1	REJECTED	-0.01312	-0.026304	129.858	7.867	0.5495	16.183	80	-23.692	0.964422	0.011976	A	122.855	paired chronological folds did not show a median/majority improvement over baseline	Add ADX > 20 trend filter to entry condition
2026-09-06T19:11:46Z	2	REJECTED	0.00658	-0.026304	180.034	9.823	0.7063	14.795	75	-19.696	0.993491	0.005988	A	172.019	paired chronological folds did not show a median/majority improvement over baseline	Add low volatility regime filter to entry: only buy when realized volatility is below its 20-bar SMA.
2026-09-06T19:12:11Z	3	REJECTED	-0.07801	-0.026304	1.089	0.099	0.0552	8.738	25	-27.542	0.572422	0.421158	C	0.186	paired chronological folds did not show a median/majority improvement over baseline	Add bullish candle condition (close > open) to entry logic to improve mean-reversion bounce probability
2026-09-06T19:13:03Z	4	TOO_BROAD	nan	-0.026304	nan	nan	nan	nan	0	nan	nan	nan		nan	localized-change guard: too many semantic units changed (5): ['MoonStrategy.assign:rsi_lookback', 'MoonStrategy.assign:rsi_threshold', 'MoonStrategy.init', 'MoonStrategy.next', 'func:_range_mean_now']	Add an RSI overshoot filter (RSI < 30) to entry condition to improve mean-reversion entry quality
2026-09-06T19:13:32Z	5	REJECTED	-0.026304	-0.026304	254.282	12.198	0.7107	18.628	111	-27.648	0.991896	0.001996	A	240.031	paired chronological folds did not show a median/majority improvement over baseline	Add regime filter requiring 7-day low above 200-day SMA for entry
2026-09-06T19:15:08Z	6	REJECTED	0.024254	-0.026304	274.979	12.779	0.8223	16.205	81	-26.359	0.998029	0.003992	A	263.417	paired chronological folds did not show a median/majority improvement over baseline	Add a medium‑term trend filter: only enter when the 7‑day low is above the 50‑day SMA, ensuring the short‑term pullback occurs within an intermediate uptrend.
2026-09-06T19:15:55Z	7	REJECTED	-0.022567	-0.026304	250.297	12.083	0.7043	18.66	109	-27.648	0.991348	0.007984	A	236.401	paired chronological folds did not show a median/majority improvement over baseline	Add an upward slope filter for the 200-day SMA to entry condition, requiring the long-term trend to be rising.
2026-09-06T19:16:51Z	8	REJECTED	-0.007171	-0.026304	196.681	10.401	0.6151	19.015	72	-27.807	0.981018	0.007984	A	188.615	paired chronological folds did not show a median/majority improvement over baseline	Increase short-term lookback for entry/exit levels from 7 to 10 bars to reduce noise and capture more meaningful swing lows/highs.
2026-09-06T19:52:28Z	9	REJECTED	-0.050332	-0.026304	130.143	7.88	0.5351	16.797	72	-29.253	0.964811	0.015968	A	124.111	paired chronological folds did not show a median/majority improvement over baseline	Add RSI(14) < 50 filter to entry condition to avoid buying into overbought momentum.
2026-09-06T19:53:36Z	10	CRASH	nan	-0.026304	nan	nan	nan	nan	0	nan	nan	nan		nan	NVIDIA research-agent call failed: delimiter parse failed (required output markers missing or out of order); JSON fallback failed (Expecting value: line 1 column 1 (char 0))	(agent failed)
2026-09-06T19:57:23Z	11	RISK_CONTROL_CHANGE	nan	-0.026304	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add ATR-based stop loss to entry orders to limit downside risk
2026-09-06T22:40:56Z	12	RISK_CONTROL_CHANGE	nan	-0.026304	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a stop loss based on the 7-day SMA to the exit condition
2026-09-06T22:42:10Z	13	RISK_CONTROL_CHANGE	nan	-0.026304	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a short‑term uptrend filter: only buy when the 7‑day low is rising (low7 > prior low7)
2026-09-06T22:51:22Z	14	RISK_CONTROL_CHANGE	nan	-0.026304	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Change exit condition to close position when price falls below the 200-day SMA (trend exit) instead of exiting at the short-term high.
2026-09-06T22:52:42Z	15	RISK_CONTROL_CHANGE	nan	-0.026304	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a rising 7-day low filter: only enter when the 7-day low is higher than the previous bar's 7-day low
