ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-06T20:01:32Z	1	REJECTED	0.001857	-0.072469	46.891	3.561	0.5993	6.158	61	-8.747	0.976789	0.017964	A	44.976	paired chronological folds did not show a median/majority improvement over baseline	Add a volatility regime filter: only enter when current realized volatility is below its 20-period moving average.
2026-09-06T20:02:13Z	2	KEPT	0.015408	-0.072469	44.028	3.375	0.7901	4.322	37	-7.726	0.99631	0.003992	A	43.0	K -0.072469 -> 0.015408; paired folds 0.5455 improved; prefix lookahead audit PASS (required delta 0.0057)	Add ADX trend filter: only enter when ADX(14) > 25 to ensure strong uptrend.
2026-09-06T20:02:56Z	3	REJECTED	-0.034917	0.015408	4.524	0.403	0.1107	4.602	26	-11.9	0.641144	0.305389	C	4.017	guard: development robustness gate failed	Exit position when ADX falls below threshold (trend weakening) instead of exiting at 7-day high.
2026-09-06T20:03:28Z	4	REJECTED	0.010941	0.015408	36.109	2.845	0.7214	4.001	26	-4.959	0.992627	0.00998	B	35.41	paired chronological folds did not show a median/majority improvement over baseline	Add a volume confirmation filter: only enter when today's volume exceeds the 20-day average volume.
2026-09-06T20:15:49Z	5	RISK_CONTROL_CHANGE	nan	0.015408	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add an RSI oversold filter (RSI<30) to the entry condition to increase mean-reversion edge.
2026-09-06T20:16:27Z	6	RISK_CONTROL_CHANGE	nan	0.015408	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Change the breakout lookback period from 7 days to 10 days for entry and exit conditions.
2026-09-06T20:18:33Z	7	RISK_CONTROL_CHANGE	nan	0.015408	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Change ADX threshold from 25 to 30 for entry to require stronger trend
2026-09-06T20:19:15Z	8	RISK_CONTROL_CHANGE	nan	0.015408	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a stop loss to the entry order based on ATR(14) with a multiplier of 3.0
2026-09-06T20:27:17Z	9	RISK_CONTROL_CHANGE	nan	0.015408	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a short‑term momentum filter: only enter when today's close is higher than yesterday's close.
2026-09-06T20:32:32Z	10	RISK_CONTROL_CHANGE	nan	0.015408	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add an uptrend acceleration filter: require the 200-day SMA to be rising (today's SMA > yesterday's SMA) to ensure entering only in strengthening uptrends.
2026-09-06T20:33:16Z	11	RISK_CONTROL_CHANGE	nan	0.015408	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a medium-term trend filter requiring price above the 50-day SMA to entry condition
2026-09-06T20:34:15Z	12	RISK_CONTROL_CHANGE	nan	0.015408	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add RSI(2) oversold filter (RSI<30) to entry condition to increase mean-reversion edge in uptrend.
2026-09-06T22:35:42Z	13	RISK_CONTROL_CHANGE	nan	0.015408	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Rename class MoonStrategy to AtlasStrategy to satisfy required class name.
2026-09-06T22:37:59Z	14	RISK_CONTROL_CHANGE	nan	0.015408	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a down‑day filter: only enter when today's close is below today's open (a bearish candle) to improve mean‑reversal timing within an uptrend.
2026-09-06T23:12:17Z	15	RISK_CONTROL_CHANGE	nan	0.015408	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a 20-day EMA uptrend filter: only enter when the close is above its 20-day EMA.
2026-09-06T23:14:55Z	16	RISK_CONTROL_CHANGE	nan	0.015408	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a short-term uptrend filter: only enter when price is above its 10-day SMA.
