ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-06T00:11:53Z	1	REJECTED	0.47545	0.470091	234.902	43.093	1.6844	22.727	43	-19.313	0.999958	0.007984	A	219.809	K 0.47545 did not exceed 0.470091 by adaptive required delta 0.0054	Add a low-volatility regime filter: only enter when realized volatility is below its 20-period SMA.
2026-09-06T00:12:20Z	2	REJECTED	0.342622	0.470091	135.842	28.964	1.3095	21.079	68	-20.337	0.995552	0.01996	A	120.466	paired chronological folds did not show a median/majority improvement over baseline	Add a trend strength filter: only enter when ADX exceeds 20, indicating a strong trend.
2026-09-06T05:02:30Z	3	REJECTED	0.281242	0.470091	162.92	33.187	1.3373	23.372	55	-19.228	0.99849	0.021956	A	147.991	paired chronological folds did not show a median/majority improvement over baseline	Add a volume confirmation filter: only enter when current volume exceeds its 20-period SMA.
2026-09-06T05:03:11Z	4	REJECTED	0.465111	0.470091	222.708	41.528	1.5319	24.551	75	-25.384	0.999647	0.013972	A	199.15	paired chronological folds did not show a median/majority improvement over baseline	Add an ATR-based trailing stop-loss that trails the highest close since entry to lock in profits while preserving the original RSI entry/exit logic.
2026-09-06T05:03:53Z	5	REJECTED	0.019214	0.470091	33.36	8.909	0.7084	13.266	47	-19.874	0.915186	0.0998	A	27.484	paired chronological folds did not show a median/majority improvement over baseline	Add a high-volatility regime filter: only enter when realized volatility exceeds its 20-period SMA.
2026-09-06T05:04:47Z	6	CRASH	nan	0.470091	nan	nan	nan	nan	0	nan	nan	nan		nan	NVIDIA research-agent call failed: delimiter parse failed (required output markers missing or out of order); JSON fallback failed (Expecting value: line 1 column 1 (char 0))	(agent failed)
2026-09-06T12:15:55Z	7	REJECTED	0.165451	0.470091	131.447	28.247	1.4788	17.878	47	-10.235	0.998606	0.013972	A	120.013	paired chronological folds did not show a median/majority improvement over baseline	Add a long-term trend filter: only enter when price is above its 200-period simple moving average.
2026-09-06T12:16:56Z	8	KEPT	0.74204	0.470091	319.189	52.94	1.8348	24.75	106	-21.262	0.999985	0.007984	A	276.782	K 0.470091 -> 0.74204; paired folds 0.75 improved; prefix lookahead audit PASS (required delta 0.0063)	Add a double RSI filter: enter only when the 14-period RSI is above 55 and above the 28-period RSI, preserving the original exit logic.
2026-09-06T12:17:58Z	9	RISK_CONTROL_CHANGE	nan	0.74204	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a volatility expansion exit: close position when realized volatility exceeds its 20-period SMA by 1.5x.
2026-09-06T12:18:59Z	10	KEPT	0.898301	0.74204	419.123	62.949	1.9204	27.29	41	-21.238	0.999986	0.001996	A	399.598	K 0.74204 -> 0.898301; paired folds 0.5 improved; prefix lookahead audit PASS (required delta 0.0096)	Change exit condition to use RSI28 instead of RSI SMA for momentum-based exit signal
