ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T21:10:39Z	1	PARAMETER_ONLY	nan	0.171687	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Tighten the initial stop-loss multiplier from 2.0 to 1.5 to reduce risk per trade
2026-09-05T21:11:31Z	2	REJECTED	0.171687	0.171687	100.593	22.921	1.0772	21.245	13	-30.932	0.975308	0.03992	B	99.133	paired chronological folds did not show a median/majority improvement over baseline	Add a 50-period simple moving average filter to only enter long positions when price is above both the 55-bar high and the SMA.
2026-09-06T09:47:19Z	3	CRASH	nan	0.171687	nan	nan	nan	nan	0	nan	nan	nan		nan	harness exited 1; see logs/run_3.txt	Add volatility expansion filter: only enter long when current ATR exceeds previous ATR, indicating increasing volatility.
2026-09-06T09:47:57Z	4	KEPT	0.178241	0.171687	101.04	23.002	1.0817	21.212	13	-30.928	0.975757	0.027944	B	99.582	K 0.171687 -> 0.178241; paired folds 0.75 improved; prefix lookahead audit PASS (required delta 0.0060)	Add volume confirmation filter: only enter long when current volume exceeds 20-period average volume
2026-09-06T09:48:43Z	5	REJECTED	-0.027555	0.178241	10.092	2.891	0.4138	7.578	21	-12.364	0.777373	0.199601	B	8.948	paired chronological folds did not show a median/majority improvement over baseline	Add a trailing stop based on the highest high since entry to exit positions, replacing the fixed Donchian-low exit.
2026-09-06T09:49:40Z	6	RISK_CONTROL_CHANGE	nan	0.178241	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a low-volatility regime filter: only enter long when current realized volatility is below its 50-period median, trading breakouts in calmer markets to reduce false signals.
2026-09-06T10:00:13Z	7	REJECTED	0.028132	0.178241	25.397	6.939	0.631	11.715	10	-18.562	0.875758	0.103792	D	24.902	guard: development robustness gate failed	Add volatility contraction filter: only enter long when current ATR is below the previous ATR, indicating decreasing volatility to reduce false breakouts.
2026-09-06T10:01:04Z	8	REJECTED	0.213148	0.178241	114.736	25.429	1.1768	21.145	8	-28.154	0.98394	0.01996	C	113.805	guard: development robustness gate failed	Add an uptrend filter: only enter long when the 55-bar high exceeds its 20-period EMA, trading breakouts in an upward-trending channel
2026-09-06T10:04:10Z	9	REJECTED	0.074198	0.178241	55.378	13.957	1.014	13.817	12	-18.507	0.970103	0.027944	B	54.602	guard: development robustness gate failed	Add ADX trend strength filter: only enter long when ADX(14) > 25, indicating a strong trend to reduce false breakouts in weak markets.
2026-09-06T10:05:16Z	10	REJECTED	0.178241	0.178241	101.04	23.002	1.0817	21.212	13	-30.928	0.975757	0.033932	B	99.582	paired chronological folds did not show a median/majority improvement over baseline	Add volume confirmation to exit condition: only close long positions when price breaks below the 20-bar low on above-average volume.
2026-09-06T10:07:57Z	11	PARAMETER_ONLY	nan	0.178241	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Use symmetric 55-period breakout for both entry (high) and exit (low)
2026-09-06T10:08:49Z	12	REJECTED	0.171687	0.178241	100.593	22.921	1.0772	21.245	13	-30.932	0.975308	0.01996	B	99.133	paired chronological folds did not show a median/majority improvement over baseline	Require that the breakout bar's volume exceeds the previous bar's volume, adding a volume expansion condition to entry.
2026-09-06T10:09:31Z	13	REJECTED	0.178241	0.178241	101.04	23.002	1.0817	21.212	13	-30.928	0.975757	0.027944	B	99.582	paired chronological folds did not show a median/majority improvement over baseline	Add bullish bar condition: only enter long if current bar's close is above its open (bullish bar) in addition to existing breakout and volume conditions
