ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T13:40:50Z	1	REJECTED	0.297262	0.277346	106.04	23.901	1.144	20.575	8	-19.622	0.982129	0.023952	B	105.229	paired chronological folds did not show a median/majority improvement over baseline	Add a volatility regime filter: only enter long when realized volatility exceeds its 50‑bar simple moving average, trading in higher volatility regimes.
2026-09-05T13:41:31Z	2	REJECTED	0.250891	0.277346	159.537	32.677	1.415	21.621	6	-21.689	0.995675	0.005988	C	158.812	guard: development robustness gate failed	Add a longer-term EMA trend filter: only enter long when the 63‑bar EMA is above the 100‑bar EMA, ensuring trades are taken in the direction of the intermediate‑term trend.
2026-09-06T07:42:53Z	3	REJECTED	0.193184	0.277346	142.947	30.104	1.2846	22.432	10	-28.158	0.991221	0.005988	B	141.632	paired chronological folds did not show a median/majority improvement over baseline	Add ADX trend strength filter: only enter long when ADX(14) > 20, ensuring trades are taken in strong trending markets.
2026-09-06T07:43:42Z	4	REJECTED	0.277346	0.277346	184.075	36.278	1.382	24.568	11	-28.643	0.994654	0.011976	B	182.313	paired chronological folds did not show a median/majority improvement over baseline	Add an EMA slope filter: only enter long when the 63‑bar EMA is rising (today's EMA > yesterday's EMA) in addition to the existing z‑score entry condition.
2026-09-06T07:44:11Z	5	REJECTED	0.315015	0.277346	188.772	36.942	1.3766	25.117	10	-29.123	0.994481	0.007984	B	187.071	paired chronological folds did not show a median/majority improvement over baseline	Add a volatility contraction filter: only enter long when realized volatility is below its moving average, trading in low volatility regimes.
2026-09-06T07:44:38Z	6	KEPT	0.355974	0.277346	214.812	40.493	1.4436	25.854	10	-25.233	0.996151	0.005988	B	212.832	K 0.277346 -> 0.355974; paired folds 0.75 improved; prefix lookahead audit PASS (required delta 0.0062)	Add a volume confirmation filter: only enter long when current volume exceeds its 20‑bar simple moving average, ensuring trades are supported by higher-than-average participation.
2026-09-06T19:28:42Z	7	REJECTED	0.355974	0.355974	214.812	40.493	1.4436	25.854	10	-25.233	0.996151	0.005988	B	212.832	paired chronological folds did not show a median/majority improvement over baseline	Add a price‑above‑50‑bar‑SMA trend filter: only enter long when the current close exceeds its 50‑bar simple moving average, ensuring trades are taken in the prevailing uptrend.
2026-09-06T19:29:54Z	8	REJECTED	0.138536	0.355974	214.069	40.394	1.3747	27.397	6	-29.491	0.994285	0.003992	C	212.83	guard: development robustness gate failed	Add a long‑term trend filter: only enter long when the close exceeds its 200‑bar simple moving average.
2026-09-06T19:31:07Z	9	PARAMETER_ONLY	nan	0.355974	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Change entry z-score threshold from >0.5 to >0.0, requiring price to be above the 63‑bar EMA for entry.
2026-09-06T19:31:39Z	10	RISK_CONTROL_CHANGE	nan	0.355974	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add ATR-based stop loss to long entries using existing _buy_with_stop method.
